APN,2012 Final,2013 Final,2014 Final,2015 Final,2016 Final,2017 Final,2018 Final,2019 Final,2020 Final,2021 Final,2022 Final,2023 Final,2024 Final,2025 Final
031-205-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-205-12,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-205-13,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-205-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-205-16,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-205-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-205-19,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-205-23,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-206-02,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-206-03,2,2,2,2,2,2,2,2,2,2,2,2,2,2
031-206-04,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-206-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-206-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-206-07,2,2,2,2,2,2,2,2,2,2,2,2,2,2
031-207-04,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-207-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-207-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-207-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-207-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-207-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-207-10,2,2,2,2,2,2,2,2,2,2,2,2,2,2
031-207-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-207-12,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-207-13,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-207-14,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-207-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-207-16,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-207-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-207-18,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-207-19,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-207-20,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-211-02,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-211-03,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-211-04,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-211-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-211-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-211-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-211-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-211-12,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-211-13,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-211-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-211-17,2,2,2,2,2,2,2,2,2,2,2,2,2,2
031-212-02,8,8,8,8,8,8,8,8,8,8,8,8,8,8
031-212-03,2,2,2,2,2,2,2,2,2,2,2,2,2,2
031-212-04,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-212-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-212-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-212-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-212-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-212-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-212-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-212-12,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-212-13,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-212-14,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-212-16,2,2,2,2,2,2,2,2,2,2,2,2,2,2
031-212-17,2,2,2,2,2,2,2,2,2,2,2,2,2,2
031-212-18,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-213-04,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-213-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-213-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-213-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-213-08,2,2,2,2,2,2,2,2,2,2,2,2,2,2
031-213-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-213-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-213-12,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-213-13,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-213-14,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-213-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-214-04,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-214-05,2,2,2,2,2,2,2,2,2,2,2,2,2,2
031-214-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-214-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-214-12,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-214-13,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-214-14,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-214-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-214-16,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-214-18,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-214-20,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-215-03,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-215-04,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-215-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-215-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-215-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-215-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-216-02,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-216-03,2,2,2,2,2,2,2,2,2,2,2,2,2,2
031-216-04,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-216-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-216-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-216-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-216-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-216-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-216-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-216-11,2,2,2,2,2,2,2,2,2,2,2,2,2,2
031-221-02,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-221-03,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-221-04,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-221-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-221-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-221-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-221-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-221-10,3,3,3,3,3,3,3,3,3,3,3,3,3,3
031-221-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-221-12,2,2,2,2,2,2,2,2,2,2,2,2,2,2
031-221-13,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-221-14,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-221-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-221-16,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-221-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-221-18,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-221-19,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-222-02,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-222-03,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-222-04,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-222-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-222-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-222-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-222-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-222-12,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-222-13,2,2,2,2,2,2,2,2,2,2,2,2,2,2
031-222-14,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-222-17,2,2,2,2,2,2,2,2,2,2,2,2,2,2
031-222-19,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-222-20,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-223-02,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-223-04,2,2,2,2,2,2,2,2,2,2,2,2,2,2
031-223-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-223-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-223-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-223-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-223-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-223-10,2,2,2,2,2,2,2,2,2,2,2,2,2,2
031-223-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-223-13,2,2,2,2,2,2,2,2,2,2,2,2,2,2
031-223-14,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-223-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-223-16,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-223-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-224-03,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-224-04,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-224-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-224-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-224-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-224-08,2,2,2,2,2,2,2,2,2,2,2,2,2,2
031-224-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-224-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-224-12,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-224-13,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-224-14,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-224-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-225-03,2,2,2,2,2,2,2,2,2,2,2,2,2,2
031-225-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-225-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-225-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-225-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-226-02,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-226-03,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-226-04,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-226-05,3,3,3,3,3,3,3,3,3,3,3,3,3,3
031-226-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-226-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-226-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-226-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-226-10,3,3,3,1,1,1,1,1,1,1,1,1,1,1
031-231-02,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-231-03,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-231-04,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-231-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-231-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-231-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-231-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-231-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-231-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-231-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-231-12,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-231-13,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-231-14,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-231-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-231-16,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-231-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-232-02,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-232-03,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-232-04,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-232-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-232-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-232-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-232-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-232-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-232-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-233-02,2,2,2,2,2,2,2,2,2,2,2,2,2,2
031-233-03,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-233-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-233-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-233-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-233-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-233-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-233-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-233-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-233-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-233-17,4,4,4,4,4,4,4,4,4,4,4,4,4,4
031-234-02,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-234-03,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-235-02,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-235-05,3,3,3,3,3,3,3,3,3,3,3,3,3,3
031-235-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-235-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-235-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-235-12,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-235-13,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-236-03,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-236-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-236-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-236-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-236-12,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-236-13,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-236-14,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-251-01,2,2,2,2,2,2,2,2,2,2,2,2,2,2
031-251-02,4,4,4,4,4,4,4,4,4,4,4,4,4,4
031-251-03,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-252-01,4,4,4,4,4,4,4,4,4,4,4,4,4,4
031-252-02,2,2,2,2,2,2,2,2,2,2,2,2,2,2
031-252-03,2,2,2,2,2,2,2,2,2,2,2,2,2,2
031-253-03,3,3,3,3,3,3,3,3,3,3,3,3,3,3
031-253-04,2,2,2,2,2,2,2,2,2,2,2,2,2,2
031-253-05,2,2,2,2,2,2,2,2,2,2,2,2,2,2
031-253-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-253-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-253-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-254-03,3,3,3,3,3,3,3,3,3,3,3,3,3,3
031-254-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-254-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-254-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-254-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-254-11,3,3,3,3,3,3,3,3,3,3,3,3,3,3
031-254-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-254-16,2,2,2,2,2,2,2,2,2,2,2,2,2,2
031-254-17,2,2,2,2,2,2,2,2,2,2,2,2,2,2
031-254-18,3,3,3,3,3,3,3,3,3,3,3,3,3,3
031-254-19,2,2,2,2,2,2,2,2,2,2,2,2,2,2
031-254-21,2,2,2,2,2,2,2,2,2,2,2,2,2,2
031-254-23,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-254-24,4,4,4,4,4,4,4,4,4,4,4,4,4,4
031-254-25,2,2,2,2,2,2,2,2,2,2,2,2,2,2
031-254-26,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-254-27,2,2,2,2,2,2,2,2,2,2,2,2,2,2
031-254-28,15,15,15,15,15,15,15,15,15,15,15,15,15,15
031-254-29,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-254-30,2,2,2,2,2,2,2,2,2,2,2,2,2,2
031-254-31,13,13,13,13,13,13,13,13,13,13,13,13,13,13
031-254-33,2,2,2,2,2,2,2,2,2,2,2,2,2,2
031-254-34,2,2,2,2,2,2,2,2,2,2,2,2,2,2
031-255-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-255-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-255-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-255-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-256-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-256-04,2,2,2,2,2,2,2,2,2,2,2,2,2,2
031-256-05,2,2,2,2,2,2,2,2,2,2,2,2,2,2
031-256-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-256-07,6,6,6,6,6,6,6,6,6,6,6,6,6,6
031-261-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-261-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-261-18,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-261-20,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-261-21,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-261-22,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-261-33,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-261-34,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-261-35,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-261-39,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-261-42,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-261-47,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-261-48,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-261-49,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-261-52,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-261-57,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-261-60,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-261-62,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-261-63,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-261-64,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-262-02,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-262-03,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-262-04,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-262-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-262-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-262-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-262-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-262-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-262-13,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-262-14,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-262-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-262-16,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-262-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-262-18,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-262-19,2,2,2,2,2,2,2,2,2,2,2,2,2,2
031-262-20,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-262-21,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-262-22,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-262-23,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-270-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-270-02,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-270-03,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-271-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-271-02,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-271-03,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-271-04,2,2,2,2,2,2,2,2,2,2,2,2,2,2
031-272-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-272-02,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-272-03,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-272-04,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-273-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-273-02,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-273-03,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-274-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-274-02,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-275-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-275-02,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-275-03,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-275-04,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-275-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-275-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-276-02,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-276-03,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-276-04,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-276-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-276-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-276-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-276-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-276-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-276-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-277-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-277-04,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-277-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-277-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-277-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-277-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-277-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-277-12,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-278-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-278-02,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-278-03,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-278-04,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-278-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-278-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-278-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-278-12,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-278-13,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-281-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-281-02,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-281-03,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-281-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-281-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-281-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-281-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-281-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-281-12,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-281-13,2,2,2,2,2,2,2,2,2,2,2,2,2,2
031-281-14,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-281-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-281-18,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-281-19,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-281-20,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-281-21,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-281-23,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-281-26,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-281-28,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-281-29,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-282-03,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-282-04,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-282-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-282-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-282-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-283-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-283-02,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-283-03,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-283-04,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-283-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-283-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-283-07,3,3,3,3,3,3,3,3,3,3,3,3,3,3
031-283-08,2,2,2,2,2,2,2,2,2,2,2,2,2,2
031-283-09,2,2,2,2,2,2,2,2,2,2,2,2,2,2
031-283-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-283-12,4,4,4,4,4,4,4,4,4,4,4,4,4,4
031-284-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-284-02,2,2,2,2,2,2,2,2,2,2,2,2,2,2
031-284-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-284-06,2,2,2,2,2,2,2,2,2,2,2,2,2,2
031-284-07,2,2,2,2,2,2,2,2,2,2,2,2,2,2
031-284-08,2,2,2,2,2,2,2,2,2,2,2,2,2,2
031-284-09,2,2,2,2,2,2,2,2,2,2,2,2,2,2
031-284-10,2,2,2,2,2,2,2,2,2,2,2,2,2,2
031-284-12,2,2,2,2,2,2,2,2,2,2,2,2,2,2
031-284-13,2,2,2,2,2,2,2,2,2,2,2,2,2,2
031-284-14,3,3,3,3,3,3,3,3,3,3,3,3,3,3
031-284-15,2,2,2,2,2,2,2,2,2,2,2,2,2,2
031-284-16,2,2,2,2,2,2,2,2,2,2,2,2,2,2
031-284-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-284-18,3,3,3,3,3,3,3,3,3,3,3,3,3,3
031-284-21,3,3,3,3,3,3,3,3,3,3,3,3,3,3
031-284-22,7,7,7,7,7,7,7,7,7,7,7,7,7,7
031-284-25,8,8,8,8,8,8,8,8,8,8,8,8,8,8
031-285-02,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-285-03,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-285-04,1,1,1,1,1,1,1,1,1,1,1,1,1,1
031-285-05,2,2,2,2,2,2,2,2,2,2,2,2,2,2
031-285-08,2,2,2,2,2,2,2,2,2,2,2,2,2,2
031-285-09,2,2,2,2,2,2,2,2,2,2,2,2,2,2
031-290-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1
