"APN","Record Type","DevelopmentRight","LandCapability","IPESScore","CumulativeBankedQuantity","RemainingBankedQuantity","Jurisdiction","LocalPlan","DateBankedOrApproved","HRA","LastUpdated","TransactionNumber","SendingParcel","ReceivingParcel","LandBank","TransactionApprovalDate"
"116-210-025","Allocation Receiving Parcel","Residential Allocation","IPES","853","1",,,,,,"07/26/2018","PCCA-ALLOC-628",,,,"01/30/2018"
"117-030-024","Allocation Receiving Parcel","Residential Allocation","IPES","813","1",,,,,,"08/28/2019","PCCA-ALLOC-885",,,,"02/13/2019"
"117-050-048","Allocation Receiving Parcel","Residential Allocation","IPES","776","1",,,,,,"08/26/2021","PCCA-ALLOC-928",,,,"01/15/2016"
"117-071-015","Allocation Receiving Parcel","Residential Bonus Unit (RBU)","Bailey 6",,"4",,,,,,"06/11/2024","TRPA-ALLOC-150",,,,"08/22/2022"
"117-072-005","Allocation Receiving Parcel","Residential Allocation","Bailey 1b",,"1",,,,,,"01/06/2021","PCCA-ALLOC-1247",,,,"05/13/2020"
"117-080-066","Allocation Receiving Parcel","Persons-at-one-time (PAOT)","Bailey 5",,"60",,,,,,"09/04/2018","TRPA-ALLOC-355",,,,"10/02/2014"
"117-090-080","Allocation Receiving Parcel","Residential Allocation","IPES","852","1",,,,,,"08/28/2019","PCCA-ALLOC-888",,,,"09/25/2015"
"117-090-081","Allocation Receiving Parcel","Residential Allocation","IPES","817","1",,,,,,"08/28/2019","PCCA-ALLOC-887",,,,"09/25/2015"
"117-100-088","Allocation Receiving Parcel","Residential Bonus Unit (RBU)","Bailey 5",,"1",,,,,,"06/11/2024","TRPA-ALLOC-2144",,,,"05/05/2023"
"117-110-015","Allocation Receiving Parcel","Residential Allocation","Bailey 5",,"1",,,,,,"01/09/2019","PCCA-ALLOC-798",,,,
"122-162-14","Allocation Receiving Parcel","Residential Allocation","Bailey 6",,"1",,,,,,"01/15/2019","TRPA-ALLOC-758",,,,"09/10/2018"
"122-195-06","Allocation Receiving Parcel","Residential Allocation","IPES","954","1",,,,,,"01/31/2017","WCNV-ALLOC-505",,,,"01/31/2017"
"123-031-06","Allocation Receiving Parcel","Residential Allocation","Bailey 1a",,"1",,,,,,"01/28/2020","WCNV-ALLOC-1102",,,,"10/30/2019"
"123-032-12","Allocation Receiving Parcel","Residential Allocation","IPES","663","1",,,,,,"07/26/2018","WCNV-ALLOC-613",,,,"01/30/2018"
"123-032-16","Allocation Receiving Parcel","Residential Allocation","Bailey 4",,"1",,,,,,"10/24/2024","WCNV-ALLOC-2622",,,,
"123-041-18","Allocation Receiving Parcel","Residential Allocation","IPES","809","1",,,,,,"01/25/2022","WCNV-ALLOC-1856",,,,"08/28/2021"
"123-041-25","Allocation Receiving Parcel","Residential Allocation","IPES","1015","1",,,,,,"10/24/2024","WCNV-ALLOC-2621",,,,
"123-052-02","Allocation Receiving Parcel","Residential Bonus Unit (RBU)","Bailey 4",,"24",,,,,,"06/27/2024","TRPA-ALLOC-1269",,,,
"123-071-34","Allocation Receiving Parcel","Tourist Accommodation Unit (TAU)","Bailey 4",,"40",,,,,,"11/09/2016","TRPA-ALLOC-367",,,,
"123-131-11","Allocation Receiving Parcel","Residential Allocation","IPES","728","1",,,,,,"01/25/2022","WCNV-ALLOC-1859",,,,"09/13/2021"
"123-133-12","Allocation Receiving Parcel","Residential Allocation","IPES","822","1",,,,,,"08/21/2019","WCNV-ALLOC-881",,,,"05/23/2019"
"123-133-25","Allocation Receiving Parcel","Residential Allocation","IPES","772","1",,,,,,"05/24/2021","WCNV-ALLOC-1473",,,,
"123-143-04","Allocation Receiving Parcel","Residential Allocation","IPES","622","1",,,,,,"10/24/2024","WCNV-ALLOC-2625",,,,
"123-250-07","Allocation Receiving Parcel","Residential Allocation","IPES","834","1",,,,,,"01/14/2020","WCNV-ALLOC-1033",,,,"11/14/2019"
"123-250-08","Allocation Receiving Parcel","Residential Allocation","IPES","838","1",,,,,,"07/26/2018","WCNV-ALLOC-615",,,,"06/14/2018"
"123-250-09","Allocation Receiving Parcel","Residential Allocation","IPES","855","1",,,,,,"01/28/2020","WCNV-ALLOC-1098",,,,"05/10/2019"
"123-250-09","Allocation Receiving Parcel","Residential Allocation","IPES","855","1",,,,,,"01/28/2020","WCNV-ALLOC-1099",,,,"05/10/2019"
"124-083-35","Allocation Receiving Parcel","Residential Allocation","IPES","849","1",,,,,,"10/24/2024","WCNV-ALLOC-2619",,,,
"124-860-01","Allocation Receiving Parcel","Residential Allocation","Bailey 4",,"1",,,,,,"07/17/2017","WCNV-ALLOC-543",,,,"07/17/2017"
"124-860-02","Allocation Receiving Parcel","Residential Allocation","Bailey 4",,"1",,,,,,"07/17/2017","WCNV-ALLOC-542",,,,"07/17/2017"
"124-860-03","Allocation Receiving Parcel","Residential Allocation","Bailey 4",,"1",,,,,,"07/17/2017","WCNV-ALLOC-541",,,,"07/17/2017"
"124-921-17","Allocation Receiving Parcel","Residential Allocation","Bailey 4",,"1",,,,,,"09/06/2024","WCNV-ALLOC-1100",,,,"06/07/2019"
"124-921-17","Allocation Receiving Parcel","Residential Allocation","Bailey 4",,"1",,,,,,"09/06/2024","WCNV-ALLOC-1472",,,,"09/29/2023"
"124-921-17","Allocation Receiving Parcel","Residential Allocation","Bailey 4",,"1",,,,,,"09/06/2024","WCNV-ALLOC-2608",,,,
"124-921-17","Allocation Receiving Parcel","Residential Allocation","Bailey 4",,"1",,,,,,"09/06/2024","WCNV-ALLOC-2609",,,,
"125-010-20","Allocation Receiving Parcel","Residential Allocation","Bailey 7",,"1",,,,,,"12/16/2021","WCNV-ALLOC-1032",,,,"08/29/2017"
"125-161-13","Allocation Receiving Parcel","Residential Allocation","IPES","786","1",,,,,,"08/27/2021","WCNV-ALLOC-1101",,,,"08/16/2021"
"125-161-41","Allocation Receiving Parcel","Residential Allocation","IPES","707","1",,,,,,"10/24/2024","WCNV-ALLOC-2614",,,,"02/23/2022"
"125-223-12","Allocation Receiving Parcel","Residential Allocation","IPES","775","1",,,,,,"06/26/2019","WCNV-ALLOC-853",,,,"05/13/2019"
"125-253-02","Allocation Receiving Parcel","Residential Allocation","IPES","824","1",,,,,,"03/29/2019","WCNV-ALLOC-778",,,,"07/25/2018"
"125-451-09","Allocation Receiving Parcel","Residential Allocation","IPES","641","1",,,,,,"07/26/2022","WCNV-ALLOC-1255",,,,"10/12/2021"
"125-502-09","Allocation Receiving Parcel","Residential Allocation","IPES","690","1",,,,,,"12/03/2024","WCNV-ALLOC-2623",,,,"10/25/2024"
"125-522-02","Allocation Receiving Parcel","Residential Allocation","IPES","550","1",,,,,,"06/10/2019","WCNV-ALLOC-844",,,,"06/04/2019"
"125-541-13","Allocation Receiving Parcel","Residential Allocation","IPES","763","1",,,,,,"01/25/2023","WCNV-ALLOC-2113",,,,"08/22/2022"
"126-081-15","Allocation Receiving Parcel","Residential Allocation","IPES","661","1",,,,,,"10/24/2024","WCNV-ALLOC-2615",,,,
"126-082-68","Allocation Receiving Parcel","Residential Allocation","IPES","613","1",,,,,,"10/24/2024","WCNV-ALLOC-2620",,,,
"126-084-07","Allocation Receiving Parcel","Residential Allocation","IPES","482","1",,,,,,"10/24/2024","WCNV-ALLOC-2617",,,,
"126-510-01","Allocation Receiving Parcel","Residential Allocation","IPES","605","1",,,,,,"10/24/2024","WCNV-ALLOC-2616",,,,
"126-590-04","Allocation Receiving Parcel","Residential Allocation","IPES","650","1",,,,,,"08/28/2019","WCNV-ALLOC-883",,,,"08/07/2017"
"128-072-01","Allocation Receiving Parcel","Residential Allocation","IPES","701","1",,,,,,"01/15/2019","WCNV-ALLOC-668",,,,"06/11/2018"
"130-083-06","Allocation Receiving Parcel","Residential Allocation","IPES","591","1",,,,,,"12/16/2021","WCNV-ALLOC-924",,,,"10/08/2019"
"130-083-14","Allocation Receiving Parcel","Residential Allocation","IPES","645","1",,,,,,"10/22/2019","WCNV-ALLOC-931",,,,"10/22/2019"
"130-152-08","Allocation Receiving Parcel","Commercial Floor Area (CFA)","Bailey 6",,"5226",,,,,,"05/15/2024","TRPA-ALLOC-1977",,,,"08/13/2022"
"130-162-03","Allocation Receiving Parcel","Residential Allocation","IPES","841","1",,,,,,"09/27/2021","WCNV-ALLOC-1790",,,,
"130-162-15","Allocation Receiving Parcel","Residential Allocation","IPES","843","1",,,,,,"01/15/2019","WCNV-ALLOC-751",,,,"11/27/2018"
"130-163-27","Allocation Receiving Parcel","Residential Allocation","IPES","726","1",,,,,,"10/15/2019","WCNV-ALLOC-781",,,,"05/22/2019"
"130-201-22","Allocation Receiving Parcel","Residential Allocation","IPES","975","1",,,,,,"01/31/2017","WCNV-ALLOC-506",,,,"01/31/2017"
"130-241-45","Allocation Receiving Parcel","Residential Allocation","IPES","939","1",,,,,,"03/08/2022","WCNV-ALLOC-1841",,,,"12/01/2021"
"130-241-56","Allocation Receiving Parcel","Persons-at-one-time (PAOT)","Bailey 6",,"32",,,,,,"11/25/2019","TRPA-ALLOC-930",,,,"10/01/2019"
"130-312-13","Allocation Receiving Parcel","Residential Allocation","Bailey 4",,"1",,,,,,"10/24/2024","WCNV-ALLOC-2624",,,,
"131-012-35","Allocation Receiving Parcel","Residential Allocation","Bailey 4",,"1",,,,,,"03/29/2019","WCNV-ALLOC-780",,,,"05/31/2018"
"131-224-07","Allocation Receiving Parcel","Residential Allocation","IPES","872","1",,,,,,"03/29/2019","WCNV-ALLOC-779",,,,"07/27/2018"
"131-232-04","Allocation Receiving Parcel","Residential Allocation","IPES","707","1",,,,,,"07/26/2018","WCNV-ALLOC-614",,,,"01/30/2018"
"1318-00-002-010","Allocation Receiving Parcel","Persons-at-one-time (PAOT)","Bailey 1a",,"168",,,,,,"06/07/2016","TRPA-ALLOC-384",,,,"04/04/2016"
"1318-03-212-034","Allocation Receiving Parcel","Residential Allocation","IPES","630","1",,,,,,"07/26/2018","DCNV-ALLOC-636",,,,"04/30/2018"
"1318-09-810-116","Allocation Receiving Parcel","Residential Allocation","IPES","1003","1",,,,,,"12/12/2018","TRPA-ALLOC-756",,,,"06/14/2018"
"1318-09-811-006","Allocation Receiving Parcel","Residential Allocation","IPES","518","1",,,,,,"01/21/2016","DCNV-ALLOC-344",,,,
"1318-10-310-041","Allocation Receiving Parcel","Residential Allocation","IPES","804","1",,,,,,"01/21/2020","DCNV-ALLOC-828",,,,"06/24/2019"
"1318-10-310-066","Allocation Receiving Parcel","Residential Allocation","IPES","865","1",,,,,,"06/05/2023","DCNV-ALLOC-1873",,,,"05/16/2023"
"1318-10-313-010","Allocation Receiving Parcel","Residential Allocation","IPES","753","1",,,,,,"01/13/2020","DCNV-ALLOC-1020",,,,"08/04/2011"
"1318-10-414-001","Allocation Receiving Parcel","Residential Allocation","IPES","837","1",,,,,,"01/30/2017","DCNV-ALLOC-431",,,,"08/24/2016"
"1318-10-417-054","Allocation Receiving Parcel","Residential Allocation","IPES","537","1",,,,,,"11/15/2024","DCNV-ALLOC-2627",,,,
"1318-15-611-059","Allocation Receiving Parcel","Residential Allocation","IPES","775","1",,,,,,"01/19/2024","DCNV-ALLOC-2371",,,,
"1318-16-810-022","Allocation Receiving Parcel","Residential Allocation","IPES","697","1",,,,,,"10/21/2021","DCNV-ALLOC-1449",,,,
"1318-22-001-008","Allocation Receiving Parcel","Residential Allocation","IPES","902","1",,,,,,"11/19/2015","DCNV-ALLOC-173",,,,"06/23/2013"
"1318-22-001-013","Allocation Receiving Parcel","Persons-at-one-time (PAOT)","Bailey 6",,"212",,,,,,"12/12/2024","TRPA-ALLOC-2640",,,,
"1318-22-002-053","Allocation Receiving Parcel","Residential Allocation","IPES","790","1",,,,,,"12/13/2017","DCNV-ALLOC-130",,,,"03/18/2014"
"1318-22-002-054","Allocation Receiving Parcel","Residential Allocation","IPES","790","1",,,,,,"12/13/2017","DCNV-ALLOC-131",,,,"03/18/2014"
"1318-22-002-055","Allocation Receiving Parcel","Residential Allocation","IPES","790","1",,,,,,"12/13/2017","DCNV-ALLOC-132",,,,"03/18/2014"
"1318-22-002-056","Allocation Receiving Parcel","Residential Allocation","IPES","790","1",,,,,,"12/13/2017","DCNV-ALLOC-138",,,,"03/17/2014"
"1318-23-201-002","Allocation Receiving Parcel","Residential Allocation","IPES","722","1",,,,,,"12/16/2021","DCNV-ALLOC-826",,,,
"1318-23-201-002","Allocation Receiving Parcel","Residential Allocation","IPES","722","1",,,,,,"03/08/2024","DCNV-ALLOC-2410",,,,
"1318-23-212-068","Allocation Receiving Parcel","Residential Allocation","IPES","715","1",,,,,,"04/02/2024","DCNV-ALLOC-176",,,,"04/16/2014"
"1318-23-212-068","Allocation Receiving Parcel","Residential Allocation","IPES","715","1",,,,,,"04/02/2024","DCNV-ALLOC-2415",,,,
"1318-23-212-069","Allocation Receiving Parcel","Residential Allocation","IPES","715","1",,,,,,"12/03/2024","DCNV-ALLOC-133",,,,"03/25/2014"
"1318-23-212-071","Allocation Receiving Parcel","Residential Allocation","IPES","731","1",,,,,,"04/02/2024","DCNV-ALLOC-171",,,,"04/16/2014"
"1318-23-212-071","Allocation Receiving Parcel","Residential Allocation","IPES","715","1",,,,,,"12/03/2024","DCNV-ALLOC-2635",,,,
"1318-23-212-072","Allocation Receiving Parcel","Residential Allocation","IPES","715","1",,,,,,"12/03/2024","DCNV-ALLOC-169",,,,"04/16/2014"
"1318-23-212-073","Allocation Receiving Parcel","Residential Allocation","IPES","715","1",,,,,,"12/03/2024","DCNV-ALLOC-174",,,,"04/16/2014"
"1318-23-212-074","Allocation Receiving Parcel","Residential Allocation","IPES","731","1",,,,,,"12/03/2024","DCNV-ALLOC-175",,,,"04/16/2014"
"1318-23-301-001","Allocation Receiving Parcel","Residential Allocation","Bailey 4",,"1",,,,,,"11/19/2018","DCNV-ALLOC-748",,,,"07/26/2017"
"1318-23-301-001","Allocation Receiving Parcel","Residential Allocation","Bailey 4",,"1",,,,,,"11/19/2018","DCNV-ALLOC-749",,,,"07/26/2017"
"1318-23-301-001","Allocation Receiving Parcel","Residential Allocation","Bailey 4",,"1",,,,,,"11/19/2018","DCNV-ALLOC-750",,,,"07/26/2017"
"1318-23-311-015","Allocation Receiving Parcel","Residential Allocation","IPES","731","1",,,,,,"01/13/2020","DCNV-ALLOC-1007",,,,"02/07/2013"
"1318-23-311-016","Allocation Receiving Parcel","Residential Allocation","IPES","731","1",,,,,,"01/13/2020","DCNV-ALLOC-1008",,,,"02/07/2013"
"1318-23-311-017","Allocation Receiving Parcel","Residential Allocation","IPES","773","1",,,,,,"01/08/2020","DCNV-ALLOC-994",,,,"06/28/2013"
"1318-23-602-011","Allocation Receiving Parcel","Residential Allocation","IPES","576","1",,,,,,"03/19/2019","DCNV-ALLOC-800",,,,"06/14/2018"
"1318-23-610-037","Allocation Receiving Parcel","Residential Allocation","IPES","648","1",,,,,,"06/09/2021","DCNV-ALLOC-1152",,,,"09/04/2020"
"1318-23-810-017","Allocation Receiving Parcel","Residential Allocation","IPES","809","1",,,,,,"07/13/2020","DCNV-ALLOC-1241",,,,
"1318-23-810-061","Allocation Receiving Parcel","Residential Allocation","IPES","746","1",,,,,,"08/01/2023","DCNV-ALLOC-2281",,,,"07/27/2023"
"1318-23-811-002","Allocation Receiving Parcel","Residential Allocation","IPES","580","1",,,,,,"05/03/2024","DCNV-ALLOC-2534",,,,
"1318-23-814-001","Allocation Receiving Parcel","Residential Allocation","IPES","723","1",,,,,,"10/31/2018","DCNV-ALLOC-170",,,,"02/21/2014"
"1318-23-814-009","Allocation Receiving Parcel","Residential Allocation","IPES","727","1",,,,,,"07/20/2022","DCNV-ALLOC-2011",,,,"01/21/2022"
"1318-26-101-010","Allocation Receiving Parcel","Commercial Floor Area (CFA)","Bailey 6",,"1",,,,,,"09/06/2019","TRPA-ALLOC-898",,,,
"1318-26-102-001","Allocation Receiving Parcel","Residential Allocation","IPES","906","1",,,,,,"12/23/2020","DCNV-ALLOC-1268",,,,"09/14/2020"
"1318-26-501-006","Allocation Receiving Parcel","Residential Allocation","IPES","580","1",,,,,,"12/13/2017","DCNV-ALLOC-129",,,,"04/10/2014"
"1318-26-515-020","Allocation Receiving Parcel","Residential Allocation","IPES","611","1",,,,,,"08/27/2021","DCNV-ALLOC-1034",,,,"09/14/2012"
"1318-26-515-035","Allocation Receiving Parcel","Residential Allocation","IPES","729","1",,,,,,"08/27/2021","DCNV-ALLOC-1035",,,,"12/21/2012"
"1318-27-001-009","Allocation Receiving Parcel","Commercial Floor Area (CFA)","Bailey 7",,"2730",,,,,,"03/28/2017","TRPA-ALLOC-448",,,,"07/22/2014"
"1318-27-001-015","Allocation Receiving Parcel","Persons-at-one-time (PAOT)","Bailey 1b",,"310",,,,,,"10/02/2024","TRPA-ALLOC-2612",,,,
"1319-18-202-001","Allocation Receiving Parcel","Residential Allocation","IPES","788","1",,,,,,"01/13/2020","DCNV-ALLOC-1006",,,,"01/04/2012"
"1319-18-310-027","Allocation Receiving Parcel","Residential Allocation","IPES","788","1",,,,,,"12/12/2018","TRPA-ALLOC-694",,,,"05/01/2018"
"1319-18-310-038","Allocation Receiving Parcel","Residential Allocation","IPES","621","1",,,,,,"11/29/2018","TRPA-ALLOC-757",,,,"07/06/2018"
"1319-18-413-009","Allocation Receiving Parcel","Residential Allocation","IPES","619","1",,,,,,"09/20/2019","DCNV-ALLOC-902",,,,"07/12/2018"
"1319-18-414-009","Allocation Receiving Parcel","Residential Allocation","IPES","548","1",,,,,,"07/26/2018","DCNV-ALLOC-666",,,,"06/01/2018"
"132-231-09","Allocation Receiving Parcel","Residential Bonus Unit (RBU)","Bailey 6",,"2",,,,,,"07/17/2024","TRPA-ALLOC-2356",,,,"04/05/2024"
"132-231-09","Allocation Receiving Parcel","Residential Bonus Unit (RBU)","Bailey 6",,"2",,,,,,"06/11/2024","TRPA-ALLOC-2412",,,,"04/05/2024"
"132-232-01","Allocation Receiving Parcel","Residential Allocation","Bailey 6",,"1",,,,,,"08/14/2024","WCNV-ALLOC-2603",,,,"07/14/2024"
"132-232-08","Allocation Receiving Parcel","Commercial Floor Area (CFA)","Bailey 6",,"2974",,,,,,"07/10/2024","TRPA-ALLOC-1777",,,,"08/13/2021"
"1418-03-301-010","Allocation Receiving Parcel","Residential Allocation","IPES","791","1",,,,,,"03/30/2017","DCNV-ALLOC-346",,,,"11/24/2015"
"1418-10-401-004","Allocation Receiving Parcel","Residential Allocation","IPES","1004","1",,,,,,"05/08/2019","DCNV-ALLOC-801",,,,
"1418-10-502-004","Allocation Receiving Parcel","Residential Allocation","IPES","776","1",,,,,,"09/27/2021","DCNV-ALLOC-1789",,,,"07/04/2021"
"1418-10-801-004","Allocation Receiving Parcel","Residential Allocation","Bailey 4",,"1",,,,,,"05/08/2019","DCNV-ALLOC-831",,,,
"1418-10-802-004","Allocation Receiving Parcel","Residential Allocation","IPES","908","1",,,,,,"10/09/2014","DCNV-ALLOC-172",,,,"05/09/2014"
"1418-10-802-007","Allocation Receiving Parcel","Residential Allocation","Bailey 6",,"1",,,,,,"10/31/2018","DCNV-ALLOC-135",,,,"03/19/2014"
"1418-11-110-004","Allocation Receiving Parcel","Residential Allocation","IPES","825","1",,,,,,"09/25/2020","DCNV-ALLOC-1254",,,,
"1418-11-110-015","Allocation Receiving Parcel","Residential Allocation","IPES","803","1",,,,,,"07/17/2019","DCNV-ALLOC-857",,,,"05/14/2019"
"1418-15-110-015","Allocation Receiving Parcel","Residential Allocation","IPES","702","1",,,,,,"01/13/2020","DCNV-ALLOC-1027",,,,"05/15/2015"
"1418-15-110-017","Allocation Receiving Parcel","Residential Allocation","IPES","737","1",,,,,,"01/08/2020","DCNV-ALLOC-993",,,,"03/03/2016"
"1418-15-110-021","Allocation Receiving Parcel","Residential Allocation","IPES","758","1",,,,,,"12/04/2020","DCNV-ALLOC-896",,,,"09/30/2019"
"1418-15-510-004","Allocation Receiving Parcel","Residential Allocation","IPES","769","1",,,,,,"01/13/2020","DCNV-ALLOC-1030",,,,"02/03/2016"
"1418-15-511-002","Allocation Receiving Parcel","Residential Allocation","IPES","725","1",,,,,,"10/23/2022","DCNV-ALLOC-2028",,,,"10/04/2022"
"1418-15-511-006","Allocation Receiving Parcel","Residential Allocation","IPES","751","1",,,,,,"12/01/2022","DCNV-ALLOC-2075",,,,"02/03/2022"
"1418-15-701-010","Allocation Receiving Parcel","Residential Allocation","Bailey 6",,"1",,,,,,"05/19/2014","DCNV-ALLOC-134",,,,"03/31/2014"
"1418-27-210-033","Allocation Receiving Parcel","Residential Allocation","IPES","801","1",,,,,,"03/30/2017","DCNV-ALLOC-345",,,,"11/24/2015"
"1418-27-210-035","Allocation Receiving Parcel","Residential Allocation","Bailey 4",,"1",,,,,,"02/10/2022","DCNV-ALLOC-1870",,,,
"1418-27-210-037","Allocation Receiving Parcel","Residential Allocation","Bailey 4",,"1",,,,,,"10/19/2020","DCNV-ALLOC-1114",,,,
"1418-27-210-037","Allocation Receiving Parcel","Residential Allocation","Bailey 4",,"1",,,,,,"10/27/2022","DCNV-ALLOC-1857",,,,
"1418-34-110-047","Allocation Receiving Parcel","Residential Allocation","IPES","737","1",,,,,,"01/19/2024","DCNV-ALLOC-2370",,,,
"1418-34-110-065","Allocation Receiving Parcel","Residential Allocation","IPES","750","1",,,,,,"01/31/2018","DCNV-ALLOC-633",,,,"02/24/2016"
"1418-34-111-040","Allocation Receiving Parcel","Residential Allocation","IPES","606","1",,,,,,"06/05/2024","DCNV-ALLOC-2285",,,,
"1418-34-112-006","Allocation Receiving Parcel","Residential Allocation","IPES","667","1",,,,,,"10/14/2020","DCNV-ALLOC-1256",,,,
"1418-34-401-004","Allocation Receiving Parcel","Residential Allocation","IPES","686","1",,,,,,"01/25/2022","DCNV-ALLOC-1828",,,,
"1418-34-401-006","Allocation Receiving Parcel","Residential Allocation","IPES","760","1",,,,,,"03/30/2017","DCNV-ALLOC-343",,,,"10/22/2015"
"1418-34-401-014","Allocation Receiving Parcel","Residential Allocation","IPES","773","1",,,,,,"10/23/2022","DCNV-ALLOC-1858",,,,"07/13/2022"
"1418-34-601-001","Allocation Receiving Parcel","Residential Allocation","Bailey 5",,"1",,,,,,"05/19/2014","DCNV-ALLOC-137",,,,"04/03/2014"
"1418-34-610-010","Allocation Receiving Parcel","Residential Allocation","IPES","727","1",,,,,,"07/14/2017","DCNV-ALLOC-540",,,,"07/14/2017"
"014-301-005","Banked Commodity","Coverage (hard)","Bailey 5",,"16","16","El Dorado County, CA (ELDO)","TAHOMA RESIDENTIAL","06/19/2009","McKinney Bay","10/28/2024",,,,,
"014-303-002","Banked Commodity","Potential Residential Unit of Use (PRUU)","IPES","733","1","1","El Dorado County, CA (ELDO)","Tahoma Residential","12/03/2018","McKinney Bay","12/03/2018",,,,,
"015-103-008","Banked Commodity","Potential Residential Unit of Use (PRUU)","IPES","0","1","1","El Dorado County, CA (ELDO)","TAHOMA RESIDENTIAL","04/03/2006","McKinney Bay","10/13/2017",,,,,
"015-113-003","Banked Commodity","Potential Residential Unit of Use (PRUU)","Bailey 1b",,"1","1","El Dorado County, CA (ELDO)","TAHOMA RESIDENTIAL","09/03/2015","McKinney Bay","10/16/2017",,,,,
"015-154-012","Banked Commodity","Potential Residential Unit of Use (PRUU)","Bailey 1b",,"1","1","El Dorado County, CA (ELDO)","TAHOMA RESIDENTIAL","12/17/2003","McKinney Bay","10/11/2017",,,,,
"015-204-019","Banked Commodity","Potential Residential Unit of Use (PRUU)","IPES","0","1","1","El Dorado County, CA (ELDO)","TAHOMA RESIDENTIAL","06/24/2002","McKinney Bay","10/17/2017",,,,,
"015-211-019","Banked Commodity","Potential Residential Unit of Use (PRUU)","IPES","0","1","1","El Dorado County, CA (ELDO)","TAHOMA RESIDENTIAL","03/18/2003","McKinney Bay","10/06/2017",,,,,
"015-212-015","Banked Commodity","Potential Residential Unit of Use (PRUU)","IPES","0","1","1","El Dorado County, CA (ELDO)","TAHOMA RESIDENTIAL","09/13/2005","McKinney Bay","11/05/2018",,,,,
"015-340-015","Banked Commodity","Coverage (hard)","Bailey 1b",,"9","9","El Dorado County, CA (ELDO)","TAHOMA RESIDENTIAL","03/17/2006","McKinney Bay","06/27/2017",,,,,
"015-370-027","Banked Commodity","Coverage (hard)","IPES","926","709","709","El Dorado County, CA (ELDO)","TAHOMA RESIDENTIAL","09/06/2022","McKinney Bay","07/30/2024",,,,,
"015-370-030","Banked Commodity","Coverage (hard)","Bailey 1b",,"11","11","El Dorado County, CA (ELDO)","TAHOMA RESIDENTIAL","03/02/2021","McKinney Bay","12/11/2024",,,,,
"015-420-016","Banked Commodity","Coverage (hard)","Bailey 5",,"6918","6918","El Dorado County, CA (ELDO)","TAHOMA RESIDENTIAL","06/05/1998","McKinney Bay","02/25/2021",,,,,
"015-420-016","Banked Commodity","Single-Family Residential Unit of Use (SFRUU)","Bailey 5",,"3","3","El Dorado County, CA (ELDO)","TAHOMA RESIDENTIAL","06/05/1998","McKinney Bay","02/25/2021",,,,,
"016-091-020","Banked Commodity","Coverage (hard)","Bailey 1a",,"166","166","El Dorado County, CA (ELDO)","RUBICON","05/30/2024","Emerald Bay","06/13/2024",,,,,
"016-091-020","Banked Commodity","Coverage (hard)","Bailey 1b",,"145","145","El Dorado County, CA (ELDO)","RUBICON","05/30/2024","Emerald Bay","06/13/2024",,,,,
"016-091-065","Banked Commodity","Potential Residential Unit of Use (PRUU)","Bailey 1a",,"1","1","El Dorado County, CA (ELDO)","RUBICON","02/02/2010","Emerald Bay","07/05/2023",,,,,
"016-091-42","Banked Commodity","Potential Residential Unit of Use (PRUU)","Bailey 1a",,"1","1","El Dorado County, CA (ELDO)",,"03/01/2010","Emerald Bay","01/03/2016",,,,,
"016-101-073","Banked Commodity","Potential Residential Unit of Use (PRUU)","IPES","642","1","1","El Dorado County, CA (ELDO)","RUBICON","08/16/2016","Emerald Bay","11/03/2017",,,,,
"016-101-083","Banked Commodity","Coverage (hard)","Bailey 3",,"221","221","El Dorado County, CA (ELDO)","RUBICON","07/25/1994","Emerald Bay","07/24/2019",,,,,
"016-101-092","Banked Commodity","Coverage (hard)","Bailey 4",,"48","48","El Dorado County, CA (ELDO)","RUBICON","10/05/2020","Emerald Bay","10/11/2023",,,,,
"016-101-092","Banked Commodity","Coverage (soft)","Bailey 6",,"563","563","El Dorado County, CA (ELDO)","RUBICON","10/05/2020","Emerald Bay","10/11/2023",,,,,
"016-101-14","Banked Commodity","Coverage (hard)","Bailey 5",,"2265","2265","El Dorado County, CA (ELDO)","RUBICON","07/12/2019","Emerald Bay","03/08/2022",,,,,
"016-131-006","Banked Commodity","Coverage (hard)","Bailey 1b",,"22","22","El Dorado County, CA (ELDO)","RUBICON","08/03/2016","Emerald Bay","05/07/2024",,,,,
"016-131-006","Banked Commodity","Coverage (hard)","Bailey 4",,"357","357","El Dorado County, CA (ELDO)","RUBICON","05/07/2014","Emerald Bay","05/07/2024",,,,,
"016-131-007","Banked Commodity","Coverage (hard)","Bailey 4",,"196","196","El Dorado County, CA (ELDO)","RUBICON","11/06/2019","Emerald Bay","08/03/2022",,,,,
"016-142-007","Banked Commodity","Coverage (hard)","Bailey 6",,"375","375","El Dorado County, CA (ELDO)","RUBICON","10/07/2019","Emerald Bay","01/22/2021",,,,,
"016-151-035","Banked Commodity","Coverage (hard)","Bailey 1a",,"254","254","El Dorado County, CA (ELDO)","RUBICON","08/28/2019","Emerald Bay","05/30/2023",,,,,
"016-211-006","Banked Commodity","Coverage (hard)","Bailey 1a",,"5","5","El Dorado County, CA (ELDO)","RUBICON","03/27/2024","Emerald Bay","12/13/2024",,,,,
"016-221-002","Banked Commodity","Coverage (hard)","Bailey 1a",,"47","47","El Dorado County, CA (ELDO)","RUBICON","12/13/2013","Emerald Bay","11/20/2018",,,,,
