Year,APN
2012,132-051-01
2012,132-051-02
2012,132-051-03
2012,132-051-04
2012,132-051-05
2012,132-051-06
2012,132-051-07
2012,132-051-08
2012,132-051-09
2012,132-051-10
2012,132-221-08
2012,132-221-10
2012,132-223-03
2012,132-223-04
2012,132-223-08
2012,132-223-09
2012,132-232-02
2012,132-232-10
2012,132-232-12
2012,132-240-09
2012,132-240-17
2012,1418-02-401-001
2012,1418-02-410-001
2012,1418-03-401-007
2012,1418-10-702-005
2012,1418-10-802-002
2012,1418-10-802-003
2012,1418-10-802-005
2012,1418-15-110-018
2012,1418-15-201-002
2012,1418-15-301-001
2012,1418-15-511-003
2012,1418-15-511-021
2012,1418-15-701-003
2012,1418-22-501-007
2012,1418-22-501-008
2012,1418-22-611-007
2012,1418-27-210-003
2012,1418-27-601-004
2012,1418-27-601-005
2012,1418-27-601-006
2012,1418-34-110-005
2012,1418-34-110-006
2012,1418-34-110-007
2012,1418-34-110-012
2012,1418-34-110-031
2012,1418-34-110-032
2012,1418-34-110-035
2012,1418-34-110-038
2012,1418-34-110-039
2012,1418-34-110-041
2012,1418-34-110-045
2012,1418-34-211-027
2012,1418-34-211-028
2012,1418-34-301-002
2012,1418-34-301-003
2012,1418-34-310-001
2012,1418-34-310-012
2012,1418-34-401-020
2012,1418-34-601-002
2012,1418-34-601-005
2012,1419-00-002-001
2012,1419-00-002-002
2012,1419-00-002-003
2012,1419-06-000-003
2012,1419-06-000-004
2013,510-100-00
2013,510-101-00
2013,510-201-00
2013,510-301-00
2013,510-401-00
2013,510-501-00
2013,530-100-00
2013,530-101-00
2013,530-201-00
2013,530-301-00
2013,530-401-00
2013,530-501-00
2013,540-100-00
2013,540-101-00
2013,540-201-00
2013,540-301-00
2013,540-401-00
2013,540-501-00
2013,540-601-00
2013,560-100-00
2013,560-101-00
2013,560-201-00
2013,560-301-00
2013,560-401-00
2013,560-501-00
2013,570-000-00
2013,580-000-00
2013,590-000-00
2013,600-000-00
2013,700-000-00
2013,800-000-00
2013,900-000-00
2014,007-021-14
2014,031-084-17
2014,095-510-49
2014,1319-30-610-003
2014,132-611-04
2014,510-100-00
2014,510-101-00
2014,510-201-00
2014,510-301-00
2014,510-401-00
2014,510-501-00
2014,530-100-00
2014,530-101-00
2014,530-201-00
2014,530-301-00
2014,530-401-00
2014,530-501-00
2014,540-100-00
2014,540-101-00
2014,540-201-00
2014,540-301-00
2014,540-401-00
2014,540-501-00
2014,540-601-00
2014,560-100-00
2014,560-101-00
2014,560-201-00
2014,560-301-00
2014,560-401-00
2014,560-501-00
2014,570-000-00
2014,580-000-00
2014,590-000-00
2014,600-000-00
2014,700-000-00
2014,800-000-00
2014,900-000-00
2015,007-021-14
2015,026-302-04
2015,112-050-22
2015,123-052-04
2015,1418-34-401-027
2015,510-100-00
2015,510-101-00
2015,510-201-00
2015,510-301-00
2015,510-401-00
2015,510-501-00
2015,530-100-00
2015,530-101-00
2015,530-201-00
2015,530-301-00
2015,530-401-00
2015,530-501-00
2015,560-100-00
2015,560-101-00
2015,560-201-00
2015,560-301-00
2015,560-401-00
2015,560-501-00
2015,570-000-00
2015,580-000-00
2015,590-000-00
2015,600-000-00
2015,700-000-00
2015,800-000-00
2015,900-000-00
2016,510-100-00
2016,510-101-00
2016,510-201-00
2016,510-301-00
2016,510-401-00
2016,510-501-00
2016,530-100-00
2016,530-101-00
2016,530-201-00
2016,530-301-00
2016,530-401-00
2016,530-501-00
2016,560-100-00
2016,560-101-00
2016,560-201-00
2016,560-301-00
2016,560-401-00
2016,560-501-00
2016,570-000-00
2016,580-000-00
2016,590-000-00
2016,600-000-00
2016,700-000-00
2016,800-000-00
2016,900-000-00
2017,510-100-00
2017,510-101-00
2017,510-201-00
2017,510-301-00
2017,510-401-00
2017,510-501-00
2017,530-100-00
2017,530-101-00
2017,530-201-00
2017,530-301-00
2017,530-401-00
2017,530-501-00
2017,560-100-00
2017,560-101-00
2017,560-201-00
2017,560-301-00
2017,560-401-00
2017,560-501-00
2017,570-000-00
2017,580-000-00
2017,590-000-00
2017,600-000-00
2017,700-000-00
2017,800-000-00
2017,900-000-00
2018,007-011-05
2018,007-011-06
2018,007-011-09
2018,007-011-10
2018,007-011-12
2018,007-011-13
2018,007-011-14
2018,007-011-15
2018,007-011-16
2018,007-011-17
2018,007-011-18
2018,007-011-19
2018,007-011-20
2018,007-011-22
2018,007-011-25
2018,007-011-26
2018,007-011-27
2018,007-011-28
2018,007-011-29
2018,007-011-30
2018,007-011-31
2018,007-021-01
2018,007-021-02
2018,007-021-03
2018,007-021-05
2018,007-021-06
2018,007-021-07
2018,007-021-08
2018,007-021-09
2018,007-021-11
2018,007-021-12
2018,007-021-14
2018,007-021-15
2018,007-021-16
2018,007-021-17
2018,007-021-18
2018,007-021-19
2018,007-021-20
2018,007-031-01
2018,007-031-02
2018,007-031-13
2018,007-031-14
2018,007-031-16
2018,007-031-17
2018,016-410-10
2018,028-011-19
2018,090-092-54
2018,090-231-34
2018,090-231-36
2018,090-292-03
2018,090-292-10
2018,092-190-52
2018,092-190-65
2018,093-160-16
2018,093-194-01
2018,094-180-73
2018,094-540-01
2018,094-540-12
2018,097-130-30
2018,112-190-42
2018,112-190-43
2018,112-190-61
2018,112-190-64
2018,115-030-35
2018,115-050-27
2018,115-050-28
2018,115-050-29
2018,115-050-39
2018,115-060-18
2018,117-110-15
2018,117-110-16
2018,123-071-34
2018,123-131-02
2018,129-022-01
2018,129-022-02
2018,129-022-03
2018,129-022-07
2018,1318-10-310-010
2018,1318-10-310-080
2018,1318-10-310-081
2018,1318-22-002-002
2018,1318-22-002-108
2018,1318-23-710-038
2018,1318-23-710-039
2018,1318-25-110-010
2018,1318-25-110-011
2018,1319-30-720-003
2018,1319-30-723-001
2018,1319-30-723-002
2018,1319-30-723-003
2018,1319-30-723-004
2018,1319-30-723-005
2018,1319-30-723-006
2018,1319-30-723-007
2018,1319-30-723-008
2018,1319-30-723-009
2018,1319-30-723-010
2018,1319-30-723-013
2018,1319-30-723-014
2018,1319-30-723-017
2018,1319-30-723-018
2018,1418-11-311-004
2018,1418-11-311-005
2018,510-100-00
2018,510-101-00
2018,510-201-00
2018,510-301-00
2018,510-401-00
2018,510-501-00
2018,530-100-00
2018,530-101-00
2018,530-201-00
2018,530-301-00
2018,530-401-00
2018,530-501-00
2018,560-100-00
2018,560-101-00
2018,560-201-00
2018,560-301-00
2018,560-401-00
2018,560-501-00
2018,570-000-00
2018,580-000-00
2018,590-000-00
2018,600-000-00
2018,700-000-00
2018,800-000-00
2018,880-353-78
2018,900-000-00
2019,092-234-12
2019,097-130-30
2019,123-032-26
2019,126-080-26
2019,126-082-49
2019,1318-09-810-103
2019,510-100-00
2019,510-101-00
2019,510-201-00
2019,510-301-00
2019,510-401-00
2019,510-501-00
2019,530-100-00
2019,530-101-00
2019,530-201-00
2019,530-301-00
2019,530-401-00
2019,530-501-00
2019,560-100-00
2019,560-101-00
2019,560-201-00
2019,560-301-00
2019,560-401-00
2019,560-501-00
2019,570-000-00
2019,580-000-00
2019,590-000-00
2019,600-000-00
2019,700-000-00
2019,800-000-00
2019,900-000-00
2020,022-200-14
2020,022-200-16
2020,022-344-27
2020,022-344-28
2020,025-061-37
2020,027-122-26
2020,027-621-15
2020,029-441-23
2020,031-020-51
2020,031-020-52
2020,033-561-13
2020,033-661-25
2020,084-233-18
2020,090-073-21
2020,090-153-10
2020,090-153-11
2020,090-191-47
2020,090-191-48
2020,093-083-49
2020,098-010-42
2020,123-131-09
2020,123-131-11
2020,1318-10-310-090
2020,1318-10-310-092
2020,1318-10-310-093
2020,1318-22-312-019
2020,1318-22-312-020
2020,1318-27-001-019
2020,1319-30-516-048
2020,1319-30-516-049
2020,510-100-00
2020,510-101-00
2020,510-201-00
2020,510-301-00
2020,510-401-00
2020,510-501-00
2020,530-100-00
2020,530-101-00
2020,530-201-00
2020,530-301-00
2020,530-401-00
2020,530-501-00
2020,560-100-00
2020,560-101-00
2020,560-201-00
2020,560-301-00
2020,560-401-00
2020,560-501-00
2020,570-000-00
2020,580-000-00
2020,590-000-00
2020,600-000-00
2020,700-000-00
2020,800-000-00
2020,900-000-00
2022,510-100-00
2022,510-101-00
2022,510-201-00
2022,510-301-00
2022,510-401-00
2022,510-501-00
2022,530-100-00
2022,530-101-00
2022,530-201-00
2022,530-301-00
2022,530-401-00
2022,530-501-00
2022,560-100-00
2022,560-101-00
2022,560-201-00
2022,560-301-00
2022,560-401-00
2022,560-501-00
2022,570-000-00
2022,580-000-00
2022,590-000-00
2022,600-000-00
2022,700-000-00
2022,800-000-00
2022,900-000-00
2023,092-154-09
2023,092-154-10
2023,094-200-26
2023,094-200-27
2023,094-200-29
2023,094-200-37
2023,094-200-49
2023,094-200-50
2023,094-200-51
2023,1318-10-310-002
2023,1318-10-310-009
2023,1318-10-310-086
2023,1318-10-417-005
2023,1318-10-417-006
2023,1319-30-627-027
2023,1319-30-627-028
2023,1418-15-511-002
2023,1418-15-511-025
2023,1418-34-210-011
2023,1418-34-210-012
