,APN,RecordingNumber,RecordingDate,Description,DeedRestrictionStatus,DeedRestrictionType,ProjectAreaFileNumber
2141,132-611-01,3582578,10/08/2007,"Recorded in Washoe County. Declaration 1. Land Coverage--the subdivided area shall be deemed to be merged and constitute one parcel for purposes of calculating land coverage. Declaration 2.9. Residential Use--The six (6) residential condominiums on the property shall be limited to residential use and shall not be used as Tourist Accommodation Units. Declaration 2.10. Affordable Housing--One of the six (6) residential condominiums (units 5 and 6, 877 Northwood Blvd., APN's 132-611-05 & 132-612-01) shall be affordable housing units as defined in the TRPA Code of Ordinances.",Recorded,Affordable Housing,
2156,132-611-02,3606702,12/28/2007,"Two of the six units on this property, identified as units 5 and 6 (877 Northwood Blvd., APN's 132-611-05 & 132-612-01), shall be limited to residential affordable housing units as defined by Chapter 2 of the TRPA Code of Ordinances.",Recorded,Affordable Housing,ERSP2007-0360
2142,132-611-02,3582578,10/08/2007,"Recorded in Washoe County. Declaration 1. Land Coverage--the subdivided area shall be deemed to be merged and constitute one parcel for purposes of calculating land coverage. Declaration 2.9. Residential Use--The six (6) residential condominiums on the property shall be limited to residential use and shall not be used as Tourist Accommodation Units. Declaration 2.10. Affordable Housing--One of the six (6) residential condominiums (units 5 and 6, 877 Northwood Blvd., APN's 132-611-05 & 132-612-01) shall be affordable housing units as defined in the TRPA Code of Ordinances.",Recorded,Affordable Housing,
2157,132-611-03,3606702,12/28/2007,"Two of the six units on this property, identified as units 5 and 6 (877 Northwood Blvd., APN's 132-611-05 & 132-612-01), shall be limited to residential affordable housing units as defined by Chapter 2 of the TRPA Code of Ordinances.",Recorded,Affordable Housing,ERSP2007-0360
2143,132-611-03,3582578,10/08/2007,"Recorded in Washoe County. Declaration 1. Land Coverage--the subdivided area shall be deemed to be merged and constitute one parcel for purposes of calculating land coverage. Declaration 2.9. Residential Use--The six (6) residential condominiums on the property shall be limited to residential use and shall not be used as Tourist Accommodation Units. Declaration 2.10. Affordable Housing--One of the six (6) residential condominiums (units 5 and 6, 877 Northwood Blvd., APN's 132-611-05 & 132-612-01) shall be affordable housing units as defined in the TRPA Code of Ordinances.",Recorded,Affordable Housing,
2158,132-611-04,3606702,12/28/2007,"Two of the six units on this property, identified as units 5 and 6 (877 Northwood Blvd., APN's 132-611-05 & 132-612-01), shall be limited to residential affordable housing units as defined by Chapter 2 of the TRPA Code of Ordinances.",Recorded,Affordable Housing,ERSP2007-0360
2144,132-611-04,3582578,10/08/2007,"Recorded in Washoe County. Declaration 1. Land Coverage--the subdivided area shall be deemed to be merged and constitute one parcel for purposes of calculating land coverage. Declaration 2.9. Residential Use--The six (6) residential condominiums on the property shall be limited to residential use and shall not be used as Tourist Accommodation Units. Declaration 2.10. Affordable Housing--One of the six (6) residential condominiums (units 5 and 6, 877 Northwood Blvd., APN's 132-611-05 & 132-612-01) shall be affordable housing units as defined in the TRPA Code of Ordinances.",Recorded,Affordable Housing,
2145,132-611-05,3582578,10/08/2007,"Recorded in Washoe County. Declaration 1. Land Coverage--the subdivided area shall be deemed to be merged and constitute one parcel for purposes of calculating land coverage. Declaration 2.9. Residential Use--The six (6) residential condominiums on the property shall be limited to residential use and shall not be used as Tourist Accommodation Units. Declaration 2.10. Affordable Housing--One of the six (6) residential condominiums (units 5 and 6, 877 Northwood Blvd., APN's 132-611-05 & 132-612-01) shall be affordable housing units as defined in the TRPA Code of Ordinances.",Recorded,Affordable Housing,
2159,132-611-05,3606702,12/28/2007,"Two of the six units on this property, identified as units 5 and 6 (877 Northwood Blvd., APN's 132-611-05 & 132-612-01), shall be limited to residential affordable housing units as defined by Chapter 2 of the TRPA Code of Ordinances.",Recorded,Affordable Housing,ERSP2007-0360
2160,132-611-06,3606702,12/28/2007,"Two of the six units on this property, identified as units 5 and 6 (877 Northwood Blvd., APN's 132-611-05 & 132-612-01), shall be limited to residential affordable housing units as defined by Chapter 2 of the TRPA Code of Ordinances.",Recorded,Affordable Housing,ERSP2007-0360
2146,132-611-06,3582578,10/08/2007,"Recorded in Washoe County. Declaration 1. Land Coverage--the subdivided area shall be deemed to be merged and constitute one parcel for purposes of calculating land coverage. Declaration 2.9. Residential Use--The six (6) residential condominiums on the property shall be limited to residential use and shall not be used as Tourist Accommodation Units. Declaration 2.10. Affordable Housing--One of the six (6) residential condominiums (units 5 and 6, 877 Northwood Blvd., APN's 132-611-05 & 132-612-01) shall be affordable housing units as defined in the TRPA Code of Ordinances.",Recorded,Affordable Housing,
2147,132-612-01,3582578,10/08/2007,"Recorded in Washoe County. Declaration 1. Land Coverage--the subdivided area shall be deemed to be merged and constitute one parcel for purposes of calculating land coverage. Declaration 2.9. Residential Use--The six (6) residential condominiums on the property shall be limited to residential use and shall not be used as Tourist Accommodation Units. Declaration 2.10. Affordable Housing--One of the six (6) residential condominiums (units 5 and 6, 877 Northwood Blvd., APN's 132-611-05 & 132-612-01) shall be affordable housing units as defined in the TRPA Code of Ordinances.",Recorded,Affordable Housing,
2161,132-612-01,3606702,12/28/2007,"Two of the six units on this property, identified as units 5 and 6 (877 Northwood Blvd., APN's 132-611-05 & 132-612-01), shall be limited to residential affordable housing units as defined by Chapter 2 of the TRPA Code of Ordinances.",Recorded,Affordable Housing,ERSP2007-0360
