,File_Number,APN,Deed_Restriction_Type,Units,Date_Type,LTinfo_Transaction_ID,LTInfo_Deed_Restriction,DR_Desc,Center,Notes,Issued Date,Acknowledged Date,Pre-Grade Date,Finaled Date,RecordingNumber,RecordingDate,Description,DeedRestrictionStatus,DeedRestrictionType,ProjectAreaFileNumber,_merge
77,,015-410-001,,,,,,,,,,,,,1999-0001876-00,01/12/1999,"This is an amendment to the deed restriction for subdivision of low cost housing (document #046510, Book 4767, Pages 544-548). The restriction that any residential units must be low cost housing as put forth in Deed Restriction document 046510, recorded in El Dorado County on 9/13/1996, does not apply to new construction on the Remainder Parcel, APN 015-410-001.",Recorded,Affordable Housing,19940815STD,right_only
78,,015-410-001,,,,,,,,,,,,,"Document 046510, Book 4767, Pages 544-548",09/13/1996,"The residential units on this parcel (15), if made available for rental or sale, shall be made available for rent or sale at a cost affordable to persons with incomes equal to or less than 120 percent of the El Dorado County median income.",Recorded,Affordable Housing,19940815STD,right_only
79,,015-420-016,,,,,,,,,,,,,1999-0001876-00,01/12/1999,"This is an amendment to the deed restriction for subdivision of low cost housing (document #046510, Book 4767, Pages 544-548). The restriction that any residential units must be low cost housing as put forth in Deed Restriction document 046510, recorded in El Dorado County on 9/13/1996, does not apply to new construction on the Remainder Parcel, APN 015-410-001.",Recorded,Affordable Housing,19940815STD,right_only
80,,015-420-016,,,,,,,,,,,,,"Document 046510, Book 4767, Pages 544-548",09/13/1996,"The residential units on this parcel (15), if made available for rental or sale, shall be made available for rent or sale at a cost affordable to persons with incomes equal to or less than 120 percent of the El Dorado County median income.",Recorded,Affordable Housing,19940815STD,right_only
81,,032-191-005,,,,,,,,,,,,,2006-0064294-00,09/21/2006,Residential units on the property are restricted to affordable housing.,Recorded,Affordable Housing,20041094STD,right_only
82,,027-101-024,,,,,,,,,,,,,2006-0064598-00,09/22/2006,Authorizes the use and existence of one affordable residential unit by the CSLT.,Recorded,Affordable Housing,20060163cor,right_only
83,,027-381-002,,,,,,,,,,,,,2013-0034709-00,07/08/2013,"Units 1, 2, 3, 4, 6, and 7 of the eight residential units on this parcel are permanently restricted to affordable housing. (Reference: TRPA permit #ERSP2008-0183)",Recorded,Affordable Housing,,right_only
84,,1318-22-002-043,,,,,,,,,,,,,2019-930661,06/20/2019,"Recorded in Douglas County, NV. 

APNs 1318-22-002-042 & -043 (171 & 173 Faris Court) contain an 11-unit apartment complex. To satisfy condition 4.B of TRPA permit ERSP2014-0375-01, ten (10) of the residential units on the Faris Court property shall be permanently restricted to moderate income housing. 

APN 1318-22-002-006 (149 Kahle Drive) contains a 37-unit apartment complex known as the Nevada Royale Apartments. To satisfy condition 4.B of TRPA permit ERSP2014-0375-01, five (5) of the residential units on the Kahle Drive property shall be permanently restricted to moderate income housing. 

Moderate income housing is defined as income not in excess of 120 percent of the county's median income and shall be made available for rental or sale at a cost that does not exceed the recommended state & federal standards. 

This deed restriction was recorded to correct document #2019-927789 and is correcting the fact that document 2019-927789 was recorded as one document and should have been recorded as two separate documents. (Reference: TRPA permit #ERSP2014-0375-01)",Recorded,Moderate Income Housing,,right_only
85,,117-071-053,,,,,,,,,,,,,2022-0065123-00,08/18/2022,"APN 117-071-044 (now APN 117-071-054) received approval from TRPA on February 14, 2022 (TRPA File No. ERSP2020-1404-01) to construct a single structure containing four (4) residential units, subject to a special condition that all of the four residential units shall be permanently deed restricted as Achievable Area Median Income housing units and shall not be used as vacation rentals. See recorded deed restriction for formula for calculating Placer County's achievable area median income percentage. An annual compliance report must be submitted to TRPA.",Recorded,Achievable Housing,ERSP2020-1404-01,right_only
86,,117-071-054,,,,,,,,,,,,,2022-0065123-00,08/18/2022,"APN 117-071-044 (now APN 117-071-054) received approval from TRPA on February 14, 2022 (TRPA File No. ERSP2020-1404-01) to construct a single structure containing four (4) residential units, subject to a special condition that all of the four residential units shall be permanently deed restricted as Achievable Area Median Income housing units and shall not be used as vacation rentals. See recorded deed restriction for formula for calculating Placer County's achievable area median income percentage. An annual compliance report must be submitted to TRPA.",Recorded,Achievable Housing,ERSP2020-1404-01,right_only
87,,132-240-15,,,,,,,,,,,,,2416607,01/24/2000,"APNs 132-240-15, 132-550-00, 132-560-01 through 132-560-32, & 132-570-01 through 132-570-32 are part of a deed restricted ""project area"". These parcels are permanently deed restricted to be treated as if legally consolidated for purposes of land coverage calculations within the project area and the TRPA ordinances pertaining to land coverage. The residential units, if rented or sold, shall be rented or sold at rates and prices affordable to tenants or households that earn not more than 120% of the Washoe County median annual income (""Median Income""), as such is adjusted from time to time. See copy of deed restriction under CAP DOCUMENTS for Median Income affordability calculation.",Recorded,Affordable Housing,19970812STD,right_only
88,,132-240-15,,,,,,,,,,,,,4639345,10/03/2016,"This document is an amended and restated declaration of the covenants, conditions, and restrictions for TRPA subdivision requirements against APNs 132-560-09, 132-560-10, 132-560-11, and 132-560-12. It acknowledges and amends paragraph 3 of the prior deed restriction, document 2416607, dated 1/24/2000, to read as follows: Moderate-Income Housing: Moderate-income housing shall not include units with a rental rate that exceeds 30 percent of the tenant's monthly gross income. Subdivision projects shall be reviewed for purposes of determining appropriate income and sales price limitations for the sales rate of moderate-income housing. Item #1 of the Declarations of this document detail the affordability calculation. See a copy of the deed restriction in CAP DOCUMENTS. ",Recorded,Moderate Income Housing,19970812STD,right_only
89,,132-550-00,,,,,,,,,,,,,2416607,01/24/2000,"APNs 132-240-15, 132-550-00, 132-560-01 through 132-560-32, & 132-570-01 through 132-570-32 are part of a deed restricted ""project area"". These parcels are permanently deed restricted to be treated as if legally consolidated for purposes of land coverage calculations within the project area and the TRPA ordinances pertaining to land coverage. The residential units, if rented or sold, shall be rented or sold at rates and prices affordable to tenants or households that earn not more than 120% of the Washoe County median annual income (""Median Income""), as such is adjusted from time to time. See copy of deed restriction under CAP DOCUMENTS for Median Income affordability calculation.",Recorded,Affordable Housing,19970812STD,right_only
90,,132-560-01,,,,,,,,,,,,,2416607,01/24/2000,"APNs 132-240-15, 132-550-00, 132-560-01 through 132-560-32, & 132-570-01 through 132-570-32 are part of a deed restricted ""project area"". These parcels are permanently deed restricted to be treated as if legally consolidated for purposes of land coverage calculations within the project area and the TRPA ordinances pertaining to land coverage. The residential units, if rented or sold, shall be rented or sold at rates and prices affordable to tenants or households that earn not more than 120% of the Washoe County median annual income (""Median Income""), as such is adjusted from time to time. See copy of deed restriction under CAP DOCUMENTS for Median Income affordability calculation.",Recorded,Affordable Housing,19970812STD,right_only
91,,132-560-02,,,,,,,,,,,,,2416607,01/24/2000,"APNs 132-240-15, 132-550-00, 132-560-01 through 132-560-32, & 132-570-01 through 132-570-32 are part of a deed restricted ""project area"". These parcels are permanently deed restricted to be treated as if legally consolidated for purposes of land coverage calculations within the project area and the TRPA ordinances pertaining to land coverage. The residential units, if rented or sold, shall be rented or sold at rates and prices affordable to tenants or households that earn not more than 120% of the Washoe County median annual income (""Median Income""), as such is adjusted from time to time. See copy of deed restriction under CAP DOCUMENTS for Median Income affordability calculation.",Recorded,Affordable Housing,19970812STD,right_only
92,,132-560-03,,,,,,,,,,,,,2416607,01/24/2000,"APNs 132-240-15, 132-550-00, 132-560-01 through 132-560-32, & 132-570-01 through 132-570-32 are part of a deed restricted ""project area"". These parcels are permanently deed restricted to be treated as if legally consolidated for purposes of land coverage calculations within the project area and the TRPA ordinances pertaining to land coverage. The residential units, if rented or sold, shall be rented or sold at rates and prices affordable to tenants or households that earn not more than 120% of the Washoe County median annual income (""Median Income""), as such is adjusted from time to time. See copy of deed restriction under CAP DOCUMENTS for Median Income affordability calculation.",Recorded,Affordable Housing,19970812STD,right_only
93,,132-560-03,,,,,,,,,,,,,3386685,05/12/2006,"This document is an amended and restated declaration of the covenants, conditions, and restrictions for TRPA subdivision requirements against APNs 132-560-03, -04, -05, -06, -07, -15, -16, -24, & 132-570-05, -17, -18, -23, -26, -27, -28, -29, -31. It acknowledges and amends paragraph 3 of the prior deed restriction, document 2416607, dated 1/24/2000, to read as follows: Moderate-Income Housing: The residential units, if rented or sold, shall be rented or sold at rates and prices affordable to tenants or households that earn not more than 120% of the Washoe County median annual income, as such is adjusted from time to time as a matter of public record. Item #1 of the Declarations of this document detail the affordability calculation.",Recorded,Moderate Income Housing,20060076STD,right_only
94,,132-560-04,,,,,,,,,,,,,2416607,01/24/2000,"APNs 132-240-15, 132-550-00, 132-560-01 through 132-560-32, & 132-570-01 through 132-570-32 are part of a deed restricted ""project area"". These parcels are permanently deed restricted to be treated as if legally consolidated for purposes of land coverage calculations within the project area and the TRPA ordinances pertaining to land coverage. The residential units, if rented or sold, shall be rented or sold at rates and prices affordable to tenants or households that earn not more than 120% of the Washoe County median annual income (""Median Income""), as such is adjusted from time to time. See copy of deed restriction under CAP DOCUMENTS for Median Income affordability calculation.",Recorded,Affordable Housing,19970812STD,right_only
95,,132-560-04,,,,,,,,,,,,,3386685,05/12/2006,"This document is an amended and restated declaration of the covenants, conditions, and restrictions for TRPA subdivision requirements against APNs 132-560-03, -04, -05, -06, -07, -15, -16, -24, & 132-570-05, -17, -18, -23, -26, -27, -28, -29, -31. It acknowledges and amends paragraph 3 of the prior deed restriction, document 2416607, dated 1/24/2000, to read as follows: Moderate-Income Housing: The residential units, if rented or sold, shall be rented or sold at rates and prices affordable to tenants or households that earn not more than 120% of the Washoe County median annual income, as such is adjusted from time to time as a matter of public record. Item #1 of the Declarations of this document detail the affordability calculation.",Recorded,Moderate Income Housing,20060076STD,right_only
96,,132-560-05,,,,,,,,,,,,,2416607,01/24/2000,"APNs 132-240-15, 132-550-00, 132-560-01 through 132-560-32, & 132-570-01 through 132-570-32 are part of a deed restricted ""project area"". These parcels are permanently deed restricted to be treated as if legally consolidated for purposes of land coverage calculations within the project area and the TRPA ordinances pertaining to land coverage. The residential units, if rented or sold, shall be rented or sold at rates and prices affordable to tenants or households that earn not more than 120% of the Washoe County median annual income (""Median Income""), as such is adjusted from time to time. See copy of deed restriction under CAP DOCUMENTS for Median Income affordability calculation.",Recorded,Affordable Housing,19970812STD,right_only
97,,132-560-05,,,,,,,,,,,,,3386685,05/12/2006,"This document is an amended and restated declaration of the covenants, conditions, and restrictions for TRPA subdivision requirements against APNs 132-560-03, -04, -05, -06, -07, -15, -16, -24, & 132-570-05, -17, -18, -23, -26, -27, -28, -29, -31. It acknowledges and amends paragraph 3 of the prior deed restriction, document 2416607, dated 1/24/2000, to read as follows: Moderate-Income Housing: The residential units, if rented or sold, shall be rented or sold at rates and prices affordable to tenants or households that earn not more than 120% of the Washoe County median annual income, as such is adjusted from time to time as a matter of public record. Item #1 of the Declarations of this document detail the affordability calculation.",Recorded,Moderate Income Housing,20060076STD,right_only
98,,132-560-06,,,,,,,,,,,,,2416607,01/24/2000,"APNs 132-240-15, 132-550-00, 132-560-01 through 132-560-32, & 132-570-01 through 132-570-32 are part of a deed restricted ""project area"". These parcels are permanently deed restricted to be treated as if legally consolidated for purposes of land coverage calculations within the project area and the TRPA ordinances pertaining to land coverage. The residential units, if rented or sold, shall be rented or sold at rates and prices affordable to tenants or households that earn not more than 120% of the Washoe County median annual income (""Median Income""), as such is adjusted from time to time. See copy of deed restriction under CAP DOCUMENTS for Median Income affordability calculation.",Recorded,Affordable Housing,19970812STD,right_only
99,,132-560-06,,,,,,,,,,,,,3386685,05/12/2006,"This document is an amended and restated declaration of the covenants, conditions, and restrictions for TRPA subdivision requirements against APNs 132-560-03, -04, -05, -06, -07, -15, -16, -24, & 132-570-05, -17, -18, -23, -26, -27, -28, -29, -31. It acknowledges and amends paragraph 3 of the prior deed restriction, document 2416607, dated 1/24/2000, to read as follows: Moderate-Income Housing: The residential units, if rented or sold, shall be rented or sold at rates and prices affordable to tenants or households that earn not more than 120% of the Washoe County median annual income, as such is adjusted from time to time as a matter of public record. Item #1 of the Declarations of this document detail the affordability calculation.",Recorded,Moderate Income Housing,20060076STD,right_only
100,,132-560-07,,,,,,,,,,,,,2416607,01/24/2000,"APNs 132-240-15, 132-550-00, 132-560-01 through 132-560-32, & 132-570-01 through 132-570-32 are part of a deed restricted ""project area"". These parcels are permanently deed restricted to be treated as if legally consolidated for purposes of land coverage calculations within the project area and the TRPA ordinances pertaining to land coverage. The residential units, if rented or sold, shall be rented or sold at rates and prices affordable to tenants or households that earn not more than 120% of the Washoe County median annual income (""Median Income""), as such is adjusted from time to time. See copy of deed restriction under CAP DOCUMENTS for Median Income affordability calculation.",Recorded,Affordable Housing,19970812STD,right_only
101,,132-560-07,,,,,,,,,,,,,3386685,05/12/2006,"This document is an amended and restated declaration of the covenants, conditions, and restrictions for TRPA subdivision requirements against APNs 132-560-03, -04, -05, -06, -07, -15, -16, -24, & 132-570-05, -17, -18, -23, -26, -27, -28, -29, -31. It acknowledges and amends paragraph 3 of the prior deed restriction, document 2416607, dated 1/24/2000, to read as follows: Moderate-Income Housing: The residential units, if rented or sold, shall be rented or sold at rates and prices affordable to tenants or households that earn not more than 120% of the Washoe County median annual income, as such is adjusted from time to time as a matter of public record. Item #1 of the Declarations of this document detail the affordability calculation.",Recorded,Moderate Income Housing,20060076STD,right_only
102,,132-560-08,,,,,,,,,,,,,2416607,01/24/2000,"APNs 132-240-15, 132-550-00, 132-560-01 through 132-560-32, & 132-570-01 through 132-570-32 are part of a deed restricted ""project area"". These parcels are permanently deed restricted to be treated as if legally consolidated for purposes of land coverage calculations within the project area and the TRPA ordinances pertaining to land coverage. The residential units, if rented or sold, shall be rented or sold at rates and prices affordable to tenants or households that earn not more than 120% of the Washoe County median annual income (""Median Income""), as such is adjusted from time to time. See copy of deed restriction under CAP DOCUMENTS for Median Income affordability calculation.",Recorded,Affordable Housing,19970812STD,right_only
103,,132-560-09,,,,,,,,,,,,,2416607,01/24/2000,"APNs 132-240-15, 132-550-00, 132-560-01 through 132-560-32, & 132-570-01 through 132-570-32 are part of a deed restricted ""project area"". These parcels are permanently deed restricted to be treated as if legally consolidated for purposes of land coverage calculations within the project area and the TRPA ordinances pertaining to land coverage. The residential units, if rented or sold, shall be rented or sold at rates and prices affordable to tenants or households that earn not more than 120% of the Washoe County median annual income (""Median Income""), as such is adjusted from time to time. See copy of deed restriction under CAP DOCUMENTS for Median Income affordability calculation.",Recorded,Affordable Housing,19970812STD,right_only
104,,132-560-09,,,,,,,,,,,,,4639345,10/03/2016,"This document is an amended and restated declaration of the covenants, conditions, and restrictions for TRPA subdivision requirements against APNs 132-560-09, 132-560-10, 132-560-11, and 132-560-12. It acknowledges and amends paragraph 3 of the prior deed restriction, document 2416607, dated 1/24/2000, to read as follows: Moderate-Income Housing: Moderate-income housing shall not include units with a rental rate that exceeds 30 percent of the tenant's monthly gross income. Subdivision projects shall be reviewed for purposes of determining appropriate income and sales price limitations for the sales rate of moderate-income housing. Item #1 of the Declarations of this document detail the affordability calculation. See a copy of the deed restriction in CAP DOCUMENTS. ",Recorded,Moderate Income Housing,19970812STD,right_only
105,,132-560-09,,,,,,,,,,,,,DOC #4639345,10/03/2016,Deed restriction for the property restricting the unit to be rented or sold at specified monthly rental rates and sales prices due to it being moderate income housing. ,Recorded,Moderate Income Housing,,right_only
106,,132-560-10,,,,,,,,,,,,,2416607,01/24/2000,"APNs 132-240-15, 132-550-00, 132-560-01 through 132-560-32, & 132-570-01 through 132-570-32 are part of a deed restricted ""project area"". These parcels are permanently deed restricted to be treated as if legally consolidated for purposes of land coverage calculations within the project area and the TRPA ordinances pertaining to land coverage. The residential units, if rented or sold, shall be rented or sold at rates and prices affordable to tenants or households that earn not more than 120% of the Washoe County median annual income (""Median Income""), as such is adjusted from time to time. See copy of deed restriction under CAP DOCUMENTS for Median Income affordability calculation.",Recorded,Affordable Housing,19970812STD,right_only
107,,132-560-10,,,,,,,,,,,,,4639345,10/03/2016,"This document is an amended and restated declaration of the covenants, conditions, and restrictions for TRPA subdivision requirements against APNs 132-560-09, 132-560-10, 132-560-11, and 132-560-12. It acknowledges and amends paragraph 3 of the prior deed restriction, document 2416607, dated 1/24/2000, to read as follows: Moderate-Income Housing: Moderate-income housing shall not include units with a rental rate that exceeds 30 percent of the tenant's monthly gross income. Subdivision projects shall be reviewed for purposes of determining appropriate income and sales price limitations for the sales rate of moderate-income housing. Item #1 of the Declarations of this document detail the affordability calculation. See a copy of the deed restriction in CAP DOCUMENTS. ",Recorded,Moderate Income Housing,19970812STD,right_only
108,,132-560-10,,,,,,,,,,,,,DOC #4639345,10/03/2016,Deed restriction for the property restricting the unit to be rented or sold at specified monthly rental rates and sales prices due to it being moderate income housing. ,Recorded,Moderate Income Housing,,right_only
109,,132-560-11,,,,,,,,,,,,,2416607,01/24/2000,"APNs 132-240-15, 132-550-00, 132-560-01 through 132-560-32, & 132-570-01 through 132-570-32 are part of a deed restricted ""project area"". These parcels are permanently deed restricted to be treated as if legally consolidated for purposes of land coverage calculations within the project area and the TRPA ordinances pertaining to land coverage. The residential units, if rented or sold, shall be rented or sold at rates and prices affordable to tenants or households that earn not more than 120% of the Washoe County median annual income (""Median Income""), as such is adjusted from time to time. See copy of deed restriction under CAP DOCUMENTS for Median Income affordability calculation.",Recorded,Affordable Housing,19970812STD,right_only
110,,132-560-11,,,,,,,,,,,,,4639345,10/03/2016,"This document is an amended and restated declaration of the covenants, conditions, and restrictions for TRPA subdivision requirements against APNs 132-560-09, 132-560-10, 132-560-11, and 132-560-12. It acknowledges and amends paragraph 3 of the prior deed restriction, document 2416607, dated 1/24/2000, to read as follows: Moderate-Income Housing: Moderate-income housing shall not include units with a rental rate that exceeds 30 percent of the tenant's monthly gross income. Subdivision projects shall be reviewed for purposes of determining appropriate income and sales price limitations for the sales rate of moderate-income housing. Item #1 of the Declarations of this document detail the affordability calculation. See a copy of the deed restriction in CAP DOCUMENTS. ",Recorded,Moderate Income Housing,19970812STD,right_only
111,,132-560-11,,,,,,,,,,,,,DOC #4639345,10/03/2016,Deed restriction for the property restricting the unit to be rented or sold at specified monthly rental rates and sales prices due to it being moderate income housing. ,Recorded,Moderate Income Housing,,right_only
112,,132-560-12,,,,,,,,,,,,,2416607,01/24/2000,"APNs 132-240-15, 132-550-00, 132-560-01 through 132-560-32, & 132-570-01 through 132-570-32 are part of a deed restricted ""project area"". These parcels are permanently deed restricted to be treated as if legally consolidated for purposes of land coverage calculations within the project area and the TRPA ordinances pertaining to land coverage. The residential units, if rented or sold, shall be rented or sold at rates and prices affordable to tenants or households that earn not more than 120% of the Washoe County median annual income (""Median Income""), as such is adjusted from time to time. See copy of deed restriction under CAP DOCUMENTS for Median Income affordability calculation.",Recorded,Affordable Housing,19970812STD,right_only
113,,132-560-12,,,,,,,,,,,,,4639345,10/03/2016,"This document is an amended and restated declaration of the covenants, conditions, and restrictions for TRPA subdivision requirements against APNs 132-560-09, 132-560-10, 132-560-11, and 132-560-12. It acknowledges and amends paragraph 3 of the prior deed restriction, document 2416607, dated 1/24/2000, to read as follows: Moderate-Income Housing: Moderate-income housing shall not include units with a rental rate that exceeds 30 percent of the tenant's monthly gross income. Subdivision projects shall be reviewed for purposes of determining appropriate income and sales price limitations for the sales rate of moderate-income housing. Item #1 of the Declarations of this document detail the affordability calculation. See a copy of the deed restriction in CAP DOCUMENTS. ",Recorded,Moderate Income Housing,19970812STD,right_only
114,,132-560-12,,,,,,,,,,,,,DOC #4639345,10/03/2016,Deed restriction for the property restricting the unit to be rented or sold at specified monthly rental rates and sales prices due to it being moderate income housing. ,Recorded,Moderate Income Housing,,right_only
115,,132-560-13,,,,,,,,,,,,,2416607,01/24/2000,"APNs 132-240-15, 132-550-00, 132-560-01 through 132-560-32, & 132-570-01 through 132-570-32 are part of a deed restricted ""project area"". These parcels are permanently deed restricted to be treated as if legally consolidated for purposes of land coverage calculations within the project area and the TRPA ordinances pertaining to land coverage. The residential units, if rented or sold, shall be rented or sold at rates and prices affordable to tenants or households that earn not more than 120% of the Washoe County median annual income (""Median Income""), as such is adjusted from time to time. See copy of deed restriction under CAP DOCUMENTS for Median Income affordability calculation.",Recorded,Affordable Housing,19970812STD,right_only
116,,132-560-14,,,,,,,,,,,,,2416607,01/24/2000,"APNs 132-240-15, 132-550-00, 132-560-01 through 132-560-32, & 132-570-01 through 132-570-32 are part of a deed restricted ""project area"". These parcels are permanently deed restricted to be treated as if legally consolidated for purposes of land coverage calculations within the project area and the TRPA ordinances pertaining to land coverage. The residential units, if rented or sold, shall be rented or sold at rates and prices affordable to tenants or households that earn not more than 120% of the Washoe County median annual income (""Median Income""), as such is adjusted from time to time. See copy of deed restriction under CAP DOCUMENTS for Median Income affordability calculation.",Recorded,Affordable Housing,19970812STD,right_only
117,,132-560-15,,,,,,,,,,,,,2416607,01/24/2000,"APNs 132-240-15, 132-550-00, 132-560-01 through 132-560-32, & 132-570-01 through 132-570-32 are part of a deed restricted ""project area"". These parcels are permanently deed restricted to be treated as if legally consolidated for purposes of land coverage calculations within the project area and the TRPA ordinances pertaining to land coverage. The residential units, if rented or sold, shall be rented or sold at rates and prices affordable to tenants or households that earn not more than 120% of the Washoe County median annual income (""Median Income""), as such is adjusted from time to time. See copy of deed restriction under CAP DOCUMENTS for Median Income affordability calculation.",Recorded,Affordable Housing,19970812STD,right_only
118,,132-560-15,,,,,,,,,,,,,3386685,05/12/2006,"This document is an amended and restated declaration of the covenants, conditions, and restrictions for TRPA subdivision requirements against APNs 132-560-03, -04, -05, -06, -07, -15, -16, -24, & 132-570-05, -17, -18, -23, -26, -27, -28, -29, -31. It acknowledges and amends paragraph 3 of the prior deed restriction, document 2416607, dated 1/24/2000, to read as follows: Moderate-Income Housing: The residential units, if rented or sold, shall be rented or sold at rates and prices affordable to tenants or households that earn not more than 120% of the Washoe County median annual income, as such is adjusted from time to time as a matter of public record. Item #1 of the Declarations of this document detail the affordability calculation.",Recorded,Moderate Income Housing,20060076STD,right_only
119,,132-560-16,,,,,,,,,,,,,2416607,01/24/2000,"APNs 132-240-15, 132-550-00, 132-560-01 through 132-560-32, & 132-570-01 through 132-570-32 are part of a deed restricted ""project area"". These parcels are permanently deed restricted to be treated as if legally consolidated for purposes of land coverage calculations within the project area and the TRPA ordinances pertaining to land coverage. The residential units, if rented or sold, shall be rented or sold at rates and prices affordable to tenants or households that earn not more than 120% of the Washoe County median annual income (""Median Income""), as such is adjusted from time to time. See copy of deed restriction under CAP DOCUMENTS for Median Income affordability calculation.",Recorded,Affordable Housing,19970812STD,right_only
120,,132-560-16,,,,,,,,,,,,,3386685,05/12/2006,"This document is an amended and restated declaration of the covenants, conditions, and restrictions for TRPA subdivision requirements against APNs 132-560-03, -04, -05, -06, -07, -15, -16, -24, & 132-570-05, -17, -18, -23, -26, -27, -28, -29, -31. It acknowledges and amends paragraph 3 of the prior deed restriction, document 2416607, dated 1/24/2000, to read as follows: Moderate-Income Housing: The residential units, if rented or sold, shall be rented or sold at rates and prices affordable to tenants or households that earn not more than 120% of the Washoe County median annual income, as such is adjusted from time to time as a matter of public record. Item #1 of the Declarations of this document detail the affordability calculation.",Recorded,Moderate Income Housing,20060076STD,right_only
121,,132-560-17,,,,,,,,,,,,,2416607,01/24/2000,"APNs 132-240-15, 132-550-00, 132-560-01 through 132-560-32, & 132-570-01 through 132-570-32 are part of a deed restricted ""project area"". These parcels are permanently deed restricted to be treated as if legally consolidated for purposes of land coverage calculations within the project area and the TRPA ordinances pertaining to land coverage. The residential units, if rented or sold, shall be rented or sold at rates and prices affordable to tenants or households that earn not more than 120% of the Washoe County median annual income (""Median Income""), as such is adjusted from time to time. See copy of deed restriction under CAP DOCUMENTS for Median Income affordability calculation.",Recorded,Affordable Housing,19970812STD,right_only
122,,132-560-18,,,,,,,,,,,,,2416607,01/24/2000,"APNs 132-240-15, 132-550-00, 132-560-01 through 132-560-32, & 132-570-01 through 132-570-32 are part of a deed restricted ""project area"". These parcels are permanently deed restricted to be treated as if legally consolidated for purposes of land coverage calculations within the project area and the TRPA ordinances pertaining to land coverage. The residential units, if rented or sold, shall be rented or sold at rates and prices affordable to tenants or households that earn not more than 120% of the Washoe County median annual income (""Median Income""), as such is adjusted from time to time. See copy of deed restriction under CAP DOCUMENTS for Median Income affordability calculation.",Recorded,Affordable Housing,19970812STD,right_only
123,,132-560-19,,,,,,,,,,,,,2416607,01/24/2000,"APNs 132-240-15, 132-550-00, 132-560-01 through 132-560-32, & 132-570-01 through 132-570-32 are part of a deed restricted ""project area"". These parcels are permanently deed restricted to be treated as if legally consolidated for purposes of land coverage calculations within the project area and the TRPA ordinances pertaining to land coverage. The residential units, if rented or sold, shall be rented or sold at rates and prices affordable to tenants or households that earn not more than 120% of the Washoe County median annual income (""Median Income""), as such is adjusted from time to time. See copy of deed restriction under CAP DOCUMENTS for Median Income affordability calculation.",Recorded,Affordable Housing,19970812STD,right_only
124,,132-560-19,,,,,,,,,,,,,3472014,12/07/2006,"The residential units on APNs 132-560-19, 132-560-20, 132-570-19, and 132-570-20 are deed restricted as moderate-income housing. These residential units, if rented or sold, shall be rented or sold at rates and prices affordable to households that earn not more than 120% of the Washoe County median annual income.",Recorded,Moderate Income Housing,20061268STD,right_only
125,,132-560-20,,,,,,,,,,,,,2416607,01/24/2000,"APNs 132-240-15, 132-550-00, 132-560-01 through 132-560-32, & 132-570-01 through 132-570-32 are part of a deed restricted ""project area"". These parcels are permanently deed restricted to be treated as if legally consolidated for purposes of land coverage calculations within the project area and the TRPA ordinances pertaining to land coverage. The residential units, if rented or sold, shall be rented or sold at rates and prices affordable to tenants or households that earn not more than 120% of the Washoe County median annual income (""Median Income""), as such is adjusted from time to time. See copy of deed restriction under CAP DOCUMENTS for Median Income affordability calculation.",Recorded,Affordable Housing,19970812STD,right_only
126,,132-560-20,,,,,,,,,,,,,3472014,12/07/2006,"The residential units on APNs 132-560-19, 132-560-20, 132-570-19, and 132-570-20 are deed restricted as moderate-income housing. These residential units, if rented or sold, shall be rented or sold at rates and prices affordable to households that earn not more than 120% of the Washoe County median annual income.",Recorded,Moderate Income Housing,20061268STD,right_only
127,,132-560-21,,,,,,,,,,,,,2416607,01/24/2000,"APNs 132-240-15, 132-550-00, 132-560-01 through 132-560-32, & 132-570-01 through 132-570-32 are part of a deed restricted ""project area"". These parcels are permanently deed restricted to be treated as if legally consolidated for purposes of land coverage calculations within the project area and the TRPA ordinances pertaining to land coverage. The residential units, if rented or sold, shall be rented or sold at rates and prices affordable to tenants or households that earn not more than 120% of the Washoe County median annual income (""Median Income""), as such is adjusted from time to time. See copy of deed restriction under CAP DOCUMENTS for Median Income affordability calculation.",Recorded,Affordable Housing,19970812STD,right_only
128,,132-560-21,,,,,,,,,,,,,3458269,11/01/2006,"The residential unit on this parcel is deed restricted as moderate-income housing. The residential unit, if rented or sold, shall be rented or sold at rates and prices affordable to households that earn not more than 120% of the Washoe County median annual income.",Recorded,Moderate Income Housing,20061138STD,right_only
129,,132-560-22,,,,,,,,,,,,,2416607,01/24/2000,"APNs 132-240-15, 132-550-00, 132-560-01 through 132-560-32, & 132-570-01 through 132-570-32 are part of a deed restricted ""project area"". These parcels are permanently deed restricted to be treated as if legally consolidated for purposes of land coverage calculations within the project area and the TRPA ordinances pertaining to land coverage. The residential units, if rented or sold, shall be rented or sold at rates and prices affordable to tenants or households that earn not more than 120% of the Washoe County median annual income (""Median Income""), as such is adjusted from time to time. See copy of deed restriction under CAP DOCUMENTS for Median Income affordability calculation.",Recorded,Affordable Housing,19970812STD,right_only
