APN,RecordType,DevelopmentRight,LandCapability,IPESScore,CumulativeBankedQuantity,RemainingBankedQuantity,LastUpdated,TransactionNumber,TransactionApprovalDate,SendingParcel,ReceivingParcel,AccelaID,JurisdictionPermitNumber,LandCapabilityCategory,JURISDICTION,PLAN_ID,PLAN_NAME,ZONING_ID,ZONING_DESCRIPTION,TOWN_CENTER,LOCATION_TO_TOWNCENTER,TAZ,WITHIN_BONUSUNIT_BNDY,WITHIN_TRPA_BNDY,LOCAL_PLAN_HYPERLINK,LTINFO_HYPERLINK,PARCEL_ACRES,PARCEL_SQFT,SHAPE
032-161-002,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),IPES,995.0,1,,03/08/2022,TRPA-TRF-1836,03/07/2022,034-212-001,,TRAN2021-0877,,Non-Sensitive,CSLT,114,BONANZA,114_SA1,Bonanza Special Area #1,,Quarter Mile Buffer,159,1,1,https://www.trpa.gov/wp-content/uploads/documents/archive/2/114.pdf,https://parcels.laketahoeinfo.org/Parcel/Detail/032-161-002,0.98043991,42708,"{'rings': [[[760285.8538905596, 4310246.060841771], [760224.580200647, 4310229.649044473], [760222.8362009339, 4310235.767643467], [760221.092601221, 4310241.848142466], [760219.1969015338, 4310247.888841471], [760217.1492018709, 4310253.889840484], [760215.101502208, 4310259.890739495], [760212.7497025952, 4310265.81213852], [760210.550402957, 4310271.735337544], [760208.046903369, 4310277.578836583], [760205.3881038064, 4310283.687435577], [760263.5085942382, 4310309.595331311], [760266.6363937231, 4310302.424432492], [760269.4564932594, 4310295.516933629], [760272.1239928203, 4310288.607834768], [760274.7923923805, 4310281.622535918], [760277.3086919663, 4310274.597337075], [760279.6733915769, 4310267.4942382425], [760281.8855912127, 4310260.389539413], [760283.9457908738, 4310253.245040588], [760285.8538905596, 4310246.060841771]]], 'spatialReference': {'wkid': 26910, 'latestWkid': 26910}}"
032-161-002,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),IPES,995.0,1,,05/03/2022,TRPA-TRF-1874,05/02/2022,025-552-001,,TRAN2021-1723,,Non-Sensitive,CSLT,114,BONANZA,114_SA1,Bonanza Special Area #1,,Quarter Mile Buffer,159,1,1,https://www.trpa.gov/wp-content/uploads/documents/archive/2/114.pdf,https://parcels.laketahoeinfo.org/Parcel/Detail/032-161-002,0.98043991,42708,"{'rings': [[[760285.8538905596, 4310246.060841771], [760224.580200647, 4310229.649044473], [760222.8362009339, 4310235.767643467], [760221.092601221, 4310241.848142466], [760219.1969015338, 4310247.888841471], [760217.1492018709, 4310253.889840484], [760215.101502208, 4310259.890739495], [760212.7497025952, 4310265.81213852], [760210.550402957, 4310271.735337544], [760208.046903369, 4310277.578836583], [760205.3881038064, 4310283.687435577], [760263.5085942382, 4310309.595331311], [760266.6363937231, 4310302.424432492], [760269.4564932594, 4310295.516933629], [760272.1239928203, 4310288.607834768], [760274.7923923805, 4310281.622535918], [760277.3086919663, 4310274.597337075], [760279.6733915769, 4310267.4942382425], [760281.8855912127, 4310260.389539413], [760283.9457908738, 4310253.245040588], [760285.8538905596, 4310246.060841771]]], 'spatialReference': {'wkid': 26910, 'latestWkid': 26910}}"
032-161-008,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),6,,1,,07/20/2021,TRPA-TRF-1468,12/08/2020,032-142-006,,TRAN2020-1143,,Non-Sensitive,CSLT,114,BONANZA,114_SA1,Bonanza Special Area #1,,Outside Buffer,159,1,1,https://www.trpa.gov/wp-content/uploads/documents/archive/2/114.pdf,https://parcels.laketahoeinfo.org/Parcel/Detail/032-161-008,0.82480481,35928,"{'rings': [[[760236.3395987116, 4310116.0211631805], [760235.9547987748, 4310109.34566428], [760235.4133988637, 4310103.049565315], [760234.7195989778, 4310096.751966352], [760234.0257990919, 4310090.454267388], [760233.1794992313, 4310084.154968426], [760232.1802993957, 4310077.892069457], [760231.1810995601, 4310071.629170489], [760230.0289997505, 4310065.402671514], [760228.723999965, 4310059.212772531], [760166.3628102317, 4310072.638670322], [760167.3744100649, 4310077.75806948], [760168.3857098985, 4310082.915468629], [760169.2444097567, 4310088.071267782], [760170.1032096157, 4310093.227066932], [760170.8091094997, 4310098.419366078], [760171.362509408, 4310103.609965224], [760171.9159093173, 4310108.800564369], [760172.3169092508, 4310113.989463514], [760172.7145091854, 4310119.483462609], [760236.3395987116, 4310116.0211631805]]], 'spatialReference': {'wkid': 26910, 'latestWkid': 26910}}"
032-161-012,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),5,,6,,03/22/2023,TRPA-TRF-1451,03/21/2023,023-151-003,,TRAN2021-0168,,Non-Sensitive,CSLT,114,BONANZA,114_SA1,Bonanza Special Area #1,,Quarter Mile Buffer,159,1,1,https://www.trpa.gov/wp-content/uploads/documents/archive/2/114.pdf,https://parcels.laketahoeinfo.org/Parcel/Detail/032-161-012,0.85587693,37282,"{'rings': [[[760205.3881038064, 4310283.687435577], [760147.267913375, 4310257.741339849], [760141.0237144027, 4310271.016037663], [760134.6280154558, 4310284.212735491], [760133.5391156347, 4310286.183235167], [760123.8875172241, 4310304.300232183], [760179.9803079898, 4310334.3796272315], [760190.2567062974, 4310314.89683044], [760193.8413057076, 4310307.807031607], [760197.892705041, 4310299.845732918], [760201.7924043983, 4310291.80633424], [760205.3881038064, 4310283.687435577]]], 'spatialReference': {'wkid': 26910, 'latestWkid': 26910}}"
032-162-001,Transfer Receiving Parcel,Commercial Floor Area (CFA),IPES,857.0,112,,11/10/2021,TRPA-TRF-1822,11/10/2021,127-090-04,,TRAN2021-1168,,Non-Sensitive,CSLT,114,BONANZA,114,Bonanza,,Quarter Mile Buffer,159,1,1,https://www.trpa.gov/wp-content/uploads/documents/archive/2/114.pdf,https://parcels.laketahoeinfo.org/Parcel/Detail/032-162-001,0.76545449,33343,"{'rings': [[[760136.0357152242, 4310252.968140634], [760078.2186247427, 4310227.215944875], [760066.6834266419, 4310250.268441079], [760057.03142823, 4310268.42373809], [760113.1236189958, 4310298.541033132], [760122.9277173821, 4310280.425636115], [760123.24181733, 4310279.590336252], [760129.7908162521, 4310266.318938436], [760136.0357152242, 4310252.968140634]]], 'spatialReference': {'wkid': 26910, 'latestWkid': 26910}}"
032-191-021,Transfer Receiving Parcel,Commercial Floor Area (CFA),7,,10849,,01/08/2016,TRPA-TRF-356,05/29/2015,023-201-075,,TRAN2014-1102,,Non-Sensitive,CSLT,110,TAHOE VALLEY AREA PLAN,TVAP_TC_G,Tahoe Valley Area Plan - Town Center Gateway District,South Y,Town Center,160,1,1,https://www.trpa.gov/wp-content/uploads/documents/archive/2/TVAP.pdf,https://parcels.laketahoeinfo.org/Parcel/Detail/032-191-021,1.96537839,85612,"{'rings': [[[760039.639331094, 4311127.963696586], [759983.3627403583, 4311097.758601557], [759914.6961516626, 4311060.93970762], [759898.55345432, 4311087.171503302], [759928.4942493914, 4311100.706301073], [759910.3864523722, 4311134.582995497], [759942.0481471596, 4311148.89449314], [759962.2134438399, 4311158.009391639], [760011.5130357239, 4311180.29348797], [760039.639331094, 4311127.963696586]]], 'spatialReference': {'wkid': 26910, 'latestWkid': 26910}}"
032-191-021,Transfer Receiving Parcel,Commercial Floor Area (CFA),7,,18000,,10/31/2017,TRPA-TRF-380,10/03/2017,023-392-003,,TRAN2016-0457,,Non-Sensitive,CSLT,110,TAHOE VALLEY AREA PLAN,TVAP_TC_G,Tahoe Valley Area Plan - Town Center Gateway District,South Y,Town Center,160,1,1,https://www.trpa.gov/wp-content/uploads/documents/archive/2/TVAP.pdf,https://parcels.laketahoeinfo.org/Parcel/Detail/032-191-021,1.96537839,85612,"{'rings': [[[760039.639331094, 4311127.963696586], [759983.3627403583, 4311097.758601557], [759914.6961516626, 4311060.93970762], [759898.55345432, 4311087.171503302], [759928.4942493914, 4311100.706301073], [759910.3864523722, 4311134.582995497], [759942.0481471596, 4311148.89449314], [759962.2134438399, 4311158.009391639], [760011.5130357239, 4311180.29348797], [760039.639331094, 4311127.963696586]]], 'spatialReference': {'wkid': 26910, 'latestWkid': 26910}}"
032-242-005,Transfer Receiving Parcel,Coverage (potential),IPES,1011.0,915,,03/05/2024,TRPA-TRF-2407,03/05/2020,023-141-005,,CORR2024-0210,CORR2024-0210,Non-Sensitive,CSLT,114,BONANZA,114,Bonanza,,Quarter Mile Buffer,159,1,1,https://www.trpa.gov/wp-content/uploads/documents/archive/2/114.pdf,https://parcels.laketahoeinfo.org/Parcel/Detail/032-242-005,0.24004225,10456,"{'rings': [[[759651.1752950456, 4310864.230140004], [759594.9308043048, 4310834.110944962], [759590.4161050487, 4310842.601043565], [759587.7701054839, 4310847.528042752], [759643.8621962499, 4310877.6455377955], [759651.1752950456, 4310864.230140004]]], 'spatialReference': {'wkid': 26910, 'latestWkid': 26910}}"
032-274-007,Transfer Receiving Parcel,Coverage (potential),IPES,880.0,300,,11/04/2015,TRPA-TRF-298,01/26/2015,034-161-021,,TRAN2014-1377,,Non-Sensitive,CSLT,114,BONANZA,114,Bonanza,,Quarter Mile Buffer,158,1,1,https://www.trpa.gov/wp-content/uploads/documents/archive/2/114.pdf,https://parcels.laketahoeinfo.org/Parcel/Detail/032-274-007,0.11469923,4996,"{'rings': [[[759437.5433302158, 4310850.008042345], [759424.2024324117, 4310842.848243523], [759409.7288347948, 4310869.680839106], [759423.2212325735, 4310876.918437915], [759437.5433302158, 4310850.008042345]]], 'spatialReference': {'wkid': 26910, 'latestWkid': 26910}}"
032-277-001,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),IPES,951.0,1,,04/27/2023,TRPA-TRF-2120,03/30/2023,016-313-010,,TRAN2022-1566,,Non-Sensitive,CSLT,114,BONANZA,114,Bonanza,,Quarter Mile Buffer,159,1,1,https://www.trpa.gov/wp-content/uploads/documents/archive/2/114.pdf,https://parcels.laketahoeinfo.org/Parcel/Detail/032-277-001,0.15703035,6840,"{'rings': [[[759439.7692298489, 4310813.6643483285], [759412.935934267, 4310799.266650699], [759403.1285358816, 4310817.687047666], [759429.9617314637, 4310832.084445296], [759439.7692298489, 4310813.6643483285]]], 'spatialReference': {'wkid': 26910, 'latestWkid': 26910}}"
032-279-009,Transfer Receiving Parcel,Coverage (potential),IPES,834.0,300,,11/27/2023,TRPA-TRF-2335,10/27/2023,033-672-010,,CORR2023-1519,CORR2023-1519,Non-Sensitive,CSLT,114,BONANZA,114,Bonanza,,Quarter Mile Buffer,159,1,1,https://www.trpa.gov/wp-content/uploads/documents/archive/2/114.pdf,https://parcels.laketahoeinfo.org/Parcel/Detail/032-279-009,0.11513448,5015,"{'rings': [[[759623.726499565, 4310780.368053809], [759626.5256991042, 4310775.366454633], [759599.5400035465, 4310760.967257004], [759592.3794047255, 4310774.384354794], [759619.211800308, 4310788.858052412], [759623.726499565, 4310780.368053809]]], 'spatialReference': {'wkid': 26910, 'latestWkid': 26910}}"
032-282-003,Transfer Receiving Parcel,Coverage (potential),IPES,758.0,579,,02/29/2024,TRPA-TRF-2349,05/26/2023,023-142-023,,CORR2023-1635,CORR2023-1635,Non-Sensitive,CSLT,114,BONANZA,114,Bonanza,,Quarter Mile Buffer,159,1,1,https://www.trpa.gov/wp-content/uploads/documents/archive/2/114.pdf,https://parcels.laketahoeinfo.org/Parcel/Detail/032-282-003,0.12008375,5231,"{'rings': [[[759683.3497897489, 4310514.393797597], [759656.5164941661, 4310499.996299967], [759649.0434953971, 4310514.096297646], [759662.3842932004, 4310521.255996468], [759675.876790979, 4310528.493695276], [759683.3497897489, 4310514.393797597]]], 'spatialReference': {'wkid': 26910, 'latestWkid': 26910}}"
032-282-004,Transfer Receiving Parcel,Coverage (potential),IPES,758.0,591,,02/29/2024,TRPA-TRF-2350,05/26/2023,023-142-023,,CORR2023-1635,CORR2023-1635,Non-Sensitive,CSLT,114,BONANZA,114,Bonanza,,Quarter Mile Buffer,159,1,1,https://www.trpa.gov/wp-content/uploads/documents/archive/2/114.pdf,https://parcels.laketahoeinfo.org/Parcel/Detail/032-282-004,0.11497049,5008,"{'rings': [[[759690.6629885454, 4310500.978299806], [759663.8294929629, 4310486.580902176], [759656.5164941661, 4310499.996299967], [759683.3497897489, 4310514.393797597], [759690.6629885454, 4310500.978299806]]], 'spatialReference': {'wkid': 26910, 'latestWkid': 26910}}"
032-282-015,Transfer Receiving Parcel,Coverage (potential),IPES,781.0,134,,03/10/2023,TRPA-TRF-2131,02/23/2023,081-152-014,,CORR2023-0236,,Non-Sensitive,CSLT,114,BONANZA,114,Bonanza,,Quarter Mile Buffer,159,1,1,https://www.trpa.gov/wp-content/uploads/documents/archive/2/114.pdf,https://parcels.laketahoeinfo.org/Parcel/Detail/032-282-015,0.11485411,5003,"{'rings': [[[759769.8891755026, 4310353.1664241385], [759743.0558799198, 4310338.769026509], [759735.8948810985, 4310352.224224294], [759762.7277766811, 4310366.659821918], [759769.8891755026, 4310353.1664241385]]], 'spatialReference': {'wkid': 26910, 'latestWkid': 26910}}"
032-282-016,Transfer Receiving Parcel,Coverage (potential),5,,550,,01/21/2025,TRPA-TRF-2651,07/17/2024,032-090-005,,CORR2024-1644,CORR2024-1644,Non-Sensitive,CSLT,114,BONANZA,114,Bonanza,,Outside Buffer,159,1,1,https://www.trpa.gov/wp-content/uploads/documents/archive/2/114.pdf,https://parcels.laketahoeinfo.org/Parcel/Detail/032-282-016,0.11495939,5008,"{'rings': [[[759777.2022742983, 4310339.750926347], [759750.216378741, 4310325.351928718], [759743.0558799198, 4310338.769026509], [759769.8891755026, 4310353.1664241385], [759777.2022742983, 4310339.750926347]]], 'spatialReference': {'wkid': 26910, 'latestWkid': 26910}}"
032-291-028,Transfer Receiving Parcel,Coverage (hard),7,,39802,,08/22/2023,TRPA-TRF-2292,07/26/2023,033-050-006,,TRAN2023-0860,TRAN2023-0860,Non-Sensitive,CSLT,TVAP,Tahoe Valley Area Plan,TVAP_TC_MUC,Tahoe Valley Area Plan - Town Center Mixed-Use Corridor,SOUTH Y,Town Center,58,1,1,https://www.trpa.gov/wp-content/uploads/documents/archive/2/TVAP.pdf,https://parcels.laketahoeinfo.org/Parcel/Detail/032-291-028,10.04028064,437355,"{'rings': [[[759412.7016343055, 4311142.588694178], [759451.4653279241, 4311083.693703873], [759470.6929247584, 4311054.396908697], [759526.7848155238, 4311084.514603738], [759560.2782100104, 4311033.491412139], [759544.5120126056, 4311025.009113535], [759531.0186148267, 4311017.847614713], [759517.526217048, 4311010.609915905], [759504.1862192443, 4311003.373917097], [759490.693021466, 4310996.212518275], [759477.2004236868, 4310988.9748194665], [759466.4366254592, 4310983.215420416], [759453.0967276553, 4310975.979421606], [759439.6034298763, 4310968.818022786], [759426.2633320726, 4310961.582023976], [759412.770934294, 4310954.344225168], [759402.0071360655, 4310948.584926117], [759388.5138382874, 4310941.423427295], [759375.1737404838, 4310934.187428487], [759361.6813427052, 4310926.949729677], [759348.3405449009, 4310919.790030858], [759252.6096606608, 4311070.852305988], [759252.2981607122, 4311071.458805887], [759252.1389607387, 4311072.067105787], [759251.9798607649, 4311072.675305687], [759251.8207607912, 4311073.283505587], [759251.8141607922, 4311073.893405488], [759251.9607607676, 4311074.4287054], [759251.9541607685, 4311075.038505299], [759252.1007607449, 4311075.573805211], [759252.177960732, 4311076.158905115], [759252.5178606762, 4311076.666705031], [759252.8320606239, 4311077.117104957], [759253.1464605723, 4311077.567604883], [759258.2597597307, 4311084.104003806], [759263.3738588886, 4311090.564202743], [759268.6413580216, 4311096.949801691], [759274.0620571291, 4311103.260800652], [759279.6369562112, 4311109.421099639], [759285.3651552685, 4311115.506798636], [759291.0941543253, 4311121.516197648], [759296.8240533816, 4311127.44939667], [759302.8604523884, 4311133.233395718], [759308.8976513948, 4311138.941194778], [759315.0890503749, 4311144.498193864], [759321.2813493554, 4311149.978992961], [759327.6276483107, 4311155.308992084], [759333.3708473658, 4311160.022491308], [759377.8119400488, 4311195.8074854165], [759412.7016343055, 4311142.588694178]]], 'spatialReference': {'wkid': 26910, 'latestWkid': 26910}}"
032-291-028,Transfer Receiving Parcel,Coverage (hard),7,,14319,,08/12/2024,TRPA-TRF-2574,08/12/2024,033-050-006,,TRAN2024-0768,,Non-Sensitive,CSLT,TVAP,Tahoe Valley Area Plan,TVAP_TC_MUC,Tahoe Valley Area Plan - Town Center Mixed-Use Corridor,SOUTH Y,Town Center,58,1,1,https://www.trpa.gov/wp-content/uploads/documents/archive/2/TVAP.pdf,https://parcels.laketahoeinfo.org/Parcel/Detail/032-291-028,10.04028064,437355,"{'rings': [[[759412.7016343055, 4311142.588694178], [759451.4653279241, 4311083.693703873], [759470.6929247584, 4311054.396908697], [759526.7848155238, 4311084.514603738], [759560.2782100104, 4311033.491412139], [759544.5120126056, 4311025.009113535], [759531.0186148267, 4311017.847614713], [759517.526217048, 4311010.609915905], [759504.1862192443, 4311003.373917097], [759490.693021466, 4310996.212518275], [759477.2004236868, 4310988.9748194665], [759466.4366254592, 4310983.215420416], [759453.0967276553, 4310975.979421606], [759439.6034298763, 4310968.818022786], [759426.2633320726, 4310961.582023976], [759412.770934294, 4310954.344225168], [759402.0071360655, 4310948.584926117], [759388.5138382874, 4310941.423427295], [759375.1737404838, 4310934.187428487], [759361.6813427052, 4310926.949729677], [759348.3405449009, 4310919.790030858], [759252.6096606608, 4311070.852305988], [759252.2981607122, 4311071.458805887], [759252.1389607387, 4311072.067105787], [759251.9798607649, 4311072.675305687], [759251.8207607912, 4311073.283505587], [759251.8141607922, 4311073.893405488], [759251.9607607676, 4311074.4287054], [759251.9541607685, 4311075.038505299], [759252.1007607449, 4311075.573805211], [759252.177960732, 4311076.158905115], [759252.5178606762, 4311076.666705031], [759252.8320606239, 4311077.117104957], [759253.1464605723, 4311077.567604883], [759258.2597597307, 4311084.104003806], [759263.3738588886, 4311090.564202743], [759268.6413580216, 4311096.949801691], [759274.0620571291, 4311103.260800652], [759279.6369562112, 4311109.421099639], [759285.3651552685, 4311115.506798636], [759291.0941543253, 4311121.516197648], [759296.8240533816, 4311127.44939667], [759302.8604523884, 4311133.233395718], [759308.8976513948, 4311138.941194778], [759315.0890503749, 4311144.498193864], [759321.2813493554, 4311149.978992961], [759327.6276483107, 4311155.308992084], [759333.3708473658, 4311160.022491308], [759377.8119400488, 4311195.8074854165], [759412.7016343055, 4311142.588694178]]], 'spatialReference': {'wkid': 26910, 'latestWkid': 26910}}"
032-291-029,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),7,,1,,02/03/2022,TRPA-TRF-1443,02/02/2022,023-181-038,,TRAN2021-0062,,Non-Sensitive,CSLT,TVAP,Tahoe Valley Area Plan,TVAP_TC_MUC,Tahoe Valley Area Plan - Town Center Mixed-Use Corridor,SOUTH Y,Town Center,58,1,1,https://www.trpa.gov/wp-content/uploads/documents/archive/2/TVAP.pdf,https://parcels.laketahoeinfo.org/Parcel/Detail/032-291-029,0.64140526,27940,"{'rings': [[[759526.7848155238, 4311084.514603738], [759470.6928247586, 4311054.396908697], [759451.4652279234, 4311083.693703873], [759501.045419761, 4311123.651997296], [759526.7848155238, 4311084.514603738]]], 'spatialReference': {'wkid': 26910, 'latestWkid': 26910}}"
032-291-029,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),7,,2,,11/04/2022,TRPA-TRF-2030,10/11/2022,027-010-016,,TRAN2022-0999,,Non-Sensitive,CSLT,TVAP,Tahoe Valley Area Plan,TVAP_TC_MUC,Tahoe Valley Area Plan - Town Center Mixed-Use Corridor,SOUTH Y,Town Center,58,1,1,https://www.trpa.gov/wp-content/uploads/documents/archive/2/TVAP.pdf,https://parcels.laketahoeinfo.org/Parcel/Detail/032-291-029,0.64140526,27940,"{'rings': [[[759526.7848155238, 4311084.514603738], [759470.6928247586, 4311054.396908697], [759451.4652279234, 4311083.693703873], [759501.045419761, 4311123.651997296], [759526.7848155238, 4311084.514603738]]], 'spatialReference': {'wkid': 26910, 'latestWkid': 26910}}"
032-291-029,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),7,,1,,11/04/2022,TRPA-TRF-2040,10/22/2022,032-141-003,,TRAN2022-0998,,Non-Sensitive,CSLT,TVAP,Tahoe Valley Area Plan,TVAP_TC_MUC,Tahoe Valley Area Plan - Town Center Mixed-Use Corridor,SOUTH Y,Town Center,58,1,1,https://www.trpa.gov/wp-content/uploads/documents/archive/2/TVAP.pdf,https://parcels.laketahoeinfo.org/Parcel/Detail/032-291-029,0.64140526,27940,"{'rings': [[[759526.7848155238, 4311084.514603738], [759470.6928247586, 4311054.396908697], [759451.4652279234, 4311083.693703873], [759501.045419761, 4311123.651997296], [759526.7848155238, 4311084.514603738]]], 'spatialReference': {'wkid': 26910, 'latestWkid': 26910}}"
032-291-029,Transfer Receiving Parcel,Tourist Accommodation Unit (TAU),7,,9,,01/25/2023,TRPA-TRF-2083,01/06/2023,032-141-003,,TRAN2022-1389,,Non-Sensitive,CSLT,TVAP,Tahoe Valley Area Plan,TVAP_TC_MUC,Tahoe Valley Area Plan - Town Center Mixed-Use Corridor,SOUTH Y,Town Center,58,1,1,https://www.trpa.gov/wp-content/uploads/documents/archive/2/TVAP.pdf,https://parcels.laketahoeinfo.org/Parcel/Detail/032-291-029,0.64140526,27940,"{'rings': [[[759526.7848155238, 4311084.514603738], [759470.6928247586, 4311054.396908697], [759451.4652279234, 4311083.693703873], [759501.045419761, 4311123.651997296], [759526.7848155238, 4311084.514603738]]], 'spatialReference': {'wkid': 26910, 'latestWkid': 26910}}"
032-291-029,Transfer Receiving Parcel,Tourist Accommodation Unit (TAU),7,,21,,02/08/2024,TRPA-TRF-2387,03/09/2023,026-049-002,,TRAN2022-1418,TRAN2022-1418,Non-Sensitive,CSLT,TVAP,Tahoe Valley Area Plan,TVAP_TC_MUC,Tahoe Valley Area Plan - Town Center Mixed-Use Corridor,SOUTH Y,Town Center,58,1,1,https://www.trpa.gov/wp-content/uploads/documents/archive/2/TVAP.pdf,https://parcels.laketahoeinfo.org/Parcel/Detail/032-291-029,0.64140526,27940,"{'rings': [[[759526.7848155238, 4311084.514603738], [759470.6928247586, 4311054.396908697], [759451.4652279234, 4311083.693703873], [759501.045419761, 4311123.651997296], [759526.7848155238, 4311084.514603738]]], 'spatialReference': {'wkid': 26910, 'latestWkid': 26910}}"
032-291-029,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),7,,1,,09/24/2024,TRPA-TRF-2526,08/27/2024,025-202-012,,TRAN2024-0028,,Non-Sensitive,CSLT,TVAP,Tahoe Valley Area Plan,TVAP_TC_MUC,Tahoe Valley Area Plan - Town Center Mixed-Use Corridor,SOUTH Y,Town Center,58,1,1,https://www.trpa.gov/wp-content/uploads/documents/archive/2/TVAP.pdf,https://parcels.laketahoeinfo.org/Parcel/Detail/032-291-029,0.64140526,27940,"{'rings': [[[759526.7848155238, 4311084.514603738], [759470.6928247586, 4311054.396908697], [759451.4652279234, 4311083.693703873], [759501.045419761, 4311123.651997296], [759526.7848155238, 4311084.514603738]]], 'spatialReference': {'wkid': 26910, 'latestWkid': 26910}}"
032-291-029,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),7,,1,,09/24/2024,TRPA-TRF-2527,08/27/2024,027-154-020,,TRAN2024-0028,,Non-Sensitive,CSLT,TVAP,Tahoe Valley Area Plan,TVAP_TC_MUC,Tahoe Valley Area Plan - Town Center Mixed-Use Corridor,SOUTH Y,Town Center,58,1,1,https://www.trpa.gov/wp-content/uploads/documents/archive/2/TVAP.pdf,https://parcels.laketahoeinfo.org/Parcel/Detail/032-291-029,0.64140526,27940,"{'rings': [[[759526.7848155238, 4311084.514603738], [759470.6928247586, 4311054.396908697], [759451.4652279234, 4311083.693703873], [759501.045419761, 4311123.651997296], [759526.7848155238, 4311084.514603738]]], 'spatialReference': {'wkid': 26910, 'latestWkid': 26910}}"
032-291-029,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),7,,1,,09/24/2024,TRPA-TRF-2528,08/27/2024,028-100-048,,TRAN2024-0028,,Non-Sensitive,CSLT,TVAP,Tahoe Valley Area Plan,TVAP_TC_MUC,Tahoe Valley Area Plan - Town Center Mixed-Use Corridor,SOUTH Y,Town Center,58,1,1,https://www.trpa.gov/wp-content/uploads/documents/archive/2/TVAP.pdf,https://parcels.laketahoeinfo.org/Parcel/Detail/032-291-029,0.64140526,27940,"{'rings': [[[759526.7848155238, 4311084.514603738], [759470.6928247586, 4311054.396908697], [759451.4652279234, 4311083.693703873], [759501.045419761, 4311123.651997296], [759526.7848155238, 4311084.514603738]]], 'spatialReference': {'wkid': 26910, 'latestWkid': 26910}}"
032-291-029,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),7,,1,,09/24/2024,TRPA-TRF-2529,08/27/2024,028-141-025,,TRAN2024-0028,,Non-Sensitive,CSLT,TVAP,Tahoe Valley Area Plan,TVAP_TC_MUC,Tahoe Valley Area Plan - Town Center Mixed-Use Corridor,SOUTH Y,Town Center,58,1,1,https://www.trpa.gov/wp-content/uploads/documents/archive/2/TVAP.pdf,https://parcels.laketahoeinfo.org/Parcel/Detail/032-291-029,0.64140526,27940,"{'rings': [[[759526.7848155238, 4311084.514603738], [759470.6928247586, 4311054.396908697], [759451.4652279234, 4311083.693703873], [759501.045419761, 4311123.651997296], [759526.7848155238, 4311084.514603738]]], 'spatialReference': {'wkid': 26910, 'latestWkid': 26910}}"
032-291-029,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),7,,1,,09/24/2024,TRPA-TRF-2530,08/27/2024,031-079-004,,TRAN2024-0028,,Non-Sensitive,CSLT,TVAP,Tahoe Valley Area Plan,TVAP_TC_MUC,Tahoe Valley Area Plan - Town Center Mixed-Use Corridor,SOUTH Y,Town Center,58,1,1,https://www.trpa.gov/wp-content/uploads/documents/archive/2/TVAP.pdf,https://parcels.laketahoeinfo.org/Parcel/Detail/032-291-029,0.64140526,27940,"{'rings': [[[759526.7848155238, 4311084.514603738], [759470.6928247586, 4311054.396908697], [759451.4652279234, 4311083.693703873], [759501.045419761, 4311123.651997296], [759526.7848155238, 4311084.514603738]]], 'spatialReference': {'wkid': 26910, 'latestWkid': 26910}}"
032-291-029,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),7,,1,,09/24/2024,TRPA-TRF-2531,08/27/2024,032-277-006,,TRAN2024-0028,,Non-Sensitive,CSLT,TVAP,Tahoe Valley Area Plan,TVAP_TC_MUC,Tahoe Valley Area Plan - Town Center Mixed-Use Corridor,SOUTH Y,Town Center,58,1,1,https://www.trpa.gov/wp-content/uploads/documents/archive/2/TVAP.pdf,https://parcels.laketahoeinfo.org/Parcel/Detail/032-291-029,0.64140526,27940,"{'rings': [[[759526.7848155238, 4311084.514603738], [759470.6928247586, 4311054.396908697], [759451.4652279234, 4311083.693703873], [759501.045419761, 4311123.651997296], [759526.7848155238, 4311084.514603738]]], 'spatialReference': {'wkid': 26910, 'latestWkid': 26910}}"
032-291-029,Transfer Receiving Parcel,Commercial Floor Area (CFA),7,,100,,09/18/2024,TRPA-TRF-2573,08/12/2024,027-040-043,,TRAN2024-0762,,Non-Sensitive,CSLT,TVAP,Tahoe Valley Area Plan,TVAP_TC_MUC,Tahoe Valley Area Plan - Town Center Mixed-Use Corridor,SOUTH Y,Town Center,58,1,1,https://www.trpa.gov/wp-content/uploads/documents/archive/2/TVAP.pdf,https://parcels.laketahoeinfo.org/Parcel/Detail/032-291-029,0.64140526,27940,"{'rings': [[[759526.7848155238, 4311084.514603738], [759470.6928247586, 4311054.396908697], [759451.4652279234, 4311083.693703873], [759501.045419761, 4311123.651997296], [759526.7848155238, 4311084.514603738]]], 'spatialReference': {'wkid': 26910, 'latestWkid': 26910}}"
