APN,RecordType,DevelopmentRight,LandCapability,IPESScore,CumulativeBankedQuantity,RemainingBankedQuantity,LastUpdated,TransactionNumber,TransactionApprovalDate,SendingParcel,ReceivingParcel,AccelaID,JurisdictionPermitNumber,LandCapabilityCategory
023-271-010,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),IPES,1021.0,1,,09/28/2019,TRPA-TRF-669,06/26/2019,026-095-014,,TRAN2018-0439,,Non-Sensitive
023-271-010,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),IPES,1021.0,1,,09/28/2019,TRPA-TRF-671,06/26/2019,023-892-015,,TRAN2018-0441,,Non-Sensitive
023-271-010,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),IPES,1021.0,1,,09/28/2019,TRPA-TRF-672,06/26/2019,023-655-001,,TRAN2018-0442,,Non-Sensitive
023-271-010,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),IPES,1021.0,1,,09/28/2019,TRPA-TRF-673,06/26/2019,023-103-014,,TRAN2018-0452,,Non-Sensitive
023-271-010,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),IPES,1021.0,1,,09/28/2019,TRPA-TRF-674,06/26/2019,023-102-041,,TRAN2018-0453,,Non-Sensitive
023-271-010,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),IPES,1021.0,1,,09/28/2019,TRPA-TRF-675,06/26/2019,023-571-001,,TRAN2018-0458,,Non-Sensitive
023-271-010,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),IPES,1021.0,1,,09/28/2019,TRPA-TRF-701,06/26/2019,025-360-027,,TRAN2018-0586,,Non-Sensitive
023-321-007,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),IPES,809.0,1,,03/30/2018,TRPA-TRF-550,03/20/2018,027-123-022,,TRAN2017-0603,,Non-Sensitive
023-441-037,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),IPES,821.0,1,,11/04/2015,TRPA-TRF-291,10/07/2014,026-032-014,,TRAN2014-0883,,Non-Sensitive
023-461-016,Transfer Receiving Parcel,Coverage (potential),5,,111,,02/29/2024,TRPA-TRF-2352,05/26/2023,031-020-038,,CORR2023-1637,CORR2023-1637,Non-Sensitive
023-471-014,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),IPES,1032.0,1,,11/04/2015,TRPA-TRF-301,07/29/2015,032-141-027,,TRAN2015-0382,,Non-Sensitive
023-481-003,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),IPES,989.0,1,,10/31/2017,TRPA-TRF-545,09/22/2017,023-111-039,,TRAN2017-0501,,Non-Sensitive
023-571-001,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),IPES,976.0,1,,02/07/2018,TRPA-TRF-533,08/30/2017,027-123-022,,TRAN2017-0407,,Non-Sensitive
023-644-013,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),IPES,760.0,1,,10/31/2017,TRPA-TRF-412,05/05/2017,026-154-012,,TRAN2016-0572,,Non-Sensitive
023-653-024,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),IPES,1020.0,1,,10/19/2016,TRPA-TRF-411,09/01/2016,026-154-012,,TRAN2016-0571,,Non-Sensitive
023-655-001,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),IPES,1001.0,1,,11/03/2015,TRPA-TRF-307,09/18/2015,032-191-002,,TRAN2015-0671,,Non-Sensitive
023-681-001,Transfer Receiving Parcel,Coverage (potential),IPES,876.0,295,,03/09/2023,TRPA-TRF-2126,02/23/2023,023-532-002,,CORR2023-0229,,Non-Sensitive
023-696-013,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),IPES,941.0,1,,08/01/2017,TRPA-TRF-524,06/22/2017,027-073-029,,TRAN2017-0278,,Non-Sensitive
023-741-001,Transfer Receiving Parcel,Coverage (potential),IPES,754.0,224,,03/09/2023,TRPA-TRF-2128,02/23/2023,033-285-015,,CORR2023-0231,,Non-Sensitive
023-753-004,Transfer Receiving Parcel,Coverage (potential),IPES,912.0,116,,05/03/2024,TRPA-TRF-2374,01/24/2024,034-761-008,,CORR2024-0050,CORR2024-0050,Non-Sensitive
023-755-010,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),IPES,926.0,1,,11/04/2015,TRPA-TRF-292,08/06/2014,027-082-035,,TRAN2014-0399,,Non-Sensitive
023-772-008,Transfer Receiving Parcel,Coverage (potential),IPES,880.0,26,,01/31/2024,TRPA-TRF-2391,08/05/2015,023-141-005,,CORR2024-0071,CORR2024-0071,Non-Sensitive
023-801-015,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),IPES,846.0,1,,05/29/2018,TRPA-TRF-643,05/23/2018,029-041-018,,TRAN2018-0138,,Non-Sensitive
023-892-002,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),IPES,971.0,1,,12/13/2017,TRPA-TRF-532,07/05/2017,027-690-09,,TRAN2017-0403,,Non-Sensitive
023-892-015,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),IPES,808.0,1,,11/04/2015,TRPA-TRF-302,06/25/2015,026-032-014,,TRAN2015-0279,,Non-Sensitive
025-032-002,Transfer Receiving Parcel,Coverage (hard),IPES,663.0,173,,11/04/2015,TRPA-TRF-285,12/12/2014,1318-22-002-103,,TRAN2014-0879,,Sensitive
025-041-010,Transfer Receiving Parcel,Coverage (potential),7,,63,,03/05/2024,TRPA-TRF-2409,07/07/2021,023-141-005,,CORR2024-0213,CORR2024-0213,Non-Sensitive
025-041-023,Transfer Receiving Parcel,Coverage (potential),7,,63,,01/31/2024,TRPA-TRF-2392,07/07/2021,023-141-005,,CORR2024-0073,CORR2024-0073,Non-Sensitive
025-211-001,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),IPES,919.0,1,,11/04/2015,TRPA-TRF-286,10/01/2014,027-082-035,,TRAN2014-0857,,Non-Sensitive
025-226-002,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),IPES,952.0,1,,03/29/2019,TRPA-TRF-700,02/11/2019,029-604-002,,TRAN2018-0571,,Non-Sensitive
025-271-023,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),6,,1,,11/08/2022,TRPA-TRF-1997,10/11/2022,023-141-008,,TRAN2022-0338,,Non-Sensitive
025-321-001,Transfer Receiving Parcel,Coverage (hard),IPES,669.0,1818,,07/02/2021,TRPA-TRF-1455,07/02/2021,029-630-029,,TRAN2021-0111,,Sensitive
025-381-012,Transfer Receiving Parcel,Commercial Floor Area (CFA),7,,68,,01/08/2024,TRPA-TRF-2358,12/04/2023,031-256-003,,TRAN2023-1146,TRAN2023-1146,Non-Sensitive
025-381-012,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),7,,4,,01/08/2024,TRPA-TRF-2359,12/04/2023,031-256-003,,TRAN2023-1146,TRAN2023-1146,Non-Sensitive
025-394-012,Transfer Receiving Parcel,Coverage (potential),IPES,758.0,397,,03/10/2023,TRPA-TRF-2139,02/23/2023,027-131-016,,CORR2023-0239,,Non-Sensitive
025-451-009,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),IPES,827.0,1,,11/08/2022,TRPA-TRF-1994,06/29/2022,026-075-019,,TRAN2022-0061,,Non-Sensitive
025-543-008,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),IPES,803.0,1,,11/04/2015,TRPA-TRF-305,11/07/2014,032-141-027,,TRAN2014-0992,,Non-Sensitive
025-544-001,Transfer Receiving Parcel,Coverage (potential),IPES,796.0,195,,03/10/2023,TRPA-TRF-2135,02/23/2023,027-221-021,,CORR2023-0238,,Non-Sensitive
025-544-010,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),IPES,814.0,1,,11/04/2015,TRPA-TRF-297,03/23/2015,025-282-010,,TRAN2014-1379,,Non-Sensitive
025-641-005,Transfer Receiving Parcel,Coverage (hard),IPES,696.0,600,,04/30/2018,TRPA-TRF-320,03/09/2017,033-524-001,,TRAN2015-0380,,Sensitive
025-670-021,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),IPES,905.0,1,,12/10/2019,TRPA-TRF-922,11/13/2019,023-561-013,,TRAN2019-0841,,Non-Sensitive
025-770-004,Transfer Receiving Parcel,Coverage (hard),IPES,696.0,1591,,04/21/2014,TRPA-TRF-85,02/21/2014,1318-22-002-103,,TRAN2014-0174,,Sensitive
025-803-009,Transfer Receiving Parcel,Coverage (hard),IPES,693.0,1062,,04/23/2020,TRPA-TRF-1106,04/16/2020,036-010-009,,TRAN2020-0162,,Sensitive
025-831-032,Transfer Receiving Parcel,Coverage (hard),IPES,606.0,2605,,04/29/2020,TRPA-TRF-1103,04/16/2020,036-010-009,,TRAN2020-0144,,Sensitive
026-061-012,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),IPES,868.0,1,,11/04/2015,TRPA-TRF-289,09/03/2014,031-221-002,,TRAN2014-0694,,Non-Sensitive
026-061-015,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),IPES,859.0,1,,10/27/2020,TRPA-TRF-516,10/06/2016,032-142-006,,TRAN2016-0740,,Non-Sensitive
026-063-013,Transfer Receiving Parcel,Coverage (hard),IPES,826.0,300,,11/04/2015,TRPA-TRF-293,05/01/2015,031-030-032,,TRAN2015-0249,,Non-Sensitive
026-064-018,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),IPES,820.0,1,,06/22/2017,TRPA-TRF-520,06/05/2017,026-154-012,,TRAN2017-0138,,Non-Sensitive
026-068-010,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),IPES,859.0,1,,10/31/2017,TRPA-TRF-417,04/17/2017,026-061-012,,TRAN2016-0601,,Non-Sensitive
026-068-018,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),IPES,884.0,1,,10/31/2017,TRPA-TRF-416,04/17/2017,026-061-04,,TRAN2016-0600,,Non-Sensitive
026-073-026,Transfer Receiving Parcel,Coverage (potential),IPES,848.0,300,,03/10/2023,TRPA-TRF-2136,02/23/2023,027-221-021,,CORR2023-0238,,Non-Sensitive
026-074-003,Transfer Receiving Parcel,Coverage (potential),IPES,848.0,266,,03/10/2023,TRPA-TRF-2137,02/23/2023,027-221-021,,CORR2023-0238,,Non-Sensitive
026-077-017,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),IPES,903.0,1,,11/13/2019,TRPA-TRF-891,10/23/2019,022-122-019,,TRAN2019-0770,,Non-Sensitive
026-081-004,Transfer Receiving Parcel,Coverage (potential),IPES,869.0,247,,04/21/2023,TRPA-TRF-2211,03/27/2023,028-081-012,,CORR2023-0413,CORR2023-0413,Non-Sensitive
026-134-014,Transfer Receiving Parcel,Coverage (potential),IPES,806.0,227,,04/29/2020,TRPA-TRF-979,11/21/2019,033-693-008,,CORR2019-1205,CORR2019-1205,Non-Sensitive
026-221-013,Transfer Receiving Parcel,Coverage (potential),IPES,866.0,46,,02/08/2024,TRPA-TRF-2395,08/22/2016,023-141-005,,CORR2024-0099,CORR2024-0099,Non-Sensitive
026-221-027,Transfer Receiving Parcel,Coverage (hard),7,,2803,,11/04/2022,TRPA-TRF-2021,10/14/2022,032-151-015,,TRAN2022-0973,TRAN2022-0973,Non-Sensitive
027-090-025,Transfer Receiving Parcel,Restoration Credit,1b,,1208,,12/18/2024,TRPA-TRF-2629,11/21/2024,027-073-029,,ERSP2024-0775,ERSP2024-0775,SEZ
027-122-020,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),7,,1,,11/08/2022,TRPA-TRF-1876,08/18/2022,031-173-003,,TRAN2022-0191,TRAN2022-0191,Non-Sensitive
027-122-021,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),IPES,216.0,1,,04/27/2023,TRPA-TRF-2068,11/16/2022,026-075-019,,TRAN2022-0466,,Sensitive
027-141-010,Transfer Receiving Parcel,Coverage (potential),IPES,747.0,305,,03/10/2023,TRPA-TRF-2140,02/23/2023,027-131-016,,CORR2023-0239,,Non-Sensitive
027-161-030,Transfer Receiving Parcel,Coverage (hard),5,,1115,,04/27/2023,TRPA-TRF-2081,02/07/2023,029-161-029,,TRAN2022-1288,,Non-Sensitive
027-204-007,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),7,,1,,12/07/2017,TRPA-TRF-551,11/06/2017,029-041-021,,TRAN2017-0741,,Non-Sensitive
027-311-031,Transfer Receiving Parcel,Coverage (hard),IPES,703.0,650,,04/30/2021,TRPA-TRF-1454,04/21/2021,1318-22-002-103,,TRAN2021-0104,,Sensitive
027-311-032,Transfer Receiving Parcel,Coverage (hard),IPES,703.0,650,,04/30/2021,TRPA-TRF-1453,04/21/2021,1318-22-002-103,,TRAN2021-0104,,Sensitive
027-364-005,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),IPES,917.0,1,,10/05/2018,TRPA-TRF-677,10/05/2018,022-051-088,,TRAN2018-0462,,Non-Sensitive
027-364-017,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),IPES,915.0,1,,03/08/2022,TRPA-TRF-1879,02/14/2022,023-141-037,,TRAN2021-1207,,Non-Sensitive
028-011-19,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),6,,16,,04/05/2018,TRPA-TRF-426,03/21/2018,029-095-06,,TRAN2016-0703,,Non-Sensitive
028-011-19,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),6,,1,,04/05/2018,TRPA-TRF-427,03/21/2018,027-321-013,,TRAN2016-0702,,Non-Sensitive
028-011-19,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),6,,1,,04/05/2018,TRPA-TRF-428,03/21/2018,032-141-027,,TRAN2016-0700,,Non-Sensitive
028-011-19,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),6,,1,,04/04/2018,TRPA-TRF-429,03/21/2018,031-226-010,,TRAN2016-0699,,Non-Sensitive
028-011-19,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),6,,1,,04/04/2018,TRPA-TRF-430,03/21/2018,027-074-005,,TRAN2016-0698,,Non-Sensitive
028-042-012,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),IPES,754.0,1,,03/29/2017,TRPA-TRF-485,02/17/2017,031-162-011,,TRAN2017-0036,,Non-Sensitive
028-052-004,Transfer Receiving Parcel,Coverage (potential),IPES,726.0,1498,,05/06/2024,TRPA-TRF-2343,03/21/2023,026-151-005,,CORR2023-1611,CORR2023-1611,Non-Sensitive
028-061-034,Transfer Receiving Parcel,Coverage (hard),IPES,644.0,1810,,06/05/2019,TRPA-TRF-517,04/14/2016,1318-22-002-103,,TRAN2015-0680,,Sensitive
028-062-013,Transfer Receiving Parcel,Coverage (hard),IPES,719.0,1600,,11/04/2015,TRPA-TRF-287,07/30/2014,1318-22-002-103,,TRAN2014-0509,,Sensitive
028-090-093,Transfer Receiving Parcel,Coverage (potential),IPES,646.0,1850,,11/04/2015,TRPA-TRF-296,02/23/2015,025-051-028,,TRAN2015-0106,,Sensitive
028-123-007,Transfer Receiving Parcel,Coverage (potential),IPES,693.0,1501,,11/03/2015,TRPA-TRF-308,10/07/2015,026-061-003,,TRAN2015-0702,,Sensitive
028-123-009,Transfer Receiving Parcel,Coverage (hard),IPES,600.0,1589,,11/04/2015,TRPA-TRF-288,07/30/2014,1318-22-002-103,,TRAN2014-0502,,Sensitive
028-141-021,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),IPES,945.0,1,,06/13/2018,TRPA-TRF-642,06/13/2018,029-170-001,,TRAN2018-0131,,Non-Sensitive
028-161-014,Transfer Receiving Parcel,Coverage (hard),IPES,492.0,2830,,04/27/2023,TRPA-TRF-2080,12/28/2022,029-630-029,,TRAN2022-0799,,Sensitive
029-051-010,Transfer Receiving Parcel,Tourist Accommodation Unit (TAU),7,,4,,01/27/2021,TRPA-TRF-1272,01/20/2021,023-191-007,,TRAN2020-0557,,Non-Sensitive
029-051-015,Transfer Receiving Parcel,Tourist Accommodation Unit (TAU),7,,6,,03/30/2021,TRPA-TRF-1436,03/26/2021,023-191-007,,TRAN2021-0042,,Non-Sensitive
029-181-010,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),IPES,903.0,1,,06/22/2020,TRPA-TRF-1108,05/21/2020,081-093-015,,TRAN2020-0174,,Non-Sensitive
029-181-019,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),5,,1,,05/08/2020,TRPA-TRF-1105,04/30/2020,023-653-024,,TRAN2020-0146,,Non-Sensitive
029-181-020,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),IPES,845.0,1,,04/29/2020,TRPA-TRF-1112,04/28/2020,023-481-003,,TRAN2020-0201,,Non-Sensitive
029-181-021,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),IPES,856.0,1,,04/29/2020,TRPA-TRF-1107,04/28/2020,023-102-042,,TRAN2020-0173,,Non-Sensitive
029-341-001,Transfer Receiving Parcel,Multi-Family Residential Unit of Use (MFRUU),IPES,919.0,4,,08/01/2023,TRPA-TRF-2307,05/21/2023,027-040-043,,ERSP2023-0463,,Non-Sensitive
029-341-002,Transfer Receiving Parcel,Multi-Family Residential Unit of Use (MFRUU),IPES,919.0,4,,08/01/2023,TRPA-TRF-2308,05/21/2023,027-040-043,,ERSP2023-0463,,Non-Sensitive
029-341-003,Transfer Receiving Parcel,Multi-Family Residential Unit of Use (MFRUU),IPES,903.0,4,,08/01/2023,TRPA-TRF-2309,05/21/2023,027-040-043,,ERSP2023-0463,,Non-Sensitive
029-371-021,Transfer Receiving Parcel,Coverage (potential),IPES,743.0,550,,02/26/2025,TRPA-TRF-2687,10/09/2024,026-152-012,,CORR2025-0243,CORR2025-0243,Non-Sensitive
029-415-004,Transfer Receiving Parcel,Coverage (hard),IPES,681.0,1580,,10/26/2018,TRPA-TRF-553,10/26/2018,1318-22-002-103,,TRAN2017-0785,,Sensitive
029-441-15,Transfer Receiving Parcel,Coverage (hard),4,,7724,,04/08/2020,TRPA-TRF-605,03/30/2017,1318-22-002-103,,TRAN2015-0358,,Non-Sensitive
029-441-21,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),6,,1,,04/08/2020,TRPA-TRF-461,04/13/2017,029-062-020,,TRAN2016-1121,,Non-Sensitive
029-441-21,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),6,,6,,04/08/2020,TRPA-TRF-463,03/30/2017,027-082-035,,TRAN2016-1142,,Non-Sensitive
029-441-21,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),6,,1,,04/08/2020,TRPA-TRF-464,05/04/2017,029-066-21,,TRAN2016-1143,,Non-Sensitive
029-441-21,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),6,,1,,04/08/2020,TRPA-TRF-466,03/30/2017,029-041-024,,TRAN2016-1146,,Non-Sensitive
029-441-21,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),6,,1,,04/08/2020,TRPA-TRF-467,03/30/2017,1318-22-002-103,,TRAN2016-1148,,Non-Sensitive
029-441-21,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),6,,1,,04/08/2020,TRPA-TRF-486,03/30/2017,027-072-016,,TRAN2017-0039,,Non-Sensitive
029-441-21,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),6,,1,,04/09/2020,TRPA-TRF-487,03/30/2017,027-081-002,,TRAN2017-0040,,Non-Sensitive
029-441-21,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),6,,1,,04/09/2020,TRPA-TRF-488,03/30/2017,027-072-034,,TRAN2017-0041,,Non-Sensitive
029-441-21,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),6,,1,,04/09/2020,TRPA-TRF-489,03/30/2017,027-081-006,,TRAN2017-0042,,Non-Sensitive
029-441-21,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),6,,1,,04/09/2020,TRPA-TRF-490,03/30/2017,027-072-015,,TRAN2017-0043,,Non-Sensitive
029-441-21,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),6,,1,,04/08/2020,TRPA-TRF-492,06/07/2017,032-277-022,,TRAN2017-0045,,Non-Sensitive
029-441-21,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),6,,1,,04/08/2020,TRPA-TRF-527,06/23/2017,026-061-015,,TRAN2017-0296,,Non-Sensitive
029-441-21,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),6,,2,,04/08/2020,TRPA-TRF-530,06/23/2017,023-684-012,,TRAN2017-0341,,Non-Sensitive
029-530-015,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),5,,1,,03/29/2017,TRPA-TRF-368,11/10/2016,032-201-013,,TRAN2016-0272,,Non-Sensitive
029-530-015,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),7,,1,,03/29/2017,TRPA-TRF-359,11/10/2016,029-161-024,,TRAN2016-0133,,Non-Sensitive
029-605-007,Transfer Receiving Parcel,Coverage (potential),IPES,794.0,330,,03/10/2023,TRPA-TRF-2138,02/23/2023,027-221-021,,CORR2023-0238,,Non-Sensitive
029-680-002,Transfer Receiving Parcel,Commercial Floor Area (CFA),5,,6500,,11/17/2021,TRPA-TRF-1699,11/15/2021,1318-26-101-011,,TRAN2021-0541,,Non-Sensitive
030-352-023,Transfer Receiving Parcel,Coverage (hard),IPES,650.0,2053,,11/09/2015,TRPA-TRF-312,10/19/2015,1318-22-002-103,,TRAN2015-0800,,Sensitive
030-352-023,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),IPES,650.0,1,,03/29/2017,TRPA-TRF-360,04/29/2016,1318-22-002-103,,TRAN2016-0134,,Sensitive
030-380-055,Transfer Receiving Parcel,Coverage (potential),IPES,769.0,353,,03/10/2023,TRPA-TRF-2141,02/23/2023,027-131-016,,CORR2023-0239,,Non-Sensitive
031-030-025,Transfer Receiving Parcel,Commercial Floor Area (CFA),7,,972,,04/27/2023,TRPA-TRF-2082,02/14/2023,032-313-035,,TRAN2022-1419,TRAN2022-1419,Non-Sensitive
031-030-032,Transfer Receiving Parcel,Coverage (potential),7,,32,,02/07/2024,TRPA-TRF-2396,05/17/2017,023-141-005,,ERSP2017-0041,ERSP2017-0041,Non-Sensitive
031-045-008,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),IPES,763.0,1,,03/26/2018,TRPA-TRF-371,08/19/2016,023-191-007,,TRAN2016-0398,,Non-Sensitive
031-045-008,Transfer Receiving Parcel,Coverage (potential),IPES,763.0,388,,02/08/2024,TRPA-TRF-2397,08/19/2016,023-141-005,,CORR2024-0101,CORR2024-0101,Non-Sensitive
031-051-001,Transfer Receiving Parcel,Coverage (potential),IPES,802.0,285,,02/08/2024,TRPA-TRF-2398,10/01/2020,023-141-005,,CORR2024-0102,CORR2024-0102,Non-Sensitive
031-051-002,Transfer Receiving Parcel,Coverage (potential),IPES,802.0,176,,02/08/2024,TRPA-TRF-2399,01/21/2021,023-141-005,,CORR2024-0107,CORR2024-0107,Non-Sensitive
031-093-026,Transfer Receiving Parcel,Multi-Family Residential Unit of Use (MFRUU),7,,1,,03/21/2023,TRPA-TRF-2122,03/15/2023,027-040-043,,TRAN2023-0091,,Non-Sensitive
031-122-012,Transfer Receiving Parcel,Coverage (potential),7,,182,,08/03/2023,TRPA-TRF-2313,06/19/2023,023-141-005,,CORR2023-0935,CORR2023-0935,Non-Sensitive
031-123-020,Transfer Receiving Parcel,Coverage (potential),IPES,801.0,391,,02/06/2025,TRPA-TRF-2654,07/31/2024,034-153-012,,CORR2025-0136,CORR2025-0136,Non-Sensitive
031-124-003,Transfer Receiving Parcel,Coverage (potential),IPES,853.0,297,,04/27/2023,TRPA-TRF-2217,03/27/2023,023-532-005,,CORR2023-0428,,Non-Sensitive
031-132-010,Transfer Receiving Parcel,Coverage (potential),7,,191,,04/21/2023,TRPA-TRF-2210,03/27/2023,023-171-009,,CORR2023-0412,CORR2023-0412,Non-Sensitive
031-153-001,Transfer Receiving Parcel,Coverage (potential),IPES,826.0,179,,01/25/2023,TRPA-TRF-2114,12/13/2022,033-304-009,,CORR2023-0237,,Non-Sensitive
031-153-006,Transfer Receiving Parcel,Coverage (potential),IPES,813.0,225,,11/27/2023,TRPA-TRF-2336,07/27/2023,033-304-009,,CORR2023-1520,CORR2023-1520,Non-Sensitive
031-161-009,Transfer Receiving Parcel,Coverage (potential),IPES,867.0,158,,12/15/2021,TRPA-TRF-1470,10/15/2021,034-214-001,,TRAN2021-0479,,Non-Sensitive
031-161-009,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),IPES,867.0,1,,12/15/2021,TRPA-TRF-1471,10/15/2021,034-214-001,,TRAN2021-0479,,Non-Sensitive
031-161-009,Transfer Receiving Parcel,Coverage (potential),IPES,867.0,142,,03/09/2023,TRPA-TRF-2127,02/23/2023,034-171-004,,CORR2023-0230,,Non-Sensitive
031-161-009,Transfer Receiving Parcel,Coverage (potential),IPES,867.0,268,,12/04/2023,TRPA-TRF-2341,03/29/2023,034-171-004,,CORR2023-1607,CORR2023-1607,Non-Sensitive
031-162-019,Transfer Receiving Parcel,Coverage (potential),IPES,844.0,298,,05/06/2024,TRPA-TRF-2538,08/05/2021,033-742-018,,CORR2024-0480,CORR2024-0480,Non-Sensitive
031-163-017,Transfer Receiving Parcel,Coverage (potential),IPES,833.0,268,,04/27/2023,TRPA-TRF-2218,03/27/2023,023-532-005,,CORR2023-0428,,Non-Sensitive
031-166-015,Transfer Receiving Parcel,Coverage (potential),IPES,811.0,287,,04/27/2023,TRPA-TRF-2216,03/27/2023,034-781-001,,CORR2023-0427,,Non-Sensitive
031-182-009,Transfer Receiving Parcel,Coverage (potential),IPES,772.0,117,,05/07/2019,TRPA-TRF-825,02/20/2019,034-161-006,,TRAN2019-0321,CTC Transfer,Non-Sensitive
031-182-010,Transfer Receiving Parcel,Coverage (potential),IPES,772.0,449,,06/27/2024,TRPA-TRF-2571,08/05/2021,034-161-006,,CORR2024-0722,CORR2024-0722,Non-Sensitive
031-204-002,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),IPES,847.0,1,,10/10/2016,TRPA-TRF-433,09/23/2016,029-332-007,,TRAN2016-0680,,Non-Sensitive
031-204-002,Transfer Receiving Parcel,Coverage (potential),IPES,847.0,299,,02/08/2024,TRPA-TRF-2400,09/19/2016,023-141-005,,CORR2024-0108,CORR2024-0108,Non-Sensitive
031-204-008,Transfer Receiving Parcel,Coverage (potential),IPES,820.0,300,,05/10/2019,TRPA-TRF-836,02/21/2019,033-304-009,,TRAN2019-0391,CTC Transfer,Non-Sensitive
031-212-005,Transfer Receiving Parcel,Coverage (potential),IPES,766.0,465,,12/21/2024,TRPA-TRF-2644,10/26/2020,033-682-006,,CORR2024-1639,CORR2024-1639,Non-Sensitive
031-215-002,Transfer Receiving Parcel,Coverage (potential),IPES,789.0,175,,12/20/2024,TRPA-TRF-2641,05/07/2024,033-644-012,,CORR2024-1620,CORR2024-1620,Non-Sensitive
031-224-014,Transfer Receiving Parcel,Coverage (potential),7,,224,,06/27/2024,TRPA-TRF-2569,12/13/2023,023-141-005,,CORR2024-0720,CORR2024-0720,Non-Sensitive
031-225-010,Transfer Receiving Parcel,Coverage (hard),7,,256,,11/13/2019,TRPA-TRF-814,09/10/2019,081-052-002,,TRAN2019-0174,,Non-Sensitive
