APN,Year,apn_in_fc_other_years
097-092-003,2019,True
097-092-003,2020,True
097-092-003,2021,True
097-092-003,2022,True
097-092-003,2023,True
097-092-003,2024,True
097-092-003,2025,True
097-100-022,2021,True
097-100-022,2022,True
097-100-022,2023,True
097-100-022,2024,True
097-100-022,2025,True
097-100-045,2013,True
097-100-045,2014,True
097-111-028,2013,True
097-122-002,2012,False
097-122-002,2013,False
097-122-002,2014,False
097-122-002,2015,False
097-122-002,2016,False
097-122-002,2017,False
097-122-002,2018,False
097-122-002,2019,False
097-122-002,2020,False
097-122-002,2021,False
097-122-002,2022,False
097-122-002,2023,False
097-122-002,2024,False
097-122-002,2025,False
097-122-013,2021,True
097-122-013,2022,True
097-122-013,2023,True
097-122-013,2024,True
097-122-013,2025,True
097-122-015,2012,False
097-122-015,2013,False
097-122-015,2014,False
097-122-015,2015,False
097-122-015,2016,False
097-122-015,2017,False
097-122-015,2018,False
097-122-015,2019,False
097-122-015,2020,False
097-122-015,2021,False
097-122-015,2022,False
097-122-015,2023,False
097-122-015,2024,False
097-122-015,2025,False
097-122-028,2024,True
097-122-028,2025,True
097-130-029,2012,True
097-130-029,2014,True
097-130-029,2015,True
097-130-029,2016,True
097-130-029,2017,True
097-130-029,2018,True
097-130-029,2019,True
097-130-029,2020,True
097-130-029,2021,True
097-130-029,2022,True
097-130-029,2023,True
097-130-029,2024,True
097-130-029,2025,True
097-164-006,2017,True
097-164-006,2018,True
097-164-006,2019,True
097-164-006,2020,True
097-164-006,2021,True
097-164-006,2022,True
097-164-006,2023,True
097-164-006,2024,True
097-164-006,2025,True
097-192-001,2018,True
097-192-001,2019,True
097-192-001,2020,True
097-192-001,2021,True
097-192-001,2022,True
097-192-001,2023,True
097-192-001,2024,True
097-192-001,2025,True
097-193-004,2023,True
097-193-004,2024,True
097-193-004,2025,True
098-010-036,2021,True
098-010-036,2022,True
098-010-036,2023,True
098-010-036,2024,True
098-010-036,2025,True
098-010-037,2021,True
098-010-037,2022,True
098-010-037,2023,True
098-010-037,2024,True
098-010-037,2025,True
098-010-038,2013,True
098-010-038,2014,True
098-010-040,2013,True
098-010-040,2014,True
098-164-009,2019,True
098-164-009,2020,True
098-164-009,2021,True
098-164-009,2022,True
098-164-009,2023,True
098-164-009,2024,True
098-164-009,2025,True
098-165-002,2021,True
098-165-002,2022,True
098-165-002,2023,True
098-165-002,2024,True
098-165-002,2025,True
098-167-006,2022,True
098-167-006,2023,True
098-167-006,2024,True
098-167-006,2025,True
098-192-002,2021,True
098-192-002,2022,True
098-192-002,2023,True
098-192-002,2024,True
098-192-002,2025,True
098-200-010,2025,True
098-200-025,2025,True
098-200-026,2025,True
098-210-030,2018,True
098-210-030,2019,True
098-210-030,2020,True
098-210-030,2021,True
098-210-030,2022,True
098-210-030,2023,True
098-210-030,2024,True
098-210-030,2025,True
098-210-031,2018,True
098-210-031,2019,True
098-210-031,2020,True
098-210-031,2021,True
098-210-031,2022,True
098-210-031,2023,True
098-210-031,2024,True
098-210-031,2025,True
098-210-039,2013,True
098-210-039,2014,True
098-231-024,2021,True
098-231-024,2022,True
098-231-024,2023,True
098-231-024,2024,True
098-231-024,2025,True
098-314-014,2021,True
098-314-014,2022,True
098-314-014,2023,True
098-314-014,2024,True
098-314-014,2025,True
112-060-017,2017,True
112-060-017,2018,True
112-060-017,2019,True
112-060-017,2020,True
112-060-017,2021,True
112-060-017,2022,True
112-060-017,2023,True
112-060-017,2024,True
112-060-017,2025,True
112-060-018,2024,True
112-060-018,2025,True
112-070-002,2021,True
112-070-002,2022,True
112-070-002,2023,True
112-070-002,2024,True
112-070-002,2025,True
112-180-009,2012,True
112-180-009,2014,True
112-180-009,2015,True
112-180-009,2016,True
112-180-009,2017,True
112-180-009,2018,True
112-180-009,2019,True
112-180-009,2020,True
112-180-009,2021,True
112-180-009,2022,True
112-180-009,2023,True
112-180-009,2024,True
112-180-009,2025,True
112-180-078,2013,True
112-180-078,2014,True
112-190-040,2012,False
112-190-040,2013,False
112-190-040,2014,False
112-190-040,2015,False
112-190-040,2016,False
112-190-040,2017,False
112-190-040,2018,False
112-190-040,2019,False
112-190-040,2020,False
112-190-040,2021,False
112-190-040,2022,False
112-190-040,2023,False
112-190-040,2024,False
112-190-040,2025,False
112-190-042,2018,True
112-190-042,2019,True
112-190-042,2020,True
112-190-042,2021,True
112-190-042,2022,True
112-190-042,2023,True
112-190-042,2024,True
112-190-042,2025,True
112-190-044,2021,True
112-190-044,2022,True
112-190-044,2023,True
112-190-044,2024,True
112-190-044,2025,True
112-190-065,2013,True
112-190-065,2014,True
112-190-066,2013,True
112-190-066,2014,True
112-270-004,2021,True
112-270-004,2022,True
112-270-004,2023,True
112-270-004,2024,True
112-270-004,2025,True
115-020-042,2013,True
115-030-035,2018,True
115-030-035,2019,True
115-030-035,2020,True
115-030-035,2021,True
115-030-035,2022,True
115-030-035,2023,True
115-030-035,2024,True
115-030-035,2025,True
115-030-073,2024,True
115-030-073,2025,True
115-040-075,2020,True
115-040-075,2021,True
115-040-075,2022,True
115-040-075,2023,True
115-040-075,2024,True
115-040-075,2025,True
115-040-079,2024,True
115-040-079,2025,True
115-050-039,2018,True
115-050-039,2019,True
115-050-039,2020,True
115-050-039,2021,True
115-050-039,2022,True
115-050-039,2023,True
115-050-039,2024,True
115-050-039,2025,True
115-060-010,2017,True
115-060-010,2018,True
115-060-010,2019,True
115-060-010,2020,True
115-060-010,2021,True
115-060-010,2022,True
115-060-010,2023,True
115-060-010,2024,True
115-060-010,2025,True
115-060-018,2018,True
115-060-018,2019,True
115-060-018,2020,True
115-060-018,2021,True
115-060-018,2022,True
115-060-018,2023,True
115-060-018,2024,True
115-060-018,2025,True
116-220-061,2013,True
116-220-062,2013,True
117-020-009,2012,True
117-020-009,2015,True
117-020-009,2016,True
117-020-009,2017,True
117-020-009,2018,True
117-020-009,2019,True
117-020-009,2020,True
117-020-009,2021,True
117-020-009,2022,True
117-020-009,2023,True
117-020-009,2024,True
117-020-009,2025,True
117-020-025,2013,True
117-020-025,2014,True
117-071-015,2023,True
117-071-015,2024,True
117-071-015,2025,True
117-071-025,2012,False
117-071-025,2013,False
117-071-025,2014,False
117-071-025,2015,False
117-071-025,2016,False
117-071-025,2017,False
117-071-025,2018,False
117-071-025,2019,False
117-071-025,2020,False
117-071-025,2021,False
117-071-025,2022,False
117-071-025,2023,False
117-071-025,2024,False
117-071-025,2025,False
117-071-051,2013,True
117-071-052,2013,True
117-100-004,2019,True
117-100-004,2020,True
117-100-004,2021,True
117-100-004,2022,True
117-100-004,2023,True
117-100-004,2024,True
117-100-004,2025,True
117-100-014,2021,True
117-100-014,2022,True
117-100-014,2023,True
117-100-014,2024,True
117-100-014,2025,True
117-100-015,2021,True
117-100-015,2022,True
117-100-015,2023,True
117-100-015,2024,True
117-100-015,2025,True
117-100-016,2021,True
117-100-016,2022,True
117-100-016,2023,True
117-100-016,2024,True
117-100-016,2025,True
117-100-017,2021,True
117-100-017,2022,True
117-100-017,2023,True
117-100-017,2024,True
117-100-017,2025,True
117-110-008,2017,True
117-110-008,2018,True
117-110-008,2019,True
117-110-008,2020,True
117-110-008,2021,True
117-110-008,2022,True
117-110-008,2023,True
117-110-008,2024,True
117-110-008,2025,True
117-110-023,2021,True
117-110-023,2022,True
117-110-023,2023,True
117-110-023,2024,True
117-110-023,2025,True
117-110-072,2012,True
117-110-072,2013,True
117-110-072,2014,True
117-110-072,2015,True
117-110-072,2016,True
117-120-031,2017,True
117-120-031,2018,True
117-120-031,2019,True
117-120-031,2020,True
117-120-031,2021,True
117-120-031,2022,True
117-120-031,2023,True
117-120-031,2024,True
117-120-031,2025,True
117-120-041,2015,True
117-120-041,2016,True
117-150-040,2019,True
117-150-040,2020,True
117-150-040,2021,True
117-150-040,2022,True
117-150-040,2023,True
117-150-040,2024,True
117-150-040,2025,True
117-160-013,2021,True
117-160-013,2022,True
117-160-013,2023,True
117-160-013,2024,True
117-160-013,2025,True
117-180-037,2018,True
117-180-037,2019,True
117-180-037,2020,True
117-180-037,2021,True
117-180-037,2022,True
117-180-037,2023,True
117-180-037,2024,True
117-180-037,2025,True
117-180-038,2018,True
117-180-038,2019,True
117-180-038,2020,True
117-180-038,2021,True
117-180-038,2022,True
117-180-038,2023,True
117-180-038,2024,True
117-180-038,2025,True
117-210-014,2013,True
117-230-008,2013,True
117-230-009,2013,True
122-100-04,2017,True
122-100-04,2018,True
122-100-04,2019,True
122-100-04,2020,True
122-100-04,2021,True
122-100-04,2022,True
122-100-04,2023,True
122-100-04,2024,True
122-100-04,2025,True
122-100-15,2025,True
122-100-23,2017,True
122-100-23,2018,True
122-100-23,2019,True
122-100-23,2020,True
122-100-23,2021,True
122-100-23,2022,True
122-100-23,2023,True
122-100-23,2024,True
122-100-23,2025,True
122-100-24,2017,True
122-100-24,2018,True
122-100-24,2019,True
122-100-24,2020,True
122-100-24,2021,True
122-100-24,2022,True
122-100-24,2023,True
122-100-24,2024,True
122-100-24,2025,True
122-181-24,2020,True
122-181-24,2021,True
122-181-24,2022,True
122-181-24,2023,True
122-181-24,2024,True
122-181-24,2025,True
122-181-37,2012,False
122-181-37,2013,False
122-181-37,2014,False
122-181-37,2015,False
122-181-37,2016,False
122-181-37,2017,False
122-181-37,2018,False
122-181-37,2019,False
122-181-37,2020,False
122-181-37,2021,False
122-181-37,2022,False
122-181-37,2023,False
122-181-37,2024,False
122-181-37,2025,False
122-181-64,2023,True
122-181-64,2024,True
122-181-64,2025,True
122-181-65,2023,True
122-181-65,2024,True
122-181-65,2025,True
122-530-25,2021,True
122-530-25,2022,True
122-530-25,2023,True
122-530-25,2024,True
122-530-25,2025,True
122-530-26,2021,True
122-530-26,2022,True
122-530-26,2023,True
122-530-26,2024,True
122-530-26,2025,True
122-530-37,2013,True
122-530-37,2014,True
123-021-04,2012,False
123-021-04,2013,False
123-021-04,2014,False
123-021-04,2015,False
123-021-04,2016,False
123-021-04,2017,False
123-021-04,2018,False
123-021-04,2019,False
123-021-04,2020,False
123-021-04,2021,False
123-021-04,2022,False
123-021-04,2023,False
123-021-04,2024,False
123-021-04,2025,False
123-032-01,2012,False
123-032-01,2013,False
123-032-01,2014,False
123-032-01,2015,False
123-032-01,2016,False
123-032-01,2017,False
123-032-01,2018,False
123-032-01,2019,False
123-032-01,2020,False
123-032-01,2021,False
123-032-01,2022,False
123-032-01,2023,False
123-032-01,2024,False
123-032-01,2025,False
123-032-11,2017,True
123-032-11,2018,True
123-032-11,2019,True
123-032-11,2020,True
123-032-11,2021,True
123-032-11,2022,True
123-032-11,2023,True
123-032-11,2024,True
123-032-11,2025,True
123-032-12,2017,True
123-032-12,2018,True
123-032-12,2019,True
123-032-12,2020,True
123-032-12,2021,True
123-032-12,2022,True
123-032-12,2023,True
123-032-12,2024,True
123-032-12,2025,True
123-032-13,2017,True
123-032-13,2018,True
123-032-13,2019,True
123-032-13,2020,True
123-032-13,2021,True
123-032-13,2022,True
123-032-13,2023,True
123-032-13,2024,True
123-032-13,2025,True
123-032-21,2025,True
123-032-29,2012,True
123-032-29,2013,True
123-032-29,2014,True
123-032-29,2015,True
123-032-29,2016,True
123-032-29,2017,True
123-032-29,2018,True
123-041-05,2022,True
123-041-05,2023,True
123-041-05,2024,True
123-041-05,2025,True
123-041-19,2022,True
123-041-19,2023,True
123-041-19,2024,True
123-041-19,2025,True
123-071-35,2024,True
123-071-35,2025,True
123-131-02,2018,True
123-131-02,2019,True
123-131-02,2020,True
123-131-02,2021,True
123-131-02,2022,True
123-131-02,2023,True
123-131-02,2024,True
123-131-02,2025,True
123-131-05,2013,True
123-131-05,2014,True
123-131-05,2021,True
123-131-05,2022,True
123-131-05,2023,True
123-131-05,2024,True
123-131-05,2025,True
123-143-11,2023,True
123-143-11,2024,True
123-143-11,2025,True
123-152-08,2013,True
123-161-32,2013,True
124-860-01,2018,True
124-860-01,2019,True
124-860-01,2020,True
124-860-01,2021,True
124-860-01,2022,True
124-860-01,2023,True
124-860-01,2024,True
124-860-01,2025,True
124-860-02,2018,True
124-860-02,2019,True
124-860-02,2020,True
124-860-02,2021,True
124-860-02,2022,True
124-860-02,2023,True
124-860-02,2024,True
124-860-02,2025,True
124-860-03,2018,True
124-860-03,2019,True
124-860-03,2020,True
124-860-03,2021,True
124-860-03,2022,True
124-860-03,2023,True
124-860-03,2024,True
124-860-03,2025,True
125-141-30,2024,True
125-141-30,2025,True
125-141-31,2024,True
125-141-31,2025,True
125-142-01,2024,True
125-142-01,2025,True
125-142-02,2024,True
125-142-02,2025,True
125-142-03,2024,True
125-142-03,2025,True
125-163-39,2013,True
125-172-33,2013,True
125-172-33,2014,True
125-172-34,2013,True
125-172-34,2014,True
125-232-29,2013,True
125-232-29,2014,True
125-382-19,2017,True
125-382-19,2018,True
125-382-19,2019,True
125-382-19,2020,True
125-382-19,2021,True
125-382-19,2022,True
125-382-19,2023,True
125-382-19,2024,True
125-382-19,2025,True
125-462-08,2018,True
125-462-08,2019,True
125-462-08,2020,True
125-462-08,2021,True
125-462-08,2022,True
125-462-08,2023,True
125-462-08,2024,True
125-462-08,2025,True
126-080-25,2012,True
126-080-25,2014,True
126-080-25,2015,True
126-080-25,2016,True
126-080-25,2017,True
126-080-25,2018,True
126-080-25,2019,True
126-080-25,2020,True
126-080-25,2021,True
126-080-25,2022,True
126-080-25,2023,True
126-080-25,2024,True
126-080-25,2025,True
126-082-49,2019,True
126-082-49,2020,True
126-082-49,2021,True
126-082-49,2022,True
126-082-49,2023,True
126-082-49,2024,True
126-082-49,2025,True
126-082-66,2013,True
126-560-28,2018,True
126-560-28,2019,True
126-560-28,2020,True
126-560-28,2021,True
126-560-28,2022,True
126-560-28,2023,True
126-560-28,2024,True
126-560-28,2025,True
126-560-37,2017,True
126-560-37,2018,True
126-560-37,2019,True
126-560-37,2020,True
126-560-37,2021,True
126-560-37,2022,True
126-560-37,2023,True
126-560-37,2024,True
126-560-37,2025,True
126-570-16,2019,True
126-570-16,2020,True
126-570-16,2021,True
126-570-16,2022,True
126-570-16,2023,True
126-570-16,2024,True
126-570-16,2025,True
129-022-07,2018,True
129-022-07,2019,True
129-022-07,2020,True
129-022-07,2021,True
129-022-07,2022,True
129-022-07,2023,True
129-022-07,2024,True
129-022-07,2025,True
129-280-12,2017,True
129-280-12,2018,True
129-280-12,2019,True
129-280-12,2020,True
129-280-12,2021,True
129-280-12,2022,True
129-280-12,2023,True
129-280-12,2024,True
129-280-12,2025,True
129-280-13,2017,True
129-280-13,2018,True
129-280-13,2019,True
129-280-13,2020,True
129-280-13,2021,True
129-280-13,2022,True
129-280-13,2023,True
129-280-13,2024,True
129-280-13,2025,True
129-280-14,2017,True
129-280-14,2018,True
129-280-14,2019,True
129-280-14,2020,True
129-280-14,2021,True
129-280-14,2022,True
129-280-14,2023,True
129-280-14,2024,True
129-280-14,2025,True
129-280-15,2017,True
129-280-15,2018,True
129-280-15,2019,True
129-280-15,2020,True
129-280-15,2021,True
129-280-15,2022,True
129-280-15,2023,True
129-280-15,2024,True
129-280-15,2025,True
129-280-16,2017,True
129-280-16,2018,True
129-280-16,2019,True
129-280-16,2020,True
129-280-16,2021,True
129-280-16,2022,True
129-280-16,2023,True
129-280-16,2024,True
129-280-16,2025,True
129-280-17,2017,True
129-280-17,2018,True
129-280-17,2019,True
129-280-17,2020,True
129-280-17,2021,True
129-280-17,2022,True
129-280-17,2023,True
129-280-17,2024,True
129-280-17,2025,True
129-280-18,2017,True
129-280-18,2018,True
129-280-18,2019,True
129-280-18,2020,True
129-280-18,2021,True
129-280-18,2022,True
129-280-18,2023,True
129-280-18,2024,True
129-280-18,2025,True
129-280-19,2017,True
129-280-19,2018,True
129-280-19,2019,True
129-280-19,2020,True
129-280-19,2021,True
129-280-19,2022,True
129-280-19,2023,True
129-280-19,2024,True
129-280-19,2025,True
129-291-03,2017,True
129-291-03,2018,True
129-291-03,2019,True
129-291-03,2020,True
129-291-03,2021,True
129-291-03,2022,True
129-291-03,2023,True
129-291-03,2024,True
129-291-03,2025,True
129-291-13,2017,True
129-291-13,2018,True
129-291-13,2019,True
129-291-13,2020,True
129-291-13,2021,True
129-291-13,2022,True
129-291-13,2023,True
129-291-13,2024,True
129-291-13,2025,True
129-291-17,2017,True
129-291-17,2018,True
129-291-17,2019,True
129-291-17,2020,True
129-291-17,2021,True
129-291-17,2022,True
129-291-17,2023,True
129-291-17,2024,True
129-291-17,2025,True
129-291-20,2017,True
129-291-20,2018,True
129-291-20,2019,True
129-291-20,2020,True
129-291-20,2021,True
129-291-20,2022,True
129-291-20,2023,True
129-291-20,2024,True
129-291-20,2025,True
129-292-01,2017,True
129-292-01,2018,True
129-292-01,2019,True
129-292-01,2020,True
129-292-01,2021,True
129-292-01,2022,True
129-292-01,2023,True
129-292-01,2024,True
129-292-01,2025,True
129-292-02,2017,True
129-292-02,2018,True
129-292-02,2019,True
129-292-02,2020,True
129-292-02,2021,True
129-292-02,2022,True
129-292-02,2023,True
129-292-02,2024,True
129-292-02,2025,True
129-292-03,2017,True
129-292-03,2018,True
129-292-03,2019,True
129-292-03,2020,True
129-292-03,2021,True
129-292-03,2022,True
129-292-03,2023,True
129-292-03,2024,True
129-292-03,2025,True
129-292-06,2017,True
129-292-06,2018,True
129-292-06,2019,True
129-292-06,2020,True
129-292-06,2021,True
129-292-06,2022,True
129-292-06,2023,True
129-292-06,2024,True
129-292-06,2025,True
129-292-07,2017,True
129-292-07,2018,True
129-292-07,2019,True
129-292-07,2020,True
129-292-07,2021,True
129-292-07,2022,True
129-292-07,2023,True
129-292-07,2024,True
129-292-07,2025,True
129-292-10,2017,True
129-292-10,2018,True
129-292-10,2019,True
129-292-10,2020,True
129-292-10,2021,True
129-292-10,2022,True
129-292-10,2023,True
129-292-10,2024,True
129-292-10,2025,True
129-292-12,2017,True
129-292-12,2018,True
129-292-12,2019,True
129-292-12,2020,True
129-292-12,2021,True
129-292-12,2022,True
129-292-12,2023,True
129-292-12,2024,True
129-292-12,2025,True
129-292-14,2017,True
129-292-14,2018,True
129-292-14,2019,True
129-292-14,2020,True
129-292-14,2021,True
129-292-14,2022,True
129-292-14,2023,True
129-292-14,2024,True
129-292-14,2025,True
129-292-17,2017,True
129-292-17,2018,True
129-292-17,2019,True
129-292-17,2020,True
129-292-17,2021,True
129-292-17,2022,True
129-292-17,2023,True
129-292-17,2024,True
129-292-17,2025,True
129-292-18,2017,True
129-292-18,2018,True
129-292-18,2019,True
129-292-18,2020,True
129-292-18,2021,True
129-292-18,2022,True
129-292-18,2023,True
129-292-18,2024,True
129-292-18,2025,True
129-292-19,2017,True
129-292-19,2018,True
129-292-19,2019,True
129-292-19,2020,True
129-292-19,2021,True
129-292-19,2022,True
129-292-19,2023,True
129-292-19,2024,True
129-292-19,2025,True
129-292-20,2017,True
129-292-20,2018,True
129-292-20,2019,True
129-292-20,2020,True
129-292-20,2021,True
129-292-20,2022,True
129-292-20,2023,True
129-292-20,2024,True
129-292-20,2025,True
129-292-22,2017,True
129-292-22,2018,True
129-292-22,2019,True
129-292-22,2020,True
129-292-22,2021,True
129-292-22,2022,True
129-292-22,2023,True
129-292-22,2024,True
129-292-22,2025,True
129-292-26,2017,True
129-292-26,2018,True
129-292-26,2019,True
129-292-26,2020,True
129-292-26,2021,True
129-292-26,2022,True
129-292-26,2023,True
129-292-26,2024,True
129-292-26,2025,True
130-163-26,2025,True
130-163-27,2025,True
130-163-36,2021,True
130-163-36,2022,True
130-163-36,2023,True
130-163-36,2024,True
130-241-45,2023,True
130-241-45,2024,True
130-241-45,2025,True
130-241-46,2023,True
130-241-46,2024,True
130-241-46,2025,True
130-241-62,2013,True
130-241-63,2013,True
130-241-64,2013,True
130-312-04,2017,True
130-312-04,2018,True
130-312-04,2019,True
130-312-04,2020,True
130-312-04,2021,True
130-312-04,2022,True
130-312-04,2023,True
130-312-04,2024,True
130-312-04,2025,True
130-312-13,2024,True
130-312-13,2025,True
130-312-27,2017,True
130-312-27,2018,True
130-312-27,2019,True
130-312-27,2020,True
130-312-27,2021,True
130-312-27,2022,True
130-312-27,2023,True
130-312-27,2024,True
130-312-27,2025,True
130-312-30,2012,True
130-312-30,2013,True
130-312-30,2014,True
130-312-30,2015,True
130-312-30,2016,True
130-331-05,2023,True
130-331-05,2024,True
130-331-05,2025,True
130-331-08,2024,True
130-331-08,2025,True
130-332-10,2013,True
130-332-12,2013,True
130-332-13,2013,True
1318-03-110-005,2019,True
1318-03-110-005,2020,True
1318-03-110-005,2021,True
1318-03-110-005,2022,True
1318-03-110-005,2023,True
1318-03-110-005,2024,True
1318-03-110-005,2025,True
1318-03-111-014,2024,True
1318-03-111-014,2025,True
1318-03-111-015,2024,True
1318-03-111-015,2025,True
1318-03-210-022,2025,True
1318-03-210-023,2025,True
1318-09-810-035,2016,True
1318-09-810-035,2017,True
1318-09-810-035,2018,True
1318-09-810-035,2019,True
1318-09-810-035,2020,True
1318-09-810-035,2021,True
1318-09-810-035,2022,True
1318-09-810-035,2023,True
1318-09-810-035,2024,True
1318-09-810-035,2025,True
1318-09-810-095,2023,True
1318-09-810-095,2024,True
1318-09-810-095,2025,True
1318-09-810-103,2019,True
1318-09-810-103,2020,True
1318-09-810-103,2021,True
1318-09-810-103,2022,True
1318-09-810-103,2023,True
1318-09-810-103,2024,True
1318-09-810-103,2025,True
1318-10-310-002,2023,True
1318-10-310-002,2024,True
1318-10-310-002,2025,True
1318-10-310-004,2024,True
1318-10-310-004,2025,True
1318-10-310-005,2024,True
1318-10-310-005,2025,True
1318-10-310-009,2023,True
1318-10-310-009,2024,True
1318-10-310-009,2025,True
1318-10-310-010,2018,True
1318-10-310-010,2019,True
1318-10-310-010,2020,True
1318-10-310-010,2021,True
1318-10-310-010,2022,True
1318-10-310-010,2023,True
1318-10-310-010,2024,True
1318-10-310-010,2025,True
1318-10-310-012,2018,True
1318-10-310-012,2019,True
1318-10-310-012,2020,True
1318-10-310-012,2021,True
1318-10-310-012,2022,True
1318-10-310-012,2023,True
1318-10-310-012,2024,True
1318-10-310-012,2025,True
1318-10-310-015,2016,True
1318-10-310-015,2017,True
1318-10-310-015,2018,True
1318-10-310-015,2019,True
1318-10-310-015,2020,True
1318-10-310-015,2021,True
1318-10-310-015,2022,True
1318-10-310-015,2023,True
1318-10-310-015,2024,True
1318-10-310-015,2025,True
1318-10-310-033,2017,True
1318-10-310-033,2018,True
1318-10-310-033,2019,True
1318-10-310-033,2020,True
1318-10-310-033,2021,True
1318-10-310-033,2022,True
1318-10-310-033,2023,True
1318-10-310-033,2024,True
1318-10-310-033,2025,True
1318-10-310-036,2017,True
1318-10-310-036,2018,True
1318-10-310-036,2019,True
1318-10-310-036,2020,True
1318-10-310-036,2021,True
1318-10-310-036,2022,True
1318-10-310-036,2023,True
1318-10-310-036,2024,True
1318-10-310-036,2025,True
1318-10-415-062,2018,True
1318-10-415-062,2019,True
1318-10-415-062,2020,True
1318-10-415-062,2021,True
1318-10-415-062,2022,True
1318-10-415-062,2023,True
1318-10-415-062,2024,True
1318-10-415-062,2025,True
1318-10-416-039,2018,True
1318-10-416-039,2019,True
1318-10-416-039,2020,True
1318-10-416-039,2021,True
1318-10-416-039,2022,True
1318-10-416-039,2023,True
1318-10-416-039,2024,True
1318-10-416-039,2025,True
1318-10-417-005,2023,True
1318-10-417-005,2024,True
1318-10-417-005,2025,True
1318-15-601-003,2017,True
1318-15-601-003,2018,True
1318-15-601-003,2019,True
1318-15-601-003,2020,True
1318-15-601-003,2021,True
1318-15-601-003,2022,True
1318-15-601-003,2023,True
1318-15-601-003,2024,True
1318-15-601-003,2025,True
1318-15-711-030,2013,True
1318-15-711-030,2014,True
1318-15-711-031,2013,True
1318-15-711-031,2014,True
1318-16-810-012,2024,True
1318-16-810-012,2025,True
1318-16-810-038,2025,True
1318-22-002-002,2018,True
1318-22-002-002,2019,True
1318-22-002-002,2020,True
1318-22-002-002,2021,True
1318-22-002-002,2022,True
1318-22-002-002,2023,True
1318-22-002-002,2024,True
1318-22-002-002,2025,True
1318-23-212-005,2016,True
1318-23-212-005,2017,True
1318-23-212-005,2018,True
1318-23-212-005,2019,True
1318-23-212-005,2020,True
1318-23-212-005,2021,True
1318-23-212-005,2022,True
1318-23-212-005,2023,True
1318-23-212-005,2024,True
1318-23-212-005,2025,True
1318-23-212-006,2016,True
1318-23-212-006,2017,True
1318-23-212-006,2018,True
1318-23-212-006,2019,True
1318-23-212-006,2020,True
1318-23-212-006,2021,True
1318-23-212-006,2022,True
1318-23-212-006,2023,True
1318-23-212-006,2024,True
1318-23-212-006,2025,True
1318-23-710-003,2016,True
1318-23-710-003,2017,True
1318-23-710-003,2018,True
1318-23-710-003,2019,True
1318-23-710-003,2020,True
1318-23-710-003,2021,True
1318-23-710-003,2022,True
1318-23-710-003,2023,True
1318-23-710-003,2024,True
1318-23-710-003,2025,True
1318-23-710-038,2018,True
1318-23-710-038,2019,True
1318-23-710-038,2020,True
1318-23-710-038,2021,True
1318-23-710-038,2022,True
1318-23-710-038,2023,True
1318-23-710-038,2024,True
1318-23-710-038,2025,True
1318-23-710-039,2018,True
1318-23-710-039,2019,True
1318-23-710-039,2020,True
1318-23-710-039,2021,True
1318-23-710-039,2022,True
1318-23-710-039,2023,True
1318-23-710-039,2024,True
1318-23-710-039,2025,True
1318-23-814-004,2021,True
1318-23-814-004,2022,True
1318-23-814-004,2023,True
1318-23-814-004,2024,True
1318-23-814-004,2025,True
1318-24-701-008,2016,True
1318-24-701-008,2017,True
1318-24-701-008,2018,True
1318-24-701-008,2019,True
1318-24-701-008,2020,True
1318-24-701-008,2021,True
1318-24-701-008,2022,True
1318-24-701-008,2023,True
1318-24-701-008,2024,True
1318-24-701-008,2025,True
1318-25-110-009,2023,True
1318-25-110-009,2024,True
1318-25-110-009,2025,True
1318-25-110-010,2018,True
1318-25-110-010,2019,True
1318-25-110-010,2020,True
1318-25-110-010,2021,True
1318-25-110-010,2022,True
1318-25-110-010,2023,True
1318-25-110-010,2024,True
1318-25-110-010,2025,True
1318-26-101-029,2016,True
1318-26-101-029,2017,True
1318-26-101-029,2018,True
1318-26-101-029,2019,True
1318-26-101-029,2020,True
1318-26-101-029,2021,True
1318-26-101-029,2022,True
1318-26-101-029,2023,True
1318-26-101-029,2024,True
1318-26-101-029,2025,True
1318-26-601-006,2016,True
1318-26-601-006,2017,True
1318-26-601-006,2018,True
1318-26-601-006,2019,True
1318-26-601-006,2020,True
1318-26-601-006,2021,True
1318-26-601-006,2022,True
1318-26-601-006,2023,True
1318-26-601-006,2024,True
1318-26-601-006,2025,True
1318-27-001-002,2016,True
1318-27-001-002,2017,True
1318-27-001-002,2018,True
1318-27-001-002,2019,True
1318-27-001-002,2020,True
1318-27-001-002,2021,True
1318-27-001-002,2022,True
1318-27-001-002,2023,True
1318-27-001-002,2024,True
1318-27-001-002,2025,True
1318-27-001-003,2016,True
1318-27-001-003,2017,True
1318-27-001-003,2018,True
1318-27-001-003,2019,True
1318-27-001-003,2020,True
1318-27-001-003,2021,True
1318-27-001-003,2022,True
1318-27-001-003,2023,True
1318-27-001-003,2024,True
1318-27-001-003,2025,True
1319-19-212-078,2017,True
1319-19-212-078,2018,True
1319-19-212-078,2019,True
1319-19-212-078,2020,True
1319-19-212-078,2021,True
1319-19-212-078,2022,True
1319-19-212-078,2023,True
1319-19-212-078,2024,True
1319-19-212-078,2025,True
1319-19-411-016,2022,True
1319-19-411-016,2023,True
1319-19-411-016,2024,True
1319-19-411-016,2025,True
1319-19-411-024,2022,True
1319-19-411-024,2023,True
1319-19-411-024,2024,True
1319-19-411-024,2025,True
1319-19-710-001,2013,True
1319-19-710-001,2016,True
1319-19-710-027,2024,True
1319-19-710-027,2025,True
1319-19-710-031,2018,True
