Permit #,Parcel #,Record Type,Project Name,Status,Opened,Number,Dir,Street Name,Type,Description,Project Office,Type of Work,Scope of Work,Issue Date,Base Allowable Coverage,Total Existing Coverage,Total Allowable Coverage,Total Proposed Coverage,Excess Coverage,Remaining Coverage,Transferred Coverage,New On-Site Coverage,Existing Off-Site Cov.,New Off-site Coverage,Coverage Exemp. Allow.,Coverage Exemption Taken,Deck Exemption Allowed,Deck Exemption Taken(sf),Pervious Coverage,Non Permanent Structure,Allocation,Allocation Number,Project/Parcel Size,Bailey Land Class(es),IPES,Coverage Percent,SEZ,Scenic,Historic Resource,Historic Resource (Date),Date Issued,PreGrade Inspection Date,Date Final Inspection,Date Completed,Payment for Application Fee,Payment for Security,Payment for WQMF,Payment for AQMF,Payment for OSMF,Payment for ECMF,SERV_PROV_CODE,B1_PER_ID1,B1_PER_ID2,B1_PER_ID3
TRP23-90107,085-343-008-000,Residential Building TRPA Project,Hansen-Deck Rebuild,Final Processing,8/9/2023,100,,CHERRY,ST,"TRPA PROJECT @ MOU

The project includes the demolition of the existing deck and pathways...reconstruction with modified design.

Uncovered Deck/Porch-------------------------------------1106 sf",Tahoe,Rebuild,Residential Rebuild,,,3632,3900,3888,0,12,0,256,150,78,1560,No,780,0,0,0,N/A,,15598,,,25,no,roadway #12,No,01/01/1978,,,,,,,,,,,PLACERCO,23CAP,00000,0080I
TRP23-90108,094-122-023-000,Residential Building TRPA Project,GOODMAN ADU,Final Processing,8/9/2023,352,,PIONEER,WY,"TRPA @ TRPA

ADU Addition

Living Area---------------------------400 sf
Garage---------------------------------77 sf

Solar PV Requirement Exempted due to 150.1-C Exception 2 of the Ca Energy Code (minimum size)

Gas Schematic Deferred",Tahoe,New,Accessory Dwelling Unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLACERCO,23CAP,00000,00813
TRP23-90110,083-062-014-000,Residential Building Qualified Exempt,Spangler - Entry Roof Rebuild,Issued,8/15/2023,1630,,WILLOW,AVE,"TRPA MOU QE

REBUILD THE EXISTING SNOW DAMAGED ENTRY GABLE OVER THE EXISTING DECK.
NO CHANGE IN COVERAGE. NO CHANGE TO CONDITIONED FLOOR AREA.

Contract Price-------------$6,000",Tahoe,QE Repair,Repair,8/24/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$21.00,,,,,,PLACERCO,23CAP,00000,00853
TRP23-90112,090-134-011-000,Residential Building Qualified Exempt,WAINSCOAT - Deck Replacement not like for like,Received,8/29/2023,8710,N,LAKE,BLVD,"TRPA MOU

Replace existing raised deck in rear of structure. noy like for like",Tahoe,QE Structural Addition,Residential Addition > 3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLACERCO,23CAP,00000,008NX
TRP23-90113,092-090-056-000,Residential Building TRPA Project,Market Value Plus LLC - Detached Garage with ADU,Final Processing,8/31/2023,410,,NIGHTINGALE,RD,"TRPA PROJECT @ MOU

Development Right under TRPA ERSP2023-1508

Detached Garage with ADU

1409 sf Detached Garage
496 sf Unconditioned Storage
914 sf ADU/Living Space
120 sf Covered Deck

Deferred submittals: Gas line schematic and fire sprinklers.

Addition / Remodel of Primary SFD on BLD24-00776",Tahoe,Addition,Residential Addition > 3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLACERCO,23CAP,00000,008UD
TRP23-90119,094-110-025-000,Non-Residential Verification-Site Assessment,TFHD - Commercial Land Capability Verification,Received,9/12/2023,0,,NO ADDRESS ON FILE,,Commercial land capability verification,Tahoe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLACERCO,23CAP,00000,00925
TRP23-90121,085-302-007-000,Residential Building TRPA Project,Horn - Front Deck Addition,Final Processing,9/13/2023,4430,,INTERLAKEN,RD,"TRPA  MOU Project

Deck addition of 267 sf to the side of the existing front deck & home",Tahoe,Addition,Residential Addition > 3000,,,1985,1985,1833,0,152,0,0,240,0,1028,Yes,514,280,0,0,N/A,,10280,,,8,no,"roadway #12, not visible",No,1/1/1996,,,,,,,,,,,PLACERCO,23CAP,00000,0093O
TRP23-90122,094-340-033-000,Residential Building Qualified Exempt,UPPAL - DECK REBUILD,Issued,9/14/2023,2350,,STAR HARBOR,CT,"Unit 1
QE @ TRPA

- THE LOWER DECK WILL BE REBUILT
- THE UPPER DECK WILL BE REBUILT AND EXTENDED
- EXTENSIONS ARE SATISFIED BY THE TRPA 3:1 REDUCTION, NO CHANGE IN COVERAGE.

Upper Deck-----------197sf
Lower Deck-------------92sf",Tahoe,QE Repair,Residential Rebuild,10/31/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/15/2023,,,$24.22,,,,,,PLACERCO,23CAP,00000,0094R
TRP23-90124,083-032-006-000,Residential Building TRPA Project,Strauss - Addition / Remodel,Final Processing,9/14/2023,910,,SNOWSHOE,RD,"TRPA MOU Project

** Revised Scope of Work: Garage, Living, Driveway Deck, Uncovered Deck/Rebuild and Addition, Replace Windows, and Kitchen and Bath Remodel
* Previous Scope Deck Rebuild/ Addition

Garage-------------------561sf
Living---------------------206sf
Remodel-----------------288sf
Driveway Deck---------360sf
Deck----------------------348sf

Special Inspection Required for Shop Welding
Structural Observation Required

Gas Schematic Deferred

2/8/2024 REVISION PRIOR TO ISSUANCE REC'D ON TRP24-90017 COMBINED WITH EXISTING OPEN PROJECT: A new garage and entry addition will be added to the existing residence, with a small interior remodel. New combined plan set received 2/13/2024 -TAL",Tahoe,Addition,Residential Addition > 3000,,,1289,2266,2266,0,0,0,977,279,-110,1133,Yes,566,112,0,0,N/A,,11329,,,20,N/A,"shoreline #14, non-attainment, visible",,,,,,,$554.05,,,,,,PLACERCO,23CAP,00000,0095N
TRP23-90125,111-140-009-000,Residential Building TRPA Project,Quirie Deck/Entry,Final Processing,9/15/2023,1095,,CANTERBURY,DR,"TRPA MOU PROJECT

Remove & rebuild (e) upper level decks and covered entry.

Deck Rebuild---------------440sf
Deck Addition---------------236sf
Covered Entry Rebuild---126sf",Tahoe,Rebuild,Residential Rebuild,,,2132,2226,2068,0,158,0,-64,112,0,1060,Yes,530,242,0,0,N/A,,10598,,,21,no,"roadway #41, not visible",No,1/1/2002,,,,,,,,,,,PLACERCO,23CAP,00000,0096U
TRP23-90127,093-310-015-000,Residential Building Qualified Exempt,Rusek-Phase 2 - garage addition,Corrections Required,9/15/2023,159,,MARLETTE,DR,"TRPA MOU PROJECT

Garage and entry Addition with Living Above

Living------------------------------------------757sf
Garage/ Storage----------------------------632sf
Covered Porch------------------------------132sf


Special Inspection required for Seismic and High Strength Bolting
Structural Observation required for footing depth, width and reinforcement

BLD23-02810: interior/garage conversions.",Tahoe,QE Structural Addition,Residential Alteration or Remodel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLACERCO,23CAP,00000,0097K
TRP23-90140,093-310-017-000,Residential Building TRPA Project,HONEYCHURCH - REMODEL/ADDITION,Final Processing,9/21/2023,163,,MARLETTE,DR,"TRPA Project @ MOU

Special Inspection for Shear and Hold downs-Jm


- Construct a new two-car garage to the front of the existing residence with metal roof.
- Add an upper deck above the existing rear deck. 
- Adjusting the window in bedroom 1.
- Changing a window to a sliding glass door in bedroom 4. 
- New exterior spiral staircase connecting the new upper deck to the lower deck.",Tahoe,Addition,Residential Addition > 3000,,,2434,2652,2378,0,274,0,0,267,0,1006,Yes,503,503,0,0,N/A,,10060,,,25,no,"roadway #12, not visible",No,,,,,,,,,,,,PLACERCO,23CAP,00000,009UZ
TRP23-90133,094-233-015-000,Residential Verification-Site Assessment,Strickland Site Assessment,In Review,9/22/2023,735,,VIRGINIA,DR,Site assessment at 735 Virginia Dr. Tahoe City,Tahoe,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,PLACERCO,23CAP,00000,009K5
TRP23-90132,093-320-014-000,Residential Building Qualified Exempt,KROUSKUP - INTERIOR REMODEL/ADDITION,Issued,9/26/2023,104,,EDGEWOOD,DR,"TRPA QE @ MOU

INTERIOR REMODEL WITH SMALL ADDITION RESULTING IN NO CHANGE IN COVERAGE. NO CHANGE TO BUILDING HEIGHT.",Tahoe,QE Structural Addition,Residential Alteration or Remodel,11/27/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$397.52,,,,,,PLACERCO,23CAP,00000,009JF
TRP23-90134,098-253-008-000,Residential Building Qualified Exempt,Gabor - Deck Rebuild/Roof Extension,Issued,10/2/2023,840,,WOODSIDE,DR,"TRPA MOU QE

THE REAR DECK AND ENTRY DECK WILL BE REBUILT LIKE-FOR-LIKE.
THE ENTRY SHED ROOF WILL BE EXTENDED TO THE CORNER OF THE RESIDENCE. NO CHANGE IN COVERAGE.

Deck---------------------650sf
Covered Porch---------54sf

Partial Re-Roof. 

New Skylights.",Tahoe,QE Repair,Residential Rebuild,1/19/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$61.61,,,,,,PLACERCO,23CAP,00000,009PX
TRP23-90141,084-232-004-000,Residential Building Qualified Exempt,Darling - Structural repair / Remodel,Issued,10/6/2023,830,,WARD CREEK,BLVD,"TRPA MOU QE - STRUCTURAL REPAIR

1) REPAIR EXISTING RESIDENCE DAMAGED DURING WINTER OF 2022-2023.
	BEAM, JOIST, WALL, AND FLOOR REPAIR
	REPLACE DAMAGED WINDOWS AND DOORS.
2) REMODEL KITCHEN(ADD WINDOW OVER RANGE).
3) INSTALL NEW WINDOW IN NORTH BEDROOM AT LOWER LEVEL.
4) NO CHANGES TO SECOND LEVEL, NO CHANGE TO BUILDING AREA, NO CHANGE TO COVERAGE.

Remodel-----------113sf

REVISION: Structural JC 1/31/24",Tahoe,QE Repair,Repair,11/29/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$189.47,,,,,,PLACERCO,23CAP,00000,009V0
TRP23-90142,098-111-002-000,Residential Building TRPA Project,Norton - Addition and Remodel,Final Processing,10/6/2023,430,,SNOW BIRD,,"TRPA @ Placer MOU
ADDITION OF NEW MASTER BATHROOM LAUNDRY ROOM AND PATIO. REMODEL OF BATH AND MASTER BEDROOM.

204 SQ.FT ADDITION.
160 SQ.FT. REMODEL.
571 SQ.FT NEW PATIO.

WINDOW CHANGEOUT",Tahoe,Addition,Residential Addition > 3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLACERCO,23CAP,00000,009VD
TRP23-90144,116-110-041-000,Residential Building TRPA Project,DILLOW - New Detached Garage with Living Space Above,Final Processing,10/16/2023,5667,,DAKAR,RD,"TRPA MOU PROJECT

Garage Addition with Living Above

Living-----------887sf
Garage---------572sf
Deck--------------85sf

Special Inspection Required for Structural Wood (Seismic/ Shear nailing less than 4""o.c.)

Deferred Submittals: Truss Calcs and Gas Schematic

The living above the garage shall not be considered or treated as a separate unit.",Tahoe,Addition,Residential Addition > 3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLACERCO,23CAP,00000,00A63
TRP23-90149,093-330-055-000,Residential Verification-Site Assessment,Nazeri - Site Assessment,Complete,10/25/2023,165,,ROUNDRIDGE,RD,"10201 SF Lot Site Assessment

See assessors records and building permits attached.",Tahoe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLACERCO,23CAP,00000,00AF0
TRP23-90150,085-321-007-000,Residential Verification-Site Assessment,GVG Properties Site Assessment,Complete,10/25/2023,345,,CHRIS,WY,Site Assessment,Tahoe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLACERCO,23CAP,00000,00AF9
TRP23-90152,083-172-009-000,Residential Building Permit TRPA Review,O'Brien - ATF Garage and ADU + Addition and Remodel of Same,Received,10/30/2023,850,W,LAKE,BLVD,"TRPA Project @ TRPA (ERSP2020-2043)

Remodel and after the fact permitting for detached ADU/Garage",Tahoe,New,Accessory Dwelling Unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLACERCO,23CAP,00000,00AJ5
TRP23-90154,117-090-068-000,Residential Building TRPA Project,Scafani-Storage to ADU Conversion,Corrections Required,11/2/2023,428,,SOTOYONE,AVE,"TRPA  ADU @ MOU

The proposed project includes the conversion of existing unconditioned storage area above garage to an accessory dwelling unit.

Storage/ garage to living space---------612sf

Gas Schematic Deferred",Tahoe,Addition,Residential Addition > 3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLACERCO,23CAP,00000,00AOM
TRP24-90005,090-192-061-000,Non-Residential TRPA Review,King Beach 76,Received,11/2/2023,8755,N,LAKE,BLVD,Install Signs on existing poles,Tahoe,Accessory,Commercial Mechanical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLACERCO,24CAP,00000,00034
TRP23-90155,083-330-006-000,Residential Verification-Site Assessment,Landgraf - Site Assesment,Complete,11/6/2023,525,,CLUB,DR,"Validation of parcel coverage, to determine if additional structure can be built.",Tahoe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLACERCO,23CAP,00000,00ARI
TRP23-90156,094-271-002-000,Residential Building Qualified Exempt,Hall - Deck Rebuild,Final Processing,11/9/2023,602,,OLYMPIC,DR,"TRPA QE @ MOU

Demolition, removal and replacement of existing deck that collapsed as a result of extreme snowload during the winter of 2023.  Replacing like and kind, no change in coverage.

2x6 redwood deck",Tahoe,QE Repair,Residential Rebuild,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLACERCO,23CAP,00000,00AU2
TRP23-90157,098-320-032-000,Residential Verification-Site Assessment,Lutz - Site Assessment,Complete,11/14/2023,900,,WOODSIDE,DR,Looking at the possibility to build a garage.,Tahoe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLACERCO,23CAP,00000,00AXV
TRP23-90158,116-090-050-000,Residential Building TRPA Project,Gabelich-Addition,Final Processing,11/16/2023,664,,SUNSET,RD,"TRPA  Project @ MOU

Addition of attached garage and living space with some remodeling to existing property.

Deck Rebuild--211 SF

Residential Addition--921 SF

Garage--516 SF

Remodel: kitchen and 2 bathrooms--528 SF

Deferred Submittal --Gas Schematics",Tahoe,Addition,Residential Addition > 3000,,,3378,114,3366,3264,12,0,0,240,-167,0,N/A,0,0,0,0,N/A,,11440,,,1,N/A,no,No,1/1/1968,,,,,,,,,,,PLACERCO,23CAP,00000,00AZW
TRP23-90159,116-100-004-000,Residential Building Permit TRPA Review,HILL - Remodel/Addition,Corrections Required,11/20/2023,5672,N,LAKE,BLVD,"Outsourced to BPR

TRPA Project @ TRPA (ERSP2022-1088)

Variance PLN23-00093 effective 6/15/23 approved relief from front setback.

On the north side, a new 2 story addition to existing residence with a bedroom suite on each floor. To replace a demolished existing single story bedroom suite on the south side, a new 2 story addition to the existing residence with a living room on the first floor and a bedroom suite, entry, and laundry room on the second floor is to be built. There will be new deck structures off the south addition. Also, a new entry deck as well as parking deck will be constructed on the west side of the residence. The existing residence will be remodeled throughout.

Any electrical or plumbing associated with boathouse to be on separate permit.",Tahoe,Addition,Residential Addition > 3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLACERCO,23CAP,00000,00B8G
TRP23-90160,085-180-017-000,Residential Building TRPA Project,Johnson - Generator,Received,11/28/2023,3600,W,LAKE,BLVD,"TRPA QE

Intallation of 27kW generac liquid cooled generator with 3ft x 5ft cement poured slab, 2 transfer switches, underground gas line with tracer, emergency disconnect/switch",Tahoe,Addition,Residential Addition > 3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLACERCO,23CAP,00000,00B8H
TRP23-90161,084-101-015-000,Residential Verification-Site Assessment,Zukerman - Site Assessment,In Review,12/4/2023,510,,WARD,AVE,Trying to determine coverage for potential expansion.,Tahoe,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,PLACERCO,23CAP,00000,00BCC
TRP23-90162,094-160-007-000,Residential Building Permit TRPA Review,Ralston - Rebuild New Residence,Final Processing,12/14/2023,1560,N,LAKE,BLVD,"TRPA @ TRPA (ERSP2023-0126-01)

SFD, Parking Pad

Living--------------1,302sf
Deck-----------------795sf


EV Charger
Firepit
Spa
Gas BBQ

Separate Permit: Solar PV System

Special Inspection Required for
Structural Observation Required


(Demo Permit #BLD23-00379)",Tahoe,New,Single Family > 3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLACERCO,23CAP,00000,00BNK
TRP24-90001,115-030-101-000,Residential Building TRPA Project,Hollis - HVACs + Exterior Stairs and Modifications,Final Processing,12/14/2023,5244,,TURQUOISE,AVE,"TRPA Project @ MOU

Exterior Modifications to existing residence: 
1. Construct stairs off existing lower deck to grade, additional foundation pier required at deck girder. 2. Permit 2 new HVAC units.
3. Install protective shed cover over existing condenser units. 
4. Permit existing hot tub on lower deck.

Struct calcs contain details for framing condenser shed.",Tahoe,Addition,Residential Addition > 3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLACERCO,24CAP,00000,0000Y
TRP23-90163,094-102-002-000,Residential Building TRPA Project,Morrissey - Remodel and Addition,Final Processing,12/18/2023,373,,PIONEER,WY,"TRPA  MOU PROJECT 

Addition, Remodel, Garage

Living-------------1,445sf
Garage-------------375sf
Remodel-----------824sf
Deck----------------274sf

Portable Spa on pad

WUI Required

Special Inspection Required for Seismic- Structural Wood (4"" or Less Shear Nailing)

Deferred Submittal: Gas Schematic",Tahoe,Addition,Residential Addition > 3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLACERCO,23CAP,00000,00BPS
TRP23-90164,098-210-038-000,Residential Building TRPA Project,Thompson Cottage Rebuild,Received,12/18/2023,212,,PINE,ST,"The applicant proposes to rebuild a cottage. The prior development, a lodge with cabins, was removed and a subdivision resulted in four parcels. The proposed residence will be located on a very limited building site utilizing a banked unit of use, banked Class 3 coverage, and transferred Class 1b Backshore coverage from the adjacent parcel APN 098-210-012 which will become part of the project area for coverage purposes only. The site includes a shared driveway serving 4 residential units of use.",Tahoe,Rebuild,Residential Rebuild,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLACERCO,23CAP,00000,00BPY
TRP23-90165,090-273-004-000,Residential Verification-Site Assessment,9828 Yacht,Research,12/26/2023,9828,,YACHT,ST,Site assessment,Tahoe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLACERCO,23CAP,00000,00BW9
TRP23-90166,091-163-001-000,Residential Building Qualified Exempt,Guelfi - 4470 Huckleberry Generator,Corrections Required,12/28/2023,4470,,HUCKLEBERRY,LN,"TRPA Exempt

Installing new 24kw standby generator on residence. Going to be installing generator on TRPA approved stand.",Tahoe,QE Non-Permament,Residential Accessory Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLACERCO,23CAP,00000,00BXF
TRP23-90167,092-031-023-000,Residential Building Permit TRPA Review,FISCHER - DETACHED GARAGE ADDITION,Received,12/28/2023,800,,CARNELIAN,CIR,"TRPA Project @ MOU 

THE SCOPE OF THIS PROJECT INCLUDES ADDING A NEW 1,128 SFT GARAGE WITH A 463 SFT RAISED MEZZANINE TO AN EXISTING DEVELOPED LOT. SITE BEST MANAGEMENT PRACTICE'S (BMP'S) AS REQUIRED BY THE TAHOE REGIONAL PLANNING ASSOCIATION (TRPA) WILL BE ADDED AS WELL.

EV Charger",Tahoe,Addition,Residential Addition > 3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLACERCO,23CAP,00000,00BYD
TRP23-90168,090-142-025-000,Non-Residential Verification-Site Assessment,Char Pit Inc. - Land use verification,Received,12/28/2023,8732,N,LAKE,BLVD,"The property is up for sale, and the owner needs to find out what the land use verification for prospective buyers of the property.  We would like to see if he has any more buildable land available, or if he can expand the current restaurant's footprint to accommodate more customers.",Tahoe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLACERCO,23CAP,00000,00BYE
TRP23-90169,097-230-023-000,Residential Building TRPA Project,Ramadog Properties LLC - Addition and Remodel,Corrections Required,12/29/2023,595,,GROUSE,DR,"TRPA Project @ MOU

316 SF BEDROOM ADDITION, REPLACEMENT OF EXISTING 334 SF DECK W/ 766 SF UPPER DECK ABOVE 389 SF MIDDLE DECK & 104 SF LOWER DECK, DETACHED OUTDOOR SAUNA, SPA, BMP RETROFIT",Tahoe,Addition,Residential Addition > 3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLACERCO,23CAP,00000,00BYZ
TRP24-90002,092-031-024-000,Residential Building TRPA Project,Oesterreicher - Detached Garage and ADU,Corrections Required,1/2/2024,790,,CARNELIAN,CIR,"TRPA Project @ MOU

THE SCOPE OF THIS PROJECT INCLUDES ADDING A NEW 1,039 SFT GARAGE WITH A 806 SFT ACCESSORY DWELLING UNIT (ADU) ABOVE THE GARAGE. THE ADDITION WILL BE MADE TO AN EXISTING DEVELOPED LOT. SITE BEST MANAGEMENT PRACTICE'S (BMP'S) AS REQUIRED BY THE TAHOE REGIONAL PLANNING ASSOCIATION (TRPA) WILL BE ADDED AS WELL.

Deferred: Solar

PLN23-00083, Approved 12/14/2023: Subdivision Map Modification to reduce the mapped 20-foot front setback to 12 feet (11 feet to eaves).",Tahoe,Addition,Residential Addition > 3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLACERCO,24CAP,00000,0001J
TRP24-90003,083-440-040-000,Residential Verification-Site Assessment,Schwartz - Site Assessment,Complete,1/4/2024,4108,,COURCHEVEL,RD,Full Site Assessment,Tahoe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLACERCO,24CAP,00000,0002B
TRP24-90004,098-042-011-000,Residential Building TRPA Project,Havian - New Deck and Spa,Final Processing,1/4/2024,6320,,MCKINNEY,DR,"TRPA Project @ MOU

BOTH EXISTING UPPER DECKS WILL BE HAVE NEW BEAMS AND FOOTINGS CONSTRUCTED. NO CHANGE TO DECK JOISTS OR AREA.
A NEW LOWER 287 SF DECK, STAIRS AND HOT TUB PAD WILL BE BUILT. THE DECK WILL BE LESS THAN 30"" OFF GRADE.",Tahoe,Addition,Residential Addition > 3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLACERCO,24CAP,00000,0002J
TRP24-90006,092-154-051-000,Residential Verification-Site Assessment,Rollston- LCV on IPES Parcel for MBLA Application to TRPA,Research,1/18/2024,4136,,ROBERT,AVE,,Tahoe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLACERCO,24CAP,00000,000EM
TRP24-90007,098-240-011-000,Residential Verification-Site Assessment,Ferro - Site Assessment,Research,1/19/2024,6435,,EMERALD,CIR,,Tahoe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLACERCO,24CAP,00000,000FH
TRP24-90009,091-151-002-000,Residential Building TRPA Project,"Shaw - Deck Addition, Spa, and Fenestrations",Final Processing,1/23/2024,4555,,HUCKLEBERRY,LN,"TRPA Project @ MOU

Install a new rear deck. 25’ x 25’.  Total 640  sq. Ft.   Replace existing upper deck. 7’ x14’ .  98 sq. Ft.  Add spiral from upper deck to lower deck.  Replace 2 existing windows with 2 doors.  Use same header.  Move spa closer to deck.",Tahoe,Addition,Residential Addition > 3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLACERCO,24CAP,00000,000K5
TRP24-90010,093-242-014-000,Residential Building TRPA Project,Liebman - Deck & Stair Rebuild,Final Processing,1/30/2024,314,,EDGECLIFF,WY,"TRPA Project @ MOU

Remove 96sf of existing stairs and landing. Rebuild a new 60 sf staircase and roof over existing coverage.

Variance to front setback PLN23-00363 (on March 2024 calendar)",Tahoe,Rebuild,Residential Rebuild,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLACERCO,24CAP,00000,000OC
TRP24-90011,083-181-013-000,Residential Verification-Site Assessment,Cary - Site Assessment,Research,1/31/2024,955,,HOLLY,RD,Full Site Assessment,Tahoe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLACERCO,24CAP,00000,000PH
TRP24-90013,084-032-009-000,Residential Building TRPA Project,Shelton - New SFD with Attached Garage and Conversion of Existing SFD to ADU,Final Processing,2/2/2024,825,,SUGAR PINE,RD,"TRPA Project @ MOU - and - TRPA @ TRPA for Development Right (ERSP2024-0327)

Construction of a new single family residence with a garage on the first level and living space on the second level. No work on existing residence.

Existing 542 sf SFD on parcel to be converted to ADU with TRPA Deed Restricted Bonus Unit.",Tahoe,New,Single Family > 3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLACERCO,24CAP,00000,000T4
TRP24-90012,090-053-016-000,Residential Building TRPA Project,Molinare - SFD,Corrections Required,2/5/2024,8185,,DOLLY VARDEN,AVE,"TRPA Project @ MOU

Construction of a new single family residential structure on a 6250 Sq Ft Vacant Lot.   Building is two story with a footprint of 1200 Sq Ft.   which includes 400 Sq Ft of Garage space.   Project includes 302 Sq Ft of Driveway,  29 Sq Ft of Deck and exterior Stairs with height reduction, and 45 Sq Ft of Concrete Landings.  Residential living space of 2000 Sq Ft will be provided which includes 3 bedrooms, 3 bathrooms, Kitchen/Living/Dining room and a Family room.

Plan reviewer see comments",Tahoe,New,Single Family > 3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLACERCO,24CAP,00000,000SE
TRP24-90014,098-280-029-000,Residential Building TRPA Project,MacNeil - Detached Garage and ADU,Received,2/5/2024,6610,,MCKINNEY,CT,"TRPA Project @ MOU

Detached garage with ADU, two story, within acceptable heights of neighboring parcels. ADU will be 528 sq ft and footprint of structure will be 22 x 24 ft.",Tahoe,Addition,Residential Addition > 3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLACERCO,24CAP,00000,000U8
TRP24-90016,116-070-018-000,Residential Building TRPA Project,Sladek - Addition/Remodel,In Review,2/6/2024,5828,,SUDAN,RD,"TRPA Project @ MOU

65 sf entry addition along with interior stairs, kitchen & bathroom remodel.   The interior remodel will be about 650 sf.",Tahoe,Addition,Residential Addition > 3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLACERCO,24CAP,00000,000UU
TRP24-90023,084-072-006-000,Residential Verification-Site Assessment,Wasserman - Site Assessment,Research,2/9/2024,520,,SUGAR PINE,RD,"Site assessment for allowable land coverage at 520 Sugar Pine Rd, Homewood, CA 96141.
Original construction: 1960
Purchased by current owner: 2021",Tahoe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLACERCO,24CAP,00000,001BW
TRP24-90022,093-260-023-000,Residential Building TRPA Project,Radakovich - Remodel/Addition,Received,2/15/2024,3090,,CEDARWOOD,DR,"TRPA Project @ MOU

Interior remodel. Conversion of existing crawlspace into living area. Complete garage rebuild. Addition of a main & lower level deck. Addition (crawlspace conversion): 862 SF, Garage (remodel/rebuild): 576 SF, Decks: 1443 SF, Conditioned Space (remodel): 2618 SF",Tahoe,Addition,Residential Addition > 3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLACERCO,24CAP,00000,001A2
